Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000102693.2	31	20	55	9	10	4	0	51
ENSMUSG00000064842.3	1	1	0	0	3	1	0	2
ENSMUSG00000051951.6	79	100	121	59	21	8	53	106
ENSMUSG00000102851.2	4	13	20	2	2	1	8	17
ENSMUSG00000103377.2	32	21	44	0	13	5	9	26
ENSMUSG00000104017.2	20	17	62	20	12	0	18	60
ENSMUSG00000103025.2	44	71	124	13	23	3	20	77
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	30	36	60	17	13	6	10	54
ENSMUSG00000103147.2	1	13	3	2	0	3	0	15
ENSMUSG00000103161.2	21	24	76	9	22	0	10	20
ENSMUSG00000102331.2	29	59	52	13	43	14	19	98
ENSMUSG00000102348.2	9	20	35	6	8	2	4	8
ENSMUSG00000102592.2	17	8	16	3	14	0	4	10
ENSMUSG00000088333.4	0	0	0	2	0	0	1	1
ENSMUSG00000142494.1	66	31	68	18	10	8	9	68
ENSMUSG00000102343.2	34	21	35	6	6	9	9	35
ENSMUSG00000133908.1	0	0	5	0	2	0	2	7
ENSMUSG00000025900.14	134	112	208	36	75	15	44	203
ENSMUSG00000102948.2	19	13	24	11	8	1	0	16
ENSMUSG00000104123.2	5	6	28	1	6	1	6	12
ENSMUSG00000135717.1	14	11	25	6	3	4	0	24
ENSMUSG00000139157.1	1	2	8	0	3	1	3	15
ENSMUSG00000025902.14	60	199	153	171	70	36	91	116
ENSMUSG00000104238.3	32	51	22	29	16	4	6	56
ENSMUSG00000102269.2	16	1	3	6	4	0	15	32
ENSMUSG00000118917.1	1	0	0	0	0	0	0	4
ENSMUSG00000103003.2	3	2	12	4	1	0	4	8
ENSMUSG00000104328.3	40	33	53	27	34	0	16	70
ENSMUSG00000131850.1	34	11	18	7	8	1	3	17
ENSMUSG00000102735.2	1	0	2	0	0	0	0	5
ENSMUSG00000098104.2	17	23	4	36	37	0	1	31
ENSMUSG00000102175.2	15	12	1	0	2	0	4	37
ENSMUSG00000135930.1	16	5	70	14	21	8	13	62
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	1	0	4	0	1	0	10	10
ENSMUSG00000103922.2	35	69	101	45	164	10	48	140
ENSMUSG00000033845.14	182	477	182	283	706	91	302	446
ENSMUSG00000102275.2	3	10	0	0	1	0	2	6
ENSMUSG00000120403.2	21	21	24	7	16	1	25	30
ENSMUSG00000136002.1	0	6	16	0	2	0	0	8
ENSMUSG00000025903.15	651	1251	686	668	2132	198	886	1126
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0
ENSMUSG00000137875.1	7	2	17	8	0	0	0	13
ENSMUSG00000033813.16	234	696	367	357	1062	128	419	436
ENSMUSG00000062588.5	9	35	14	14	55	7	22	21
ENSMUSG00000103280.2	14	6	43	11	1	3	18	19
ENSMUSG00000002459.18	28	14	34	8	33	1	9	28
ENSMUSG00000091305.2	5	0	7	0	0	0	0	3
ENSMUSG00000102653.2	13	32	46	21	24	6	16	77
ENSMUSG00000085623.2	19	16	54	33	6	7	11	63
ENSMUSG00000091665.2	3	3	12	1	7	0	5	26
ENSMUSG00000033793.13	544	1097	660	611	1612	194	604	788
ENSMUSG00000143188.1	11	22	15	6	12	7	17	22
ENSMUSG00000104352.2	0	0	0	1	0	0	3	0
ENSMUSG00000143351.1	10	11	22	4	3	3	12	38
ENSMUSG00000104046.2	5	10	30	16	7	0	5	39
ENSMUSG00000102907.2	17	17	24	8	25	0	3	48
ENSMUSG00000025905.15	70	42	89	20	31	6	12	111
ENSMUSG00000103936.2	5	4	6	0	3	0	0	5
ENSMUSG00002076544.1	0	7	3	0	3	0	0	0
ENSMUSG00000103519.2	17	17	6	2	6	0	1	17
ENSMUSG00000033774.5	37	2	10	18	2	2	2	25
ENSMUSG00000103090.2	2	10	32	0	3	1	5	16
ENSMUSG00000090031.5	116	171	147	73	104	30	67	220
ENSMUSG00000025907.15	822	1493	1033	892	2300	278	971	1555
ENSMUSG00000087247.4	5	4	6	0	3	0	5	13
ENSMUSG00000143943.1	28	8	30	11	3	0	16	18
ENSMUSG00000103355.2	9	0	4	2	0	0	3	15
ENSMUSG00000102706.2	0	1	0	0	0	0	0	0
ENSMUSG00000141243.1	1	6	8	0	2	0	3	3
ENSMUSG00000103845.2	33	16	53	41	13	3	3	41
ENSMUSG00000033740.18	92	103	152	64	78	17	53	197
ENSMUSG00000103329.3	11	22	10	3	5	1	5	21
ENSMUSG00000104385.2	0	2	4	1	2	0	0	5
ENSMUSG00000102135.2	2	6	7	0	1	0	3	20
ENSMUSG00000103282.2	0	2	6	1	2	0	2	9
ENSMUSG00000102534.2	6	7	3	2	11	0	12	2
ENSMUSG00000102213.2	4	1	7	0	0	0	0	7
ENSMUSG00000103629.2	0	0	6	0	1	1	0	5
ENSMUSG00000120372.2	16	16	18	1	21	4	8	19
ENSMUSG00000051285.18	476	1009	524	451	1265	170	542	992
