Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000102693.2	29	20	56	9	10	4	1	52
ENSMUSG00000064842.3	1	1	0	0	3	1	0	2
ENSMUSG00000051951.6	77	100	122	57	21	8	45	107
ENSMUSG00000102851.2	4	13	20	2	2	1	6	17
ENSMUSG00000103377.2	26	22	44	0	13	5	10	28
ENSMUSG00000104017.2	19	18	61	20	12	0	20	59
ENSMUSG00000103025.2	44	70	118	13	22	3	20	76
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	26	36	60	18	13	6	8	50
ENSMUSG00000103147.2	1	13	3	0	0	0	0	14
ENSMUSG00000103161.2	14	23	75	9	23	0	8	20
ENSMUSG00000102331.2	23	59	52	14	43	14	19	97
ENSMUSG00000102348.2	9	20	35	6	8	2	4	8
ENSMUSG00000102592.2	16	8	16	3	12	0	4	10
ENSMUSG00000088333.4	0	0	0	2	0	0	1	1
ENSMUSG00000142494.1	63	30	68	18	10	7	10	64
ENSMUSG00000102343.2	32	21	35	6	6	9	7	35
ENSMUSG00000133908.1	0	0	5	0	2	0	1	7
ENSMUSG00000025900.14	126	106	207	36	75	15	40	198
ENSMUSG00000102948.2	18	12	24	11	8	1	0	13
ENSMUSG00000104123.2	5	6	28	1	6	1	4	12
ENSMUSG00000135717.1	10	11	25	6	3	4	0	24
ENSMUSG00000139157.1	2	2	8	0	2	1	2	15
ENSMUSG00000025902.14	58	196	154	170	70	36	89	114
ENSMUSG00000104238.3	32	45	21	29	14	4	6	54
ENSMUSG00000102269.2	14	1	3	6	4	0	15	23
ENSMUSG00000118917.1	1	0	0	0	0	0	0	4
ENSMUSG00000103003.2	3	2	12	4	1	0	4	7
ENSMUSG00000104328.3	39	32	52	27	34	0	16	71
ENSMUSG00000131850.1	26	10	18	7	8	1	3	15
ENSMUSG00000102735.2	1	0	2	0	0	0	0	5
ENSMUSG00000098104.2	14	20	2	32	14	2	1	18
ENSMUSG00000102175.2	13	10	1	0	2	0	4	37
ENSMUSG00000135930.1	16	5	66	12	21	8	13	61
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	1	0	4	0	1	0	8	10
ENSMUSG00000103922.2	18	14	54	2	9	2	0	30
ENSMUSG00000033845.14	177	475	182	273	697	90	289	440
ENSMUSG00000102275.2	0	6	0	0	1	0	2	7
ENSMUSG00000120403.2	22	19	21	6	16	1	19	30
ENSMUSG00000136002.1	0	6	16	0	2	1	0	8
ENSMUSG00000025903.15	627	1245	688	663	2128	198	813	1127
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0
ENSMUSG00000137875.1	8	2	17	8	0	0	0	13
ENSMUSG00000033813.16	222	756	404	356	1019	146	417	424
ENSMUSG00000062588.5	0	0	6	4	6	1	0	5
ENSMUSG00000103280.2	13	5	43	11	2	5	18	19
ENSMUSG00000002459.18	25	13	34	8	33	1	9	28
ENSMUSG00000091305.2	5	0	7	0	0	0	0	3
ENSMUSG00000102653.2	14	31	47	21	24	6	16	76
ENSMUSG00000085623.2	19	16	46	29	6	7	11	64
ENSMUSG00000091665.2	3	3	12	1	8	0	5	29
ENSMUSG00000033793.13	515	1210	645	645	1710	190	580	782
ENSMUSG00000143188.1	11	22	15	6	12	7	17	25
ENSMUSG00000104352.2	0	0	0	1	0	0	3	0
ENSMUSG00000143351.1	8	11	22	3	2	3	12	38
ENSMUSG00000104046.2	7	9	30	16	11	0	5	39
ENSMUSG00000102907.2	17	16	24	8	25	0	2	49
ENSMUSG00000025905.15	62	42	87	20	30	6	12	109
ENSMUSG00000103936.2	5	4	6	0	3	0	0	5
ENSMUSG00002076544.1	0	7	0	0	3	0	0	0
ENSMUSG00000103519.2	17	17	7	2	7	0	1	17
ENSMUSG00000033774.5	34	2	8	18	2	3	2	25
ENSMUSG00000103090.2	2	10	32	0	6	1	2	16
ENSMUSG00000090031.5	112	170	147	73	106	30	63	225
ENSMUSG00000025907.15	780	1487	1037	881	2330	272	920	1574
ENSMUSG00000087247.4	5	4	6	0	3	0	5	13
ENSMUSG00000143943.1	29	8	30	10	3	0	16	18
ENSMUSG00000103355.2	7	0	4	2	0	0	3	12
ENSMUSG00000102706.2	0	1	0	0	0	0	0	0
ENSMUSG00000141243.1	1	6	8	0	2	0	3	3
ENSMUSG00000103845.2	22	12	53	37	12	3	2	39
ENSMUSG00000033740.18	91	102	151	64	76	17	47	198
ENSMUSG00000103329.3	11	22	10	3	4	1	5	21
ENSMUSG00000104385.2	1	2	4	1	3	0	0	5
ENSMUSG00000102135.2	2	13	8	2	1	0	1	17
ENSMUSG00000103282.2	0	2	5	1	2	0	2	9
ENSMUSG00000102534.2	6	7	3	2	10	0	10	2
ENSMUSG00000102213.2	4	1	7	0	0	0	0	7
ENSMUSG00000103629.2	0	0	6	0	1	1	0	5
ENSMUSG00000120372.2	13	18	18	1	21	4	8	19
ENSMUSG00000051285.18	446	999	524	436	1269	172	519	990
ENSMUSG00000138092.1	7	6	2	0	22	0	9	1
ENSMUSG00000098201.2	2	4	19	5	3	3	1	7
ENSMUSG00000103509.2	12	31	27	6	32	1	22	27
ENSMUSG00000126455.1	1	11	6	2	5	1	2	16
ENSMUSG00000048538.8	7	6	14	2	6	3	0	10
ENSMUSG00000103709.2	0	0	1	4	0	0	2	0
ENSMUSG00000126493.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	1	2	0	0	5	0	3	3
ENSMUSG00000097797.8	59	63	87	47	41	13	25	89
ENSMUSG00000102768.2	5	5	21	15	4	7	7	33
ENSMUSG00000103498.2	7	4	10	3	0	1	0	19
ENSMUSG00000103067.2	16	15	33	12	3	7	14	54
ENSMUSG00000102320.2	0	2	2	15	4	3	2	13
ENSMUSG00000104226.2	68	21	87	12	28	7	4	65
ENSMUSG00000103903.2	45	14	82	9	18	0	5	30
ENSMUSG00000103557.2	16	0	30	11	16	3	0	21
ENSMUSG00000132588.1	21	23	13	6	11	2	10	38
ENSMUSG00000135709.1	10	1	18	4	9	0	1	9
ENSMUSG00000135722.1	3	0	12	2	1	0	1	9
ENSMUSG00000025909.17	158	141	222	49	75	13	70	193
ENSMUSG00000102647.2	25	13	49	1	22	2	1	27
ENSMUSG00000086235.2	9	1	3	0	0	3	0	3
ENSMUSG00000123533.1	4	1	6	4	1	1	0	10
ENSMUSG00000102253.2	25	28	59	5	22	0	8	67
ENSMUSG00002074990.1	1	0	0	1	0	0	1	1
ENSMUSG00000103884.2	27	30	40	36	7	0	4	59
ENSMUSG00000084353.2	1	5	0	3	0	0	1	2
ENSMUSG00000103933.2	0	0	4	1	0	0	0	10
ENSMUSG00002075967.1	0	0	0	1	0	0	0	2
ENSMUSG00000086195.2	6	1	4	0	0	0	0	0
ENSMUSG00000104504.2	3	11	1	0	2	3	0	0
ENSMUSG00000123491.1	1	2	16	6	5	4	1	5
ENSMUSG00000066693.3	0	0	1	0	2	0	1	2
ENSMUSG00000102316.2	31	24	16	0	5	0	14	20
ENSMUSG00000103819.2	7	14	10	0	2	4	0	17
ENSMUSG00000102871.2	14	47	59	20	20	0	4	46
ENSMUSG00000101571.3	9	0	9	4	5	0	6	5
ENSMUSG00000135814.1	3	0	23	6	0	4	2	10
ENSMUSG00000104428.2	3	1	5	0	0	0	8	17
ENSMUSG00000102272.2	8	14	11	6	1	3	0	35
ENSMUSG00000065625.3	4	1	13	4	3	3	1	14
ENSMUSG00000079671.11	87	69	123	42	87	13	47	173
ENSMUSG00000103411.2	31	7	58	4	14	5	2	39
ENSMUSG00000061024.9	45	171	106	114	333	26	96	168
ENSMUSG00000025911.15	40	105	31	40	180	9	51	121
ENSMUSG00000081441.4	3	6	1	0	2	4	0	13
ENSMUSG00000067879.4	28	29	38	19	21	2	9	32
ENSMUSG00000099827.2	5	1	3	1	0	0	0	5
ENSMUSG00000025912.17	107	89	174	41	41	4	49	133
ENSMUSG00000123215.1	2	1	6	4	13	2	2	13
ENSMUSG00000045210.9	497	1058	649	564	1680	220	547	935
ENSMUSG00000097893.11	36	70	75	31	82	9	40	100
ENSMUSG00000128816.1	3	9	4	8	9	1	0	9
ENSMUSG00000025915.15	634	1171	947	744	2657	324	927	1256
ENSMUSG00000046334.5	0	0	8	0	0	0	0	3
ENSMUSG00002075801.1	0	8	4	0	10	1	2	4
ENSMUSG00000098234.10	86	151	170	170	331	50	129	218
ENSMUSG00000046101.17	60	73	82	40	56	9	44	113
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	19	36	55	20	30	5	8	34
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	12	29	5	27	49	8	7	40
ENSMUSG00000087199.2	8	0	3	1	1	0	0	3
ENSMUSG00000121270.1	39	70	15	32	88	8	33	70
ENSMUSG00000119658.1	0	0	7	0	0	1	0	1
ENSMUSG00000025917.10	280	818	406	365	1378	126	475	632
ENSMUSG00000056763.17	424	731	725	417	880	95	461	816
ENSMUSG00000137212.1	15	16	29	3	8	5	5	27
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	660	1377	1170	755	2274	199	847	1267
ENSMUSG00002076532.1	8	5	13	4	6	0	1	16
ENSMUSG00000102556.2	52	38	118	42	36	6	33	60
ENSMUSG00000127523.1	1	13	12	2	8	0	6	7
ENSMUSG00000123573.1	1	4	8	6	3	0	5	13
ENSMUSG00000042501.13	87	159	138	81	127	21	83	221
ENSMUSG00000103810.2	23	27	29	0	10	2	24	39
ENSMUSG00000130625.1	18	9	13	1	17	0	1	16
ENSMUSG00000083422.2	9	24	21	0	10	3	4	53
ENSMUSG00000119312.1	0	1	0	0	0	1	0	2
ENSMUSG00000137678.1	2	0	0	0	2	1	0	2
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	16	8	34	9	21	5	10	74
ENSMUSG00000100212.2	16	0	0	7	0	0	0	9
ENSMUSG00000125508.1	0	4	17	2	0	0	2	12
ENSMUSG00000100648.2	2	0	0	3	0	2	0	8
ENSMUSG00000130062.1	0	6	10	2	4	0	0	13
ENSMUSG00002076499.1	1	0	1	0	0	0	1	0
ENSMUSG00000048960.14	202	455	360	183	327	44	187	504
ENSMUSG00000127757.1	10	2	9	5	0	0	0	4
ENSMUSG00000127802.1	12	15	8	4	3	0	0	2
ENSMUSG00000077318.3	0	0	0	0	3	0	0	2
ENSMUSG00000101827.2	0	7	6	0	1	0	2	8
ENSMUSG00000122491.1	8	7	21	12	12	1	1	29
ENSMUSG00000103494.2	22	32	48	10	6	3	12	74
ENSMUSG00000143092.1	5	10	10	0	8	1	0	20
ENSMUSG00000057715.14	118	112	196	41	70	8	48	199
ENSMUSG00000103825.2	9	27	48	8	4	4	4	35
ENSMUSG00000099845.2	4	0	3	2	1	0	1	7
ENSMUSG00000139014.1	1	0	0	0	0	0	0	2
ENSMUSG00000138973.1	27	9	19	0	6	1	3	21
ENSMUSG00000103561.2	26	44	60	6	53	6	8	38
ENSMUSG00000134440.1	15	4	9	1	6	1	1	12
ENSMUSG00000101610.2	13	4	7	3	4	0	0	17
ENSMUSG00000141382.1	6	15	23	6	5	2	0	11
ENSMUSG00000118923.1	0	0	0	0	2	1	1	4
ENSMUSG00000098555.3	1	4	0	0	0	0	2	1
ENSMUSG00000143719.1	12	3	14	1	5	2	4	13
ENSMUSG00000097628.2	10	7	4	3	0	2	0	18
ENSMUSG00000098163.2	5	8	8	3	0	6	1	4
ENSMUSG00000097171.3	13	16	27	7	9	2	4	47
ENSMUSG00000101314.3	5	0	30	18	9	2	5	10
ENSMUSG00000016918.16	156	520	483	472	286	185	683	370
ENSMUSG00000127288.1	7	6	10	2	10	2	1	16
ENSMUSG00000025938.17	174	237	198	88	107	15	122	441
ENSMUSG00000104518.2	3	2	6	0	6	0	0	2
ENSMUSG00000141815.1	21	4	9	12	6	0	0	18
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0
ENSMUSG00000099498.3	26	13	25	10	10	2	1	30
ENSMUSG00000042414.8	6	12	34	14	2	2	1	48
ENSMUSG00000005886.15	496	586	640	498	1262	131	467	667
ENSMUSG00000103506.2	29	60	33	17	32	10	27	42
ENSMUSG00000103495.2	28	28	50	20	34	5	37	45
ENSMUSG00002076346.1	3	0	0	0	0	1	0	1
ENSMUSG00000102639.2	4	8	0	11	14	2	3	6
ENSMUSG00000104170.2	27	15	10	52	31	3	20	46
ENSMUSG00000134412.1	2	1	0	7	1	0	0	8
ENSMUSG00000087782.3	0	0	0	0	0	0	2	0
ENSMUSG00000103085.2	26	63	77	56	92	19	51	147
ENSMUSG00000102664.2	36	66	43	44	45	15	19	68
ENSMUSG00000134452.1	23	18	12	24	16	4	17	24
ENSMUSG00000101476.3	20	11	19	13	13	2	11	23
ENSMUSG00000134491.1	1	8	4	4	1	2	1	8
