Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000102693.2	11	10	29	6	5	2	0	25
ENSMUSG00000064842.3	0	0	0	0	2	0	0	1
ENSMUSG00000051951.6	41	46	63	32	12	3	28	53
ENSMUSG00000102851.2	3	1	10	1	1	1	4	5
ENSMUSG00000103377.2	15	11	24	0	5	3	5	15
ENSMUSG00000104017.2	12	14	31	10	6	0	10	29
ENSMUSG00000103025.2	21	34	59	2	11	1	9	38
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	15	18	36	7	9	4	5	26
ENSMUSG00000103147.2	1	11	0	0	0	0	0	10
ENSMUSG00000103161.2	10	12	41	4	11	0	5	10
ENSMUSG00000102331.2	15	32	29	7	23	7	9	48
ENSMUSG00000102348.2	5	10	17	2	4	1	2	4
ENSMUSG00000102592.2	9	4	9	3	7	0	2	5
ENSMUSG00000088333.4	0	0	0	2	0	0	1	1
ENSMUSG00000142494.1	34	14	45	8	6	5	4	35
ENSMUSG00000102343.2	18	8	20	4	5	4	3	16
ENSMUSG00000133908.1	0	0	1	0	2	0	2	4
ENSMUSG00000025900.14	71	62	109	20	37	7	22	108
ENSMUSG00000102948.2	7	7	12	5	5	0	0	8
ENSMUSG00000104123.2	4	3	15	1	3	1	3	7
ENSMUSG00000135717.1	7	2	15	3	0	2	0	10
ENSMUSG00000139157.1	0	0	3	0	1	0	2	6
ENSMUSG00000025902.14	32	102	78	89	34	18	46	55
ENSMUSG00000104238.3	15	27	10	15	9	2	3	32
ENSMUSG00000102269.2	7	2	2	3	2	0	8	16
ENSMUSG00000118917.1	1	0	0	0	0	0	0	2
ENSMUSG00000103003.2	2	1	5	2	0	0	2	8
ENSMUSG00000104328.3	18	19	28	13	17	0	10	37
ENSMUSG00000131850.1	15	2	9	5	6	0	0	10
ENSMUSG00000102735.2	1	0	1	0	0	0	0	4
ENSMUSG00000098104.2	10	13	3	14	8	1	0	15
ENSMUSG00000102175.2	9	5	1	0	3	0	2	18
ENSMUSG00000135930.1	9	4	30	7	9	3	7	29
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	3	0	0	0	4	3
ENSMUSG00000103922.2	6	6	29	1	4	1	0	12
ENSMUSG00000033845.14	93	244	92	146	352	47	151	226
ENSMUSG00000102275.2	2	3	1	2	2	0	2	4
ENSMUSG00000120403.2	12	11	10	4	8	1	15	11
ENSMUSG00000136002.1	0	6	6	0	2	0	0	2
ENSMUSG00000025903.15	323	618	353	333	1093	108	465	591
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0
ENSMUSG00000137875.1	3	0	13	4	0	0	0	3
ENSMUSG00000033813.16	75	181	108	119	224	37	105	116
ENSMUSG00000062588.5	0	0	2	0	0	1	0	2
ENSMUSG00000103280.2	8	2	22	3	1	3	8	8
ENSMUSG00000002459.18	14	7	15	4	19	0	6	17
ENSMUSG00000091305.2	2	0	6	0	0	0	0	2
ENSMUSG00000102653.2	6	13	24	9	12	3	8	42
ENSMUSG00000085623.2	10	8	32	16	2	3	5	33
ENSMUSG00000091665.2	2	0	6	0	4	0	1	12
ENSMUSG00000033793.13	272	628	327	331	881	104	323	407
ENSMUSG00000143188.1	5	9	10	3	4	3	5	9
ENSMUSG00000104352.2	0	0	0	1	0	0	0	0
ENSMUSG00000143351.1	5	4	7	2	3	3	5	14
ENSMUSG00000104046.2	3	5	13	8	2	0	1	22
ENSMUSG00000102907.2	7	8	11	4	12	0	2	24
ENSMUSG00000025905.15	34	20	41	11	15	3	7	61
ENSMUSG00000103936.2	2	4	5	0	1	0	0	4
ENSMUSG00002076544.1	0	4	3	0	0	0	0	0
ENSMUSG00000103519.2	10	8	3	1	2	0	1	10
ENSMUSG00000033774.5	19	1	6	9	1	3	1	12
ENSMUSG00000103090.2	1	6	20	0	2	1	3	8
ENSMUSG00000090031.5	59	81	74	41	54	15	33	114
ENSMUSG00000025907.15	410	747	504	459	1129	137	482	800
ENSMUSG00000087247.4	2	2	5	0	2	0	2	8
ENSMUSG00000143943.1	12	4	12	5	3	0	7	8
ENSMUSG00000103355.2	4	0	1	2	0	0	0	8
ENSMUSG00000102706.2	0	0	0	0	0	0	0	0
ENSMUSG00000141243.1	1	2	4	0	0	0	0	0
ENSMUSG00000103845.2	16	2	23	19	5	2	1	16
ENSMUSG00000033740.18	49	51	71	31	41	10	26	113
ENSMUSG00000103329.3	5	10	5	1	2	1	2	11
ENSMUSG00000104385.2	0	2	1	1	2	0	0	2
ENSMUSG00000102135.2	2	4	2	0	0	0	1	6
ENSMUSG00000103282.2	0	0	6	0	0	0	0	5
ENSMUSG00000102534.2	3	5	0	1	5	0	5	1
ENSMUSG00000102213.2	3	1	4	0	0	0	0	1
ENSMUSG00000103629.2	0	0	1	0	1	1	0	1
ENSMUSG00000120372.2	8	11	5	1	11	2	4	11
ENSMUSG00000051285.18	229	445	236	207	594	75	258	454
ENSMUSG00000138092.1	4	4	1	0	13	0	1	0
ENSMUSG00000098201.2	1	3	12	0	3	3	0	2
ENSMUSG00000103509.2	9	20	15	4	13	0	10	15
ENSMUSG00000126455.1	2	3	3	0	3	1	1	4
ENSMUSG00000048538.8	7	0	3	1	0	1	0	3
ENSMUSG00000103709.2	0	0	1	4	0	0	2	0
ENSMUSG00000126493.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	1	2	0	0	1	0	3	3
ENSMUSG00000097797.8	28	29	44	24	19	4	15	40
ENSMUSG00000102768.2	3	2	19	6	1	3	3	19
ENSMUSG00000103498.2	4	1	4	3	0	1	0	9
ENSMUSG00000103067.2	9	7	17	7	2	3	6	28
ENSMUSG00000102320.2	1	1	1	5	1	2	1	5
ENSMUSG00000104226.2	36	10	45	5	18	4	2	32
ENSMUSG00000103903.2	19	9	36	2	9	0	3	14
ENSMUSG00000103557.2	8	0	14	6	9	2	0	10
ENSMUSG00000132588.1	12	12	4	0	3	1	6	21
ENSMUSG00000135709.1	4	1	12	2	4	0	0	6
ENSMUSG00000135722.1	1	0	6	0	1	0	0	3
ENSMUSG00000025909.17	86	67	113	24	40	7	32	97
ENSMUSG00000102647.2	10	9	19	1	7	1	0	13
ENSMUSG00000086235.2	1	0	3	0	0	2	1	3
ENSMUSG00000123533.1	1	1	3	0	0	1	0	6
ENSMUSG00000102253.2	17	14	31	3	13	0	4	37
ENSMUSG00002074990.1	0	0	0	0	0	0	1	1
ENSMUSG00000103884.2	14	15	21	18	2	0	3	27
ENSMUSG00000084353.2	1	6	0	0	1	0	0	0
ENSMUSG00000103933.2	0	0	1	0	1	0	2	3
ENSMUSG00002075967.1	0	0	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	1	0	0	0	0	0
ENSMUSG00000104504.2	2	7	1	0	1	0	0	0
ENSMUSG00000123491.1	0	2	10	2	3	1	1	1
ENSMUSG00000066693.3	0	0	0	0	0	0	1	1
ENSMUSG00000102316.2	18	16	7	0	3	0	7	14
ENSMUSG00000103819.2	6	8	5	0	1	4	0	15
ENSMUSG00000102871.2	7	24	33	10	8	0	2	25
ENSMUSG00000101571.3	7	0	4	0	3	0	2	2
ENSMUSG00000135814.1	1	0	15	1	0	1	0	5
ENSMUSG00000104428.2	2	0	4	0	0	0	3	9
ENSMUSG00000102272.2	3	8	4	2	0	2	0	14
ENSMUSG00000065625.3	4	0	7	0	3	0	1	9
ENSMUSG00000079671.11	47	38	60	21	45	5	27	83
ENSMUSG00000103411.2	12	2	31	0	6	2	2	26
ENSMUSG00000061024.9	23	82	55	47	157	6	48	71
ENSMUSG00000025911.15	27	60	12	23	95	4	34	57
ENSMUSG00000081441.4	2	1	1	0	0	1	0	0
ENSMUSG00000067879.4	14	16	16	10	9	1	4	15
ENSMUSG00000099827.2	2	1	1	0	0	0	0	4
ENSMUSG00000025912.17	62	49	92	19	23	2	26	61
ENSMUSG00000123215.1	0	0	3	2	6	1	1	9
ENSMUSG00000045210.9	273	526	337	282	862	114	297	472
ENSMUSG00000097893.11	18	26	33	16	34	4	24	46
ENSMUSG00000128816.1	3	4	1	4	4	1	1	7
