Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR9126859_1_clean - polya	(1, 0.0004095109253675723)	(2, 0.0005758747387981486)	(3, 0.0007635672462582858)	(4, 0.0010365745298366673)	(5, 0.0014588826716219765)	(6, 0.001876925074601373)	(7, 0.0021072749701206324)	(8, 0.0024869257238468194)	(9, 0.0028153876119020598)	(10, 0.005063431962617795)	(12, 0.008857806630476707)	(14, 0.015759772018442666)	(16, 0.023804955406393095)	(18, 0.030777305484656604)	(20, 0.03782430599202358)	(22, 0.04612543370832874)	(24, 0.054887261215672424)	(26, 0.06457262117449611)	(28, 0.0734645537154201)	(30, 0.08148414267053507)	(32, 0.08999855732713584)	(34, 0.09995905743894085)	(36, 0.10844361192390024)	(38, 0.11675753685662314)	(40, 0.12604831597589994)	(42, 0.13558650794591964)	(44, 0.1448346296771373)	(46, 0.1536028557926899)	(48, 0.16300027838211448)	(50, 0.17256619765437262)	(52, 0.1821150539714071)	(54, 0.19151460943023466)	(56, 0.20129808138159433)	(58, 0.2111732667172811)	(60, 0.22160299809773643)	(62, 0.23239531727669432)	(64, 0.24238994329894664)	(66, 0.2519601283100107)	(68, 0.26190783120539796)	(70, 0.2722138561604819)	(72, 0.28226393678721107)	(74, 0.2923630734102082)	(76, 0.30183301355933334)	(78, 0.3119214858353157)	(80, 0.322404538950845)	(82, 0.33303689292458116)	(84, 0.3433130577080237)	(86, 0.35341432720042376)	(88, 0.3629205261293991)
SRR9126859_2_clean - polya	(1, 0.0008318190671528813)	(2, 0.0011432179999844728)	(3, 0.0013181132910268735)	(4, 0.001531400231322484)	(5, 0.0020859462760910714)	(6, 0.002619163626830098)	(7, 0.002904968126826216)	(8, 0.003301681835776052)	(9, 0.0037197242387554483)	(10, 0.006040286149171691)	(12, 0.00994130428717841)	(14, 0.016493479093059565)	(16, 0.024318976932505516)	(18, 0.03151314542867646)	(20, 0.037879760596500445)	(22, 0.04561141218221632)	(24, 0.054358309603739316)	(26, 0.06358723551033038)	(28, 0.07198007661096266)	(30, 0.08020015528995549)	(32, 0.0888681365435691)	(34, 0.09886916117403027)	(36, 0.10704658246496399)	(38, 0.11558659155440024)	(40, 0.12470034251323167)	(42, 0.13418734561758044)	(44, 0.14343760021820107)	(46, 0.15249163083374973)	(48, 0.16247985824779318)	(50, 0.1719263368334858)	(52, 0.18156477366544443)	(54, 0.19141436456829572)	(56, 0.2015028368442781)	(58, 0.21170008545981123)	(60, 0.22193572572459758)	(62, 0.23242304457893276)	(64, 0.24262669180267477)	(66, 0.25258719191447976)	(68, 0.26263727254120894)	(70, 0.2730222136642022)	(72, 0.2828824689140683)	(74, 0.2927235283393078)	(76, 0.30249633594365266)	(78, 0.3125677452644114)	(80, 0.32317877054411803)	(82, 0.3337386069581537)	(84, 0.3441811355550268)	(86, 0.3546407271071236)	(88, 0.3649766122338488)
SRR9126934_1_clean - polya	(1, 0.0004074632666975513)	(2, 0.0005476306304415089)	(3, 0.0006812785819183058)	(4, 0.0008638221253988087)	(5, 0.001421231874241059)	(6, 0.001978641623083309)	(7, 0.002167704578830973)	(8, 0.002526272253524818)	(9, 0.0028326846300813766)	(10, 0.0043500778352630574)	(12, 0.0073783448333592586)	(14, 0.012572686557219643)	(16, 0.018448306862998334)	(18, 0.024408679528250113)	(20, 0.03017998923775423)	(22, 0.03683630916252542)	(24, 0.04333127363368439)	(26, 0.05014079974673387)	(28, 0.05668954936909692)	(30, 0.06311280030531712)	(32, 0.07005760422291019)	(34, 0.0776592389264197)	(36, 0.08385431043328927)	(38, 0.09015858209563378)	(40, 0.0972598519076387)	(42, 0.10414598111482731)	(44, 0.1106719127942553)	(46, 0.11747328964197083)	(48, 0.12472287608305366)	(50, 0.13218108371668563)	(52, 0.1395561688439113)	(54, 0.1470306750082112)	(56, 0.15469587398132556)	(58, 0.1623040280971022)	(60, 0.1698746955923427)	(62, 0.17817390740843844)	(64, 0.18641118480799612)	(66, 0.19399815083390454)	(68, 0.2019762815958426)	(70, 0.21037002488981216)	(72, 0.2181835404920044)	(74, 0.22615678169474207)	(76, 0.23401430332973766)	(78, 0.24188649364233436)	(80, 0.2500765053029551)	(82, 0.25795684488088577)	(84, 0.2659855010878943)	(86, 0.2743743548226635)	(88, 0.2825382888342156)
SRR9126934_2_clean - polya	(1, 0.0009322759542039974)	(2, 0.0012289092123598147)	(3, 0.0014147124619738982)	(4, 0.0017146054262632958)	(5, 0.002184003109498875)	(6, 0.0026566604988680345)	(7, 0.003008708761294719)	(8, 0.0034455093831944937)	(9, 0.0038497129437584645)	(10, 0.0055708377822889215)	(12, 0.00873275273186192)	(14, 0.014251435216013554)	(16, 0.020459545547417447)	(18, 0.02628790011425922)	(20, 0.031633818173331094)	(22, 0.03778488364739733)	(24, 0.04437763930256371)	(26, 0.0516011480945779)	(28, 0.058503575832434415)	(30, 0.06501972839346165)	(32, 0.07176406038383953)	(34, 0.07945207729988893)	(36, 0.08547438438167873)	(38, 0.09184548001976164)	(40, 0.09881799143949013)	(42, 0.10582309992055444)	(44, 0.1129341488509601)	(46, 0.12020492338191122)	(48, 0.12760282645207194)	(50, 0.13551902279747197)	(52, 0.14353138047381264)	(54, 0.15167901595469685)	(56, 0.15934258507474441)	(58, 0.16720499626894036)	(60, 0.17562970677117895)	(62, 0.1843086743518368)	(64, 0.19266493102527016)	(66, 0.2007245544405477)	(68, 0.20917371273878815)	(70, 0.21753648882448867)	(72, 0.2259057843224564)	(74, 0.23452933689884337)	(76, 0.2426215573754567)	(78, 0.25149284761799584)	(80, 0.25999253136130673)	(82, 0.2684645076024822)	(84, 0.27702775561539794)	(86, 0.2855747050976458)	(88, 0.2945698641732609)
SRR9127010_1_clean - polya	(1, 0.0006167014346162861)	(2, 0.0007455644209540175)	(3, 0.0008590865755848761)	(4, 0.0010554492214328477)	(5, 0.0016660143233663848)	(6, 0.002150784605303565)	(7, 0.0024729420711478932)	(8, 0.0028748718618679604)	(9, 0.0031786203296640418)	(10, 0.005284916523017675)	(12, 0.008972852465349894)	(14, 0.015007935658833647)	(16, 0.021876026014000592)	(18, 0.028219459924792495)	(20, 0.03435272444120023)	(22, 0.04172245999318192)	(24, 0.04932997843662014)	(26, 0.057273461094438864)	(28, 0.06471990080495492)	(30, 0.07226912408790702)	(32, 0.08062374103546993)	(34, 0.08959352533447845)	(36, 0.09653985393135045)	(38, 0.10398936180820788)	(40, 0.11200341229187821)	(42, 0.11967689631165598)	(44, 0.1273120282521666)	(46, 0.1346510821407345)	(48, 0.1426728030402583)	(50, 0.15092310233221448)	(52, 0.15876993775027992)	(54, 0.16705091870564986)	(56, 0.17527360450053367)	(58, 0.18351009704395366)	(60, 0.19243539293101225)	(62, 0.20117659883758837)	(64, 0.20995308865709028)	(66, 0.21815429728758448)	(68, 0.2264705621558802)	(70, 0.23506449607807034)	(72, 0.24363541875270017)	(74, 0.2524471924851279)	(76, 0.2612512958017022)	(78, 0.26998176312608346)	(80, 0.27864626487412525)	(82, 0.28739360711338413)	(84, 0.29615475610117914)	(86, 0.30463516786873845)	(88, 0.3132628516206837)
SRR9127010_2_clean - polya	(1, 0.0013193115267910597)	(2, 0.0015279468380045296)	(3, 0.0017304458165352504)	(4, 0.002009648953600335)	(5, 0.002586464225778752)	(6, 0.0031939611613709144)	(7, 0.0036081636174564798)	(8, 0.003914980251593935)	(9, 0.004319978208655377)	(10, 0.0064155358198142)	(12, 0.00997767694215006)	(14, 0.01607719162880268)	(16, 0.022624658601295988)	(18, 0.028940479015015515)	(20, 0.03529925375751429)	(22, 0.04222103702365529)	(24, 0.0494787845041768)	(26, 0.05698198529200828)	(28, 0.0640832562891197)	(30, 0.07141924201134627)	(32, 0.07932437258989782)	(34, 0.08749183139063688)	(36, 0.09423719509214884)	(38, 0.10151948790340136)	(40, 0.10928348283024968)	(42, 0.11694009193514988)	(44, 0.12447397438639511)	(46, 0.1321106404100764)	(48, 0.1402627583791086)	(50, 0.14872322706544894)	(52, 0.15692596977911383)	(54, 0.16584666341666032)	(56, 0.17437309767934023)	(58, 0.18272618054373246)	(60, 0.19211630363150928)	(62, 0.20159847170952738)	(64, 0.21061274442048583)	(66, 0.21962701713144428)	(68, 0.22881310715751968)	(70, 0.2379991971835951)	(72, 0.2470426174747966)	(74, 0.25617961683941004)	(76, 0.26511565130866344)	(78, 0.27467759171155726)	(80, 0.2840262945537255)	(82, 0.2930528399300495)	(84, 0.3022696116195387)	(86, 0.31143575856439515)	(88, 0.32073537074510144)
SRR9127157_1_clean - polya	(1, 0.0025353409068987914)	(2, 0.002760398342474952)	(3, 0.0030038278136083505)	(4, 0.003224292240295202)	(5, 0.003885685520355756)	(6, 0.004441439595962194)	(7, 0.0047353921648779955)	(8, 0.0050614957960189635)	(9, 0.005433529516053025)	(10, 0.007087012716204411)	(12, 0.0105248798698525)	(14, 0.016332739610384242)	(16, 0.022560859664287794)	(18, 0.027948459091447726)	(20, 0.03348533130751022)	(22, 0.039972956363659745)	(24, 0.0463985757998036)	(26, 0.05339832134711114)	(28, 0.06012707936994941)	(30, 0.06672034363055307)	(32, 0.07346288068005927)	(34, 0.08006073794955224)	(36, 0.08555397658116629)	(38, 0.09129523769280304)	(40, 0.09776908372228463)	(42, 0.10391223311173597)	(44, 0.11012657413897159)	(46, 0.1161640843239688)	(48, 0.12270452898234539)	(50, 0.12976857665410327)	(52, 0.13628835277247797)	(54, 0.14321461017755654)	(56, 0.15003752488262567)	(58, 0.15668820175434567)	(60, 0.16415413770391812)	(62, 0.1714960624134792)	(64, 0.1790653410630611)	(66, 0.18635214966595048)	(68, 0.19359762118883606)	(70, 0.20107044665174245)	(72, 0.20849963853020043)	(74, 0.2157198485041948)	(76, 0.22301813962930744)	(78, 0.23034169230331128)	(80, 0.2378237037839963)	(82, 0.24523452362689702)	(84, 0.25218374607642213)	(86, 0.25969331561044307)	(88, 0.26716154806446013)
SRR9127157_2_clean - polya	(1, 0.0028890025913756155)	(2, 0.003169176133623489)	(3, 0.003440163658092744)	(4, 0.0037341162270085456)	(5, 0.004372544462622553)	(6, 0.004942077564896919)	(7, 0.005222251107144793)	(8, 0.005571319782732308)	(9, 0.005874458369426728)	(10, 0.007651952809589468)	(12, 0.01156519638328108)	(14, 0.017085993068230984)	(16, 0.02331181661768988)	(18, 0.029236798084899013)	(20, 0.03478744932762943)	(22, 0.04139449261490101)	(24, 0.04823348285108271)	(26, 0.05496453737836564)	(28, 0.06144527292118121)	(30, 0.0675907188150772)	(32, 0.07407375086233742)	(34, 0.08110335096742546)	(36, 0.08695943730129495)	(38, 0.09297857545073493)	(40, 0.09933070674464983)	(42, 0.10560705339189114)	(44, 0.11199592875692052)	(46, 0.11791172420635103)	(48, 0.12511356214478817)	(50, 0.1324485973410153)	(52, 0.1390694196549548)	(54, 0.14598189803336545)	(56, 0.15329856119403534)	(58, 0.16013984793466168)	(60, 0.1678055797709191)	(62, 0.17538634094272426)	(64, 0.18316689800121438)	(66, 0.19070402558857114)	(68, 0.198473100124838)	(70, 0.20635011037000361)	(72, 0.21397909813514654)	(74, 0.22203293922255057)	(76, 0.2298043102632621)	(78, 0.23759634984397549)	(80, 0.2456570804447135)	(82, 0.2540416181721478)	(84, 0.26208856974621786)	(86, 0.27033991021586223)	(88, 0.2782651470543656)
SRR9127293_1_clean - polya	(1, 0.0009283468771352384)	(2, 0.0010711694736175827)	(3, 0.001256189655424256)	(4, 0.0015158671035739731)	(5, 0.0020514518403827644)	(6, 0.002434476076403597)	(7, 0.0026616938435345995)	(8, 0.003028488239046075)	(9, 0.003401774570761293)	(10, 0.005131875569058783)	(12, 0.00847846868208826)	(14, 0.013667148692929794)	(16, 0.02015096997641804)	(18, 0.026188470645898965)	(20, 0.031531334141579395)	(22, 0.037588310619671536)	(24, 0.04395365406744148)	(26, 0.05084646733176553)	(28, 0.057331911599304716)	(30, 0.06378651916987613)	(32, 0.07050080418859725)	(34, 0.077956792918596)	(36, 0.08449579565981605)	(38, 0.09102343751267956)	(40, 0.0982651923479548)	(42, 0.10552642299184126)	(44, 0.11251499231517051)	(46, 0.11910106159386771)	(48, 0.12634768538129576)	(50, 0.1336868192596271)	(52, 0.14081496521133685)	(54, 0.1480972946478855)	(56, 0.15550134788825432)	(58, 0.16297843541091522)	(60, 0.1710673879207789)	(62, 0.179297540043074)	(64, 0.18738162360078486)	(66, 0.19508917485867866)	(68, 0.2032933592361588)	(70, 0.21148131377312956)	(72, 0.21968549815060967)	(74, 0.22775659783591307)	(76, 0.2357838769518412)	(78, 0.2437056621044585)	(80, 0.2521062275521018)	(82, 0.2602065409503221)	(84, 0.2681770156244675)	(86, 0.2763130346718083)	(88, 0.284601614219937)
SRR9127293_2_clean - polya	(1, 0.0013697985389897573)	(2, 0.001577540497509531)	(3, 0.0017820364879274331)	(4, 0.0020417139360771504)	(5, 0.002749334982285129)	(6, 0.0033498390811313498)	(7, 0.003651714114605396)	(8, 0.004008770605811257)	(9, 0.004382056937526475)	(10, 0.0060715833345505715)	(12, 0.00903028325940641)	(14, 0.014081009625918406)	(16, 0.02001788528424131)	(18, 0.025748641968095377)	(20, 0.031104489336183296)	(22, 0.03710628435654363)	(24, 0.0436728778266296)	(26, 0.050200519679493114)	(28, 0.05641492561052602)	(30, 0.06273482550486977)	(32, 0.06941502785852123)	(34, 0.07714043194097532)	(36, 0.08354634999001864)	(38, 0.0902752418651982)	(40, 0.09750563581211688)	(42, 0.10434002165060724)	(44, 0.11125555669164439)	(46, 0.11802664615214825)	(48, 0.12573419741004205)	(50, 0.13358781723252006)	(52, 0.14140248543777562)	(54, 0.14942002664939813)	(56, 0.15721035009388962)	(58, 0.1650996755654882)	(60, 0.1730247066862074)	(62, 0.18106983862669582)	(64, 0.18944281334547325)	(66, 0.19786772355388066)	(68, 0.2065003757208078)	(70, 0.2150535016692391)	(72, 0.2235384622875311)	(74, 0.232051013634689)	(76, 0.24045969400258704)	(78, 0.24902742680747678)	(80, 0.2578045245549372)	(82, 0.26610933394357533)	(84, 0.2747419861105025)	(86, 0.28344118062351803)	(88, 0.29192614124181004)
