Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1_clean	(1, 0.0)	(2, 0.003851962141738727)	(3, 0.001066434701478053)	(4, 0.014503511940101521)	(5, 0.0002687415447724693)	(6, 0.002196855485044789)	(7, 2.5594432835473273e-05)	(8, 0.0)	(9, 0.0)	(10, 1.493008582069274e-05)	(12, 0.0)	(14, 6.398608208868318e-06)	(16, 0.0)	(18, 4.265738805912211e-06)	(20, 0.0)	(22, 0.0001514337276098835)	(24, 0.00018555963805718122)	(26, 2.3461563432517166e-05)	(28, 4.265738805912211e-06)	(30, 2.3461563432517166e-05)	(32, 2.1348609145586178e-06)	(34, 0.0)	(36, 4.27800303246245e-06)	(38, 0.0002527216623842481)	(40, 0.002044321446701719)	(42, 2.5780117084698423e-05)	(44, 0.0)	(46, 0.0)	(48, 4.315636877307005e-06)	(50, 4.755096842410363e-05)	(52, 0.000952785123005209)	(54, 4.340748590743415e-06)	(56, 2.176105327675982e-06)	(58, 1.3092601702457185e-05)	(60, 1.3135912823777261e-05)	(62, 2.1964158973244096e-05)	(64, 0.004861367863803283)	(66, 0.0)	(68, 0.0005968961356566957)	(70, 2.2280606323031093e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.1296546686345553e-05)	(80, 2.720691559891048e-05)	(82, 9.100825681510782e-05)	(84, 0.0013262989420289113)	(86, 1.1450594520592806e-05)	(88, 0.0)	(90, 0.0013855897558761455)	(92, 4.626963663135668e-06)	(94, 1.6249910248263574e-05)	(96, 0.0023512207349118282)	(98, 0.0002390205668293069)	(100, 0.0034084699585215064)
SRR9126859_2_clean	(1, 0.0)	(2, 0.01122315879835503)	(3, 0.0)	(4, 1.2797216417736636e-05)	(5, 1.2797216417736636e-05)	(6, 0.0007635672462582858)	(7, 0.00016636381343057625)	(8, 0.00037111927611436243)	(9, 0.0011133578283430872)	(10, 0.0014396868777020123)	(12, 5.5454606842407435e-05)	(14, 6.611895431210116e-05)	(16, 0.0002751401647180984)	(18, 0.0022501773161053788)	(20, 0.00023034990534538473)	(22, 3.625878294366375e-05)	(24, 0.00058014052709862)	(26, 0.000991784378141917)	(28, 0.00022395132074651549)	(30, 0.001251994579865918)	(32, 2.1348600486090557e-06)	(34, 0.0020108266239000955)	(36, 4.919689491444852e-05)	(38, 1.2850221544244534e-05)	(40, 9.65312855429534e-05)	(42, 0.002683278156412172)	(44, 0.0023384388818665208)	(46, 0.0005709094408579722)	(48, 5.3945394615848264e-05)	(50, 0.0007132632776228604)	(52, 0.0023862878099129036)	(54, 1.5192585445325173e-05)	(56, 3.264150249097098e-05)	(58, 0.00011783301163830109)	(60, 1.751450480134972e-05)	(62, 6.80887656984964e-05)	(64, 0.00010132412123792349)	(66, 9.281228311343931e-05)	(68, 0.0005236695531509951)	(70, 0.0009001355929499509)	(72, 0.0012541637229588553)	(74, 0.0004978937077673437)	(76, 6.077845176078439e-05)	(78, 4.2927205220237347e-05)	(80, 5.6681882502357285e-05)	(82, 0.0004664286712475575)	(84, 0.00033558245105587024)	(86, 0.00024276708117771626)	(88, 0.0009145122244549393)	(90, 1.614142731216665e-05)	(92, 0.0003402082319699878)	(94, 0.0008247401220643259)	(96, 0.001382324727412335)	(98, 0.0005301456535304862)	(100, 0.0012946200205500922)
SRR9126934_1_clean	(1, 0.0)	(2, 0.003849712943758465)	(3, 0.001000729783009186)	(4, 0.014733871723783456)	(5, 0.0002216600170834679)	(6, 0.002402403420448762)	(7, 4.889559200370616e-05)	(8, 0.0)	(9, 0.0)	(10, 2.6077649068643282e-05)	(12, 0.0)	(14, 4.889559200370616e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00021025104561593646)	(24, 0.0001841733965472932)	(26, 3.5856767469384516e-05)	(28, 6.5194122671608206e-06)	(30, 2.6077649068643282e-05)	(32, 8.152646766555938e-06)	(34, 3.2624668441611752e-06)	(36, 4.895675441000812e-06)	(38, 0.0003314157476682127)	(40, 0.0021200865707460886)	(42, 3.431599976625902e-05)	(44, 0.0)	(46, 0.0)	(48, 1.636041844780497e-06)	(50, 7.037956863445814e-05)	(52, 0.001116794298624278)	(54, 4.9156313800798954e-06)	(56, 1.6396631095705858e-06)	(58, 9.84511355591899e-06)	(60, 9.854125115790076e-06)	(62, 4.1095199561247924e-05)	(64, 0.00506502295184142)	(66, 3.292800550082089e-06)	(68, 0.0006444493176460196)	(70, 8.249784057777396e-06)	(72, 3.3026283571464946e-06)	(74, 4.9578529614511725e-06)	(76, 0.0)	(78, 6.6220525740646775e-06)	(80, 2.816530522484471e-05)	(82, 0.0001326427949428608)	(84, 0.0014733577594369808)	(86, 2.3242485430531017e-05)	(88, 0.0)	(90, 0.0014079048856028246)	(92, 6.653121023148886e-06)	(94, 2.8296652382849444e-05)	(96, 0.0025848316740937497)	(98, 0.00030055418183741727)	(100, 0.003565700726026127)
SRR9126934_2_clean	(1, 0.0)	(2, 0.011001508200833884)	(3, 3.2597061335804103e-06)	(4, 6.5194122671608206e-06)	(5, 1.9558237439023526e-05)	(6, 0.0007921086162804529)	(7, 0.00015320619327235095)	(8, 0.0005280724108536352)	(9, 0.0013234407333739253)	(10, 0.001504354429684893)	(12, 8.801206991007335e-05)	(14, 7.823295230625854e-05)	(16, 0.0002998929936162887)	(18, 0.0023583976182759226)	(20, 0.0002689257910851459)	(22, 2.7707506651349958e-05)	(24, 0.0006519413329729402)	(26, 0.001046365873530027)	(28, 0.00023795859817025159)	(30, 0.0014521994138721064)	(32, 6.522118370350241e-06)	(34, 0.001972160982101587)	(36, 4.4061070340659306e-05)	(38, 2.2856257340429896e-05)	(40, 9.636759343381272e-05)	(42, 0.002918494886105737)	(44, 0.0025076854674526785)	(46, 0.0006050854719207143)	(48, 5.2353349311248334e-05)	(50, 0.000841281603156698)	(52, 0.0024612055141811206)	(54, 1.310835292431296e-05)	(56, 3.4432939415587426e-05)	(58, 0.00011157806165278614)	(60, 1.806591592493901e-05)	(62, 7.232760116272537e-05)	(64, 9.212126165134501e-05)	(66, 8.396649420771956e-05)	(68, 0.0005307242708417152)	(70, 0.0009652280632618062)	(72, 0.0014597681217786125)	(74, 0.0005205772881516097)	(76, 6.781967390514316e-05)	(78, 5.9599057275356255e-05)	(80, 5.6331378546134834e-05)	(82, 0.00048913011127909)	(84, 0.00042642329809649946)	(86, 0.00021085191378660383)	(88, 0.0009253290520778015)	(90, 4.987344778868448e-05)	(92, 0.00035769920418415565)	(94, 0.000879333802055999)	(96, 0.0015502210633592036)	(98, 0.0005596899097365528)	(100, 0.0014014883002987377)
SRR9127010_1_clean	(1, 0.0)	(2, 0.003927252916959434)	(3, 0.0010769263858224696)	(4, 0.01557094418247588)	(5, 0.000263862305358212)	(6, 0.0022980565896895434)	(7, 4.602249512061836e-05)	(8, 0.0)	(9, 0.0)	(10, 3.2215746584432855e-05)	(12, 1.5340831706872787e-06)	(14, 3.0681663413745574e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00021937389340828087)	(24, 0.00017948773097041163)	(26, 3.374982975512013e-05)	(28, 7.670415853436394e-06)	(30, 3.6817996096494686e-05)	(32, 1.074688831908887e-05)	(34, 3.073001076564467e-06)	(36, 1.0763474132081114e-05)	(38, 0.0003093149695241656)	(40, 0.0021486310524780417)	(42, 3.083015304889558e-05)	(44, 0.0)	(46, 1.543642239300051e-06)	(48, 4.634369846194534e-06)	(50, 5.410936176059867e-05)	(52, 0.0011264742112297595)	(54, 9.295213374101726e-06)	(56, 0.0)	(58, 1.8643386628354092e-05)	(60, 7.782822274568101e-06)	(62, 2.4951118419848165e-05)	(64, 0.005255163569113443)	(66, 0.0)	(68, 0.0006616844960062872)	(70, 1.571616653528999e-05)	(72, 0.0)	(74, 3.153400013237973e-06)	(76, 0.0)	(78, 7.911067951137194e-06)	(80, 3.8032146386492085e-05)	(82, 0.00011109378577071115)	(84, 0.0014937872514189034)	(86, 2.2272370054283016e-05)	(88, 0.0)	(90, 0.0014445343761872367)	(92, 7.981324212148323e-06)	(94, 1.91773670248562e-05)	(96, 0.002484041037318881)	(98, 0.0002759709568806772)	(100, 0.0034115713948412027)
SRR9127010_2_clean	(1, 0.0)	(2, 0.011674372928930192)	(3, 3.0681663413745574e-06)	(4, 1.8408998048247343e-05)	(5, 1.8408998048247343e-05)	(6, 0.0007578370863195157)	(7, 0.0002485214812763916)	(8, 0.000420338801665008)	(9, 0.001165903245494183)	(10, 0.0014834585170845484)	(12, 7.517008228270615e-05)	(14, 9.664724864919363e-05)	(16, 0.0003374983389712431)	(18, 0.002489817406180021)	(20, 0.0002822713553697876)	(22, 2.914758605598506e-05)	(24, 0.0007348260078518383)	(26, 0.0011122105717440403)	(28, 0.00025005561819900496)	(30, 0.0013960160279821749)	(32, 6.141079133761485e-06)	(34, 0.0020297164002191417)	(36, 4.305387269584899e-05)	(38, 1.6927684378338792e-05)	(40, 0.00010473614861739119)	(42, 0.0028733713271948008)	(44, 0.002511319525950492)	(46, 0.0006159130443158543)	(48, 6.642594214192305e-05)	(50, 0.0007915424676756937)	(52, 0.0024308950388418652)	(54, 2.1688844310395683e-05)	(56, 3.412891876389648e-05)	(58, 0.00013827169608365928)	(60, 1.7122205805831788e-05)	(62, 7.797231680220932e-05)	(64, 9.370292599255449e-05)	(66, 9.69878939085095e-05)	(68, 0.0005268401786571493)	(70, 0.00110013637762024)	(72, 0.0014105654437347643)	(74, 0.0005691925883304514)	(76, 6.160194337388252e-05)	(78, 6.01248203929214e-05)	(80, 9.825139457554051e-05)	(82, 0.0005316760192975224)	(84, 0.0003909407211340218)	(86, 0.0002465998729962925)	(88, 0.0008982790120867582)	(90, 3.986656437650424e-05)	(92, 0.00040397790818865934)	(94, 0.000885924379094142)	(96, 0.0014924683570257473)	(98, 0.0005813764968658105)	(100, 0.0014184797743761568)
SRR9127157_1_clean	(1, 0.0)	(2, 0.003862720475909209)	(3, 0.0011069151423235665)	(4, 0.015450881903636835)	(5, 0.0003398826578088959)	(6, 0.0023791786046622717)	(7, 3.6744071114475236e-05)	(8, 0.0)	(9, 0.0)	(10, 2.5261548891201724e-05)	(12, 0.0)	(14, 2.2965044446547022e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0002066854000189232)	(24, 0.0001883133644616856)	(26, 2.5261548891201724e-05)	(28, 1.1482522223273512e-05)	(30, 2.2965044446547023e-05)	(32, 4.594366695380693e-06)	(34, 4.59583978148804e-06)	(36, 0.0)	(38, 0.00027131305447593653)	(40, 0.002060826063267222)	(42, 2.760891538813039e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 4.376185269626794e-05)	(52, 0.0011796440258264628)	(54, 4.609900323352239e-06)	(56, 4.612044927221009e-06)	(58, 2.0764258527938657e-05)	(60, 1.1542566874342838e-05)	(62, 4.619696746936592e-05)	(64, 0.005003323917224085)	(66, 0.0)	(68, 0.0006779872959064447)	(70, 6.946662874097478e-06)	(72, 4.633615182244024e-06)	(74, 0.0)	(76, 0.0)	(78, 2.3207282129513204e-06)	(80, 3.018516322139406e-05)	(82, 0.00012777265202941886)	(84, 0.00144103512062905)	(86, 3.022846112857076e-05)	(88, 2.3262601223138266e-06)	(90, 0.0014429393810925788)	(92, 4.656765095701529e-06)	(94, 1.6309101650646507e-05)	(96, 0.0024462774822818782)	(98, 0.0002944517026529491)	(100, 0.00316133770040648)
SRR9127157_2_clean	(1, 0.0)	(2, 0.011546824347723842)	(3, 4.5930088893094045e-06)	(4, 1.8372035557237618e-05)	(5, 9.186017778618809e-06)	(6, 0.0007532534578467424)	(7, 0.0001883133644616856)	(8, 0.0005281960222705815)	(9, 0.0012538914267814674)	(10, 0.0015225824468060676)	(12, 8.497066445222398e-05)	(14, 6.200562000567695e-05)	(16, 0.00026869102002460013)	(18, 0.002413626171332092)	(20, 0.00028247004669252837)	(22, 3.6744071114475236e-05)	(24, 0.0006820618200624465)	(26, 0.0010517990356518536)	(28, 0.00025031898446736253)	(30, 0.001403164215684023)	(32, 9.188734657253879e-06)	(34, 0.002118681165554068)	(36, 2.9881475128901213e-05)	(38, 2.069336808592898e-05)	(40, 9.66012394905039e-05)	(42, 0.0029426507734075387)	(44, 0.0025913345909360868)	(46, 0.0005616845804530405)	(48, 5.0657601289355695e-05)	(50, 0.0007831063687622555)	(52, 0.0025482142409510287)	(54, 1.613464704088153e-05)	(56, 5.303849831684632e-05)	(58, 8.99784204062198e-05)	(60, 2.770215921940671e-05)	(62, 7.853489367692011e-05)	(64, 9.93732345218272e-05)	(66, 0.00010405409314464581)	(68, 0.0004951858677840775)	(70, 0.0009748501625197945)	(72, 0.0014016717426104386)	(74, 0.0005563270085520211)	(76, 5.798627042838911e-05)	(78, 5.105622685339848e-05)	(80, 7.19804558666231e-05)	(82, 0.0004925103234926286)	(84, 0.00040210095657958146)	(86, 0.0002441582692499263)	(88, 0.0009212337469416958)	(90, 3.0257404394166467e-05)	(92, 0.0003120488754235918)	(94, 0.0008226577947956337)	(96, 0.0014563840630412647)	(98, 0.0006143841772760458)	(100, 0.0012906773811594773)
SRR9127293_1_clean	(1, 0.0)	(2, 0.0034537100603912367)	(3, 0.0008991331642183953)	(4, 0.01501584843925739)	(5, 0.0002856451929646887)	(6, 0.0025286091513578696)	(7, 6.491936203742926e-05)	(8, 0.0)	(9, 0.0)	(10, 2.272177671310024e-05)	(12, 0.0)	(14, 1.6229840509357316e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00020287300636696642)	(24, 0.00018664316585760912)	(26, 3.7328633171521824e-05)	(28, 8.114920254678657e-06)	(30, 3.0836696967778895e-05)	(32, 3.247257731436524e-06)	(34, 3.2486335516339275e-06)	(36, 0.0)	(38, 0.0003023669627223964)	(40, 0.0020313627775329066)	(42, 2.277975195063016e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 5.378126455659189e-05)	(52, 0.0010859204028171188)	(54, 6.526038583963181e-06)	(56, 3.265267952133001e-06)	(58, 1.3070460664138209e-05)	(60, 9.811514269866355e-06)	(62, 2.6186639808775994e-05)	(64, 0.004987224924450094)	(66, 1.6391637930486211e-06)	(68, 0.0006120425726311988)	(70, 3.2849875690321657e-06)	(72, 6.57518923682288e-06)	(74, 3.2900863545675395e-06)	(76, 0.0)	(78, 9.886682796460092e-06)	(80, 3.462925115695504e-05)	(82, 8.746141878791412e-05)	(84, 0.0014135127992593193)	(86, 2.9740619663985522e-05)	(88, 1.6532254204768071e-06)	(90, 0.0014292932594794567)	(92, 3.3106109002426693e-06)	(94, 1.9879160546784262e-05)	(96, 0.0024104868529357653)	(98, 0.0003042176738299788)	(100, 0.0030775266560387196)
SRR9127293_2_clean	(1, 0.0)	(2, 0.011110948812706018)	(3, 6.49193641446911e-06)	(4, 2.596774565787644e-05)	(5, 2.9213714813378895e-05)	(6, 0.0007433267435848629)	(7, 0.00024020165513222646)	(8, 0.00037977829257392564)	(9, 0.0011360889094091792)	(10, 0.0014898994554823236)	(12, 8.764114444013669e-05)	(14, 7.465727118974606e-05)	(16, 0.00029862909445239005)	(18, 0.0024701820462494683)	(20, 0.0002450706274884102)	(22, 3.408267060121344e-05)	(24, 0.0006767844810494502)	(26, 0.0010598087916673645)	(28, 0.0001898891740238037)	(30, 0.0013162404498315845)	(32, 8.118148810083961e-06)	(34, 0.002067756632678628)	(36, 5.199805618266475e-05)	(38, 3.088696437452011e-05)	(40, 0.00016263925783152752)	(42, 0.0028051644248592044)	(44, 0.0023976720606420586)	(46, 0.0006073840608450973)	(48, 8.308200754541018e-05)	(50, 0.0007822731429886765)	(52, 0.0024555506605781837)	(54, 1.6315106308661678e-05)	(56, 3.7550605359023215e-05)	(58, 0.00010619758658959097)	(60, 2.1258310466341104e-05)	(62, 6.5466701311645e-05)	(64, 9.663274993630837e-05)	(66, 9.507167141866571e-05)	(68, 0.0005464094149262939)	(70, 0.0009887852210182166)	(72, 0.0013676462405467825)	(74, 0.0005560279782750328)	(76, 7.079830539151981e-05)	(78, 4.119498274111481e-05)	(80, 7.255768084148573e-05)	(82, 0.000476923330300497)	(84, 0.00039467458807738927)	(86, 0.00024289500709649982)	(88, 0.0008928279724194196)	(90, 4.96375934483539e-05)	(92, 0.00033284501161455216)	(94, 0.0008389703797362323)	(96, 0.0014580636940743628)	(98, 0.0004928407390146881)	(100, 0.001193331424003055)
