Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1_clean	(1, 35.933278726188966)	(2, 35.97785829881142)	(3, 36.24695752578277)	(4, 36.22399309155069)	(5, 36.31045394371392)	(6, 36.45043740459142)	(7, 36.43002358356356)	(8, 36.437895663270766)	(9, 36.492027974032574)	(10, 36.43544851556129)	(12, 36.42400129883215)	(14, 36.44044757752532)	(16, 36.41919052657901)	(18, 36.41047336135696)	(20, 36.40562445339889)	(22, 36.395677454350405)	(24, 36.36965167000688)	(26, 36.33425917639333)	(28, 36.32796027982906)	(30, 36.30490057032075)	(32, 36.295034505569035)	(34, 36.27854291656363)	(36, 36.24757828604429)	(38, 36.22753978650853)	(40, 36.20858061292758)	(42, 36.18023804237501)	(44, 36.18139132050982)	(46, 36.152948530677534)	(48, 36.12061715448263)	(50, 36.090382530609446)	(52, 36.08523042145492)	(54, 36.085699303727964)	(56, 36.06363251206037)	(58, 36.04630917868259)	(60, 36.01871119425995)	(62, 35.99785112828908)	(64, 36.00770353181353)	(66, 35.97633967162421)	(68, 35.947718656249734)	(70, 35.93894166763128)	(72, 35.92507458061822)	(74, 35.90066055965926)	(76, 35.89477576852339)	(78, 35.85771318266784)	(80, 35.83466311880575)	(82, 35.81895346442077)	(84, 35.80338956192962)	(86, 35.79197735282287)	(88, 35.75047211776868)	(90, 35.745250558022335)	(92, 35.73031487211316)	(94, 35.696650591538116)	(96, 35.66327530346335)	(98, 35.64341515413156)	(100, 35.42053218110437)
SRR9126859_2_clean	(1, 36.36904416481484)	(2, 36.11877262921115)	(3, 36.241994082737754)	(4, 36.194593150469075)	(5, 36.20947051175813)	(6, 36.29938887319571)	(7, 36.2559290996672)	(8, 36.245307410040475)	(9, 36.33615246057626)	(10, 36.26019667969594)	(12, 36.25299099754179)	(14, 36.252218792141505)	(16, 36.21317111325166)	(18, 36.199403568640456)	(20, 36.199017497933355)	(22, 36.176322003757605)	(24, 36.147626824264684)	(26, 36.12696401284209)	(28, 36.103651624526904)	(30, 36.08095823536672)	(32, 36.06729864765413)	(34, 36.041612179825066)	(36, 36.004613074792275)	(38, 35.97572727870805)	(40, 35.962711785749256)	(42, 35.92278815099783)	(44, 35.90578351588613)	(46, 35.86894320243098)	(48, 35.846337812336316)	(50, 35.824858554893595)	(52, 35.795454502169626)	(54, 35.795418005038385)	(56, 35.77146106003326)	(58, 35.76437663086153)	(60, 35.72944854110599)	(62, 35.682577864748794)	(64, 35.684776047046526)	(66, 35.64959603667877)	(68, 35.6280182100767)	(70, 35.5917924110375)	(72, 35.56674250398194)	(74, 35.55840789269639)	(76, 35.547218269006095)	(78, 35.480741558084965)	(80, 35.48293746983671)	(82, 35.456173956631886)	(84, 35.411677060629216)	(86, 35.35688151769932)	(88, 35.3556161499786)	(90, 35.358272515613095)	(92, 35.32283824800466)	(94, 35.278695722407605)	(96, 35.25602508936139)	(98, 35.24889927060745)	(100, 35.037341031253824)
SRR9126934_1_clean	(1, 35.972743967164064)	(2, 36.014112213167046)	(3, 36.26008885567755)	(4, 36.2502370784271)	(5, 36.32442107945038)	(6, 36.45765149516853)	(7, 36.437764810377026)	(8, 36.43342180610407)	(9, 36.49462617885642)	(10, 36.4550320605137)	(12, 36.445033824666666)	(14, 36.45408200286254)	(16, 36.4341949758019)	(18, 36.426223690422844)	(20, 36.41812827543421)	(22, 36.411138243094015)	(24, 36.38666166388701)	(26, 36.35001221737859)	(28, 36.348245195877695)	(30, 36.33332790048978)	(32, 36.317929133648434)	(34, 36.3039432905523)	(36, 36.28263358749684)	(38, 36.26665635416229)	(40, 36.25477635759816)	(42, 36.22209475151393)	(44, 36.21537735175861)	(46, 36.191897469406335)	(48, 36.15968029437599)	(50, 36.1230926137868)	(52, 36.12694821128058)	(54, 36.131242651274775)	(56, 36.11094036502)	(58, 36.10138127900133)	(60, 36.0815306519189)	(62, 36.061681085002654)	(64, 36.06841979697181)	(66, 36.045061216441354)	(68, 36.02557019709462)	(70, 36.02494467741371)	(72, 36.00855984873027)	(74, 35.99551050196298)	(76, 35.99321843165639)	(78, 35.95789641975058)	(80, 35.93797585611847)	(82, 35.93220374297202)	(84, 35.92187914629237)	(86, 35.90781273928371)	(88, 35.88093536986915)	(90, 35.87167228864446)	(92, 35.8529991860745)	(94, 35.837964262680714)	(96, 35.81624333845016)	(98, 35.79877705244412)	(100, 35.5871380061858)
SRR9126934_2_clean	(1, 36.38015722996953)	(2, 36.18539418909138)	(3, 36.279686339340884)	(4, 36.241575908841924)	(5, 36.24991903704627)	(6, 36.32637169823948)	(7, 36.27623533005878)	(8, 36.27221347190301)	(9, 36.33915251744994)	(10, 36.287243569911624)	(12, 36.27140531415448)	(14, 36.28002073825178)	(16, 36.24206270443045)	(18, 36.2252124505531)	(20, 36.220470530166494)	(22, 36.2025353379095)	(24, 36.178049839415436)	(26, 36.16043220582466)	(28, 36.1373920302582)	(30, 36.12203855222727)	(32, 36.104038773304794)	(34, 36.07732560166585)	(36, 36.058220924840015)	(38, 36.031053987132964)	(40, 36.013939049470366)	(42, 35.97139043073646)	(44, 35.95170668784641)	(46, 35.92112299499263)	(48, 35.89347827179778)	(50, 35.864911022558125)	(52, 35.840341609197175)	(54, 35.84718763788006)	(56, 35.82709381560318)	(58, 35.83348929705306)	(60, 35.80253546600093)	(62, 35.753545988454064)	(64, 35.754826171054845)	(66, 35.73226116271573)	(68, 35.720537079364874)	(70, 35.68556306712046)	(72, 35.66300103645017)	(74, 35.66324908575011)	(76, 35.656837113292966)	(78, 35.60158276566931)	(80, 35.604380598303074)	(82, 35.581081564068896)	(84, 35.54773677110117)	(86, 35.49843156979839)	(88, 35.51260885270321)	(90, 35.50681622584865)	(92, 35.47059031465625)	(94, 35.451307327162546)	(96, 35.43232638740068)	(98, 35.425536884831565)	(100, 35.22727982593716)
SRR9127010_1_clean	(1, 36.03159539403187)	(2, 36.07825747910801)	(3, 36.313608327150725)	(4, 36.28824091193022)	(5, 36.366065963674075)	(6, 36.484190828041946)	(7, 36.46174111628544)	(8, 36.46200905925203)	(9, 36.51290091844639)	(10, 36.469453151815294)	(12, 36.45773738932242)	(14, 36.463227765604486)	(16, 36.44277911193582)	(18, 36.43348582017778)	(20, 36.426783410805044)	(22, 36.416502062099255)	(24, 36.39261292010369)	(26, 36.35656738090613)	(28, 36.34896825389764)	(30, 36.33037033350692)	(32, 36.31578520672993)	(34, 36.30366319171077)	(36, 36.27426988761215)	(38, 36.253413865621695)	(40, 36.23761377212024)	(42, 36.206529953010794)	(44, 36.20331881638266)	(46, 36.175006776193456)	(48, 36.139114999152525)	(50, 36.10151308009947)	(52, 36.09905556504198)	(54, 36.10306041779356)	(56, 36.07948229115034)	(58, 36.06438342538871)	(60, 36.0391076184426)	(62, 36.018970215992475)	(64, 36.02744372291407)	(66, 35.99986695561072)	(68, 35.97476051396206)	(70, 35.9672469519014)	(72, 35.9514717426412)	(74, 35.93150728162348)	(76, 35.929631944557784)	(78, 35.892642783989615)	(80, 35.86774545792103)	(82, 35.859521101499084)	(84, 35.84689252864837)	(86, 35.83017852342515)	(88, 35.78998381229576)	(90, 35.78690471490156)	(92, 35.769215217617756)	(94, 35.74164910970481)	(96, 35.71286295937266)	(98, 35.697985887858735)	(100, 35.47707921945045)
SRR9127010_2_clean	(1, 36.385112588051385)	(2, 36.18100377332301)	(3, 36.28546373048466)	(4, 36.2423447945812)	(5, 36.25431984781159)	(6, 36.3265854435082)	(7, 36.28165746400826)	(8, 36.264958784093004)	(9, 36.35212284594773)	(10, 36.28139957791233)	(12, 36.272046679455194)	(14, 36.268243103973354)	(16, 36.22227812421983)	(18, 36.20871551760127)	(20, 36.20685792985072)	(22, 36.184406958618915)	(24, 36.157669944335396)	(26, 36.13896331665672)	(28, 36.109831468956486)	(30, 36.08910619966423)	(32, 36.073906651478914)	(34, 36.045982365981345)	(36, 36.014732250116495)	(38, 35.98389754002186)	(40, 35.96951742873703)	(42, 35.92537785901877)	(44, 35.90127478701754)	(46, 35.86287401736425)	(48, 35.83399734700413)	(50, 35.80511873418346)	(52, 35.774467232511945)	(54, 35.77802649427316)	(56, 35.75051599888471)	(58, 35.746257328048586)	(60, 35.71315483997515)	(62, 35.66281755679343)	(64, 35.665187081448906)	(66, 35.63369465199599)	(68, 35.61182282249172)	(70, 35.5743148125394)	(72, 35.55189080884215)	(74, 35.54425248609571)	(76, 35.534395659885405)	(78, 35.47277018926552)	(80, 35.4719749435828)	(82, 35.44539430146702)	(84, 35.40683798759173)	(86, 35.345349852064345)	(88, 35.34914870188088)	(90, 35.34941538151723)	(92, 35.31293546611859)	(94, 35.28007332939581)	(96, 35.252996312891284)	(98, 35.25014092000093)	(100, 35.046279269654676)
SRR9127157_1_clean	(1, 35.919102415830814)	(2, 35.95392573655787)	(3, 36.210218480246844)	(4, 36.1995095585108)	(5, 36.287495992599744)	(6, 36.42274614164288)	(7, 36.399396754212475)	(8, 36.40275268208754)	(9, 36.46277678619819)	(10, 36.42370757322864)	(12, 36.410915147835176)	(14, 36.41999178310709)	(16, 36.40237058967804)	(18, 36.396252609977296)	(20, 36.38943571211388)	(22, 36.382995716559904)	(24, 36.35612068957598)	(26, 36.31489882520019)	(28, 36.318751532916714)	(30, 36.307085175512654)	(32, 36.29207607206362)	(34, 36.275748046269925)	(36, 36.2554764939449)	(38, 36.24089988368944)	(40, 36.22976299891951)	(42, 36.19238605092096)	(44, 36.186966811603256)	(46, 36.1625493664801)	(48, 36.129033797689445)	(50, 36.09142591005107)	(52, 36.098470642180295)	(54, 36.10580499607218)	(56, 36.08531533042965)	(58, 36.080588794790366)	(60, 36.060983570451484)	(62, 36.0382494070875)	(64, 36.04712075994665)	(66, 36.029085853455015)	(68, 36.01109460861305)	(70, 36.00935557822335)	(72, 35.994563621730435)	(74, 35.981853600375985)	(76, 35.98588609235699)	(78, 35.945038058732706)	(80, 35.92598893935649)	(82, 35.92084172309302)	(84, 35.91207292608091)	(86, 35.90306169583535)	(88, 35.87693882647295)	(90, 35.87248535053148)	(92, 35.84961753358206)	(94, 35.83372220420307)	(96, 35.81761746255576)	(98, 35.800455893429955)	(100, 35.607100673126425)
SRR9127157_2_clean	(1, 36.49462572029862)	(2, 36.298404939872924)	(3, 36.37783381758957)	(4, 36.33820510724217)	(5, 36.32921052607405)	(6, 36.419363482456085)	(7, 36.37437261795076)	(8, 36.36095744944705)	(9, 36.45218406758705)	(10, 36.37719692801194)	(12, 36.37371147728619)	(14, 36.382720250851776)	(16, 36.344127447729264)	(18, 36.32303607532902)	(20, 36.323155677280496)	(22, 36.308926329056014)	(24, 36.28029105438031)	(26, 36.259374055562546)	(28, 36.24995551670891)	(30, 36.23544679871874)	(32, 36.22042766401235)	(34, 36.19053651364261)	(36, 36.17199503732091)	(38, 36.14998635817787)	(40, 36.13641457431802)	(42, 36.088347894716165)	(44, 36.06983147614504)	(46, 36.037114259422026)	(48, 36.010833017667196)	(50, 35.9816127865011)	(52, 35.96473490002628)	(54, 35.974842115061605)	(56, 35.95675354394867)	(58, 35.966145805817035)	(60, 35.94155074125429)	(62, 35.889918231932384)	(64, 35.89757822433561)	(66, 35.88254651772385)	(68, 35.871818365295624)	(70, 35.843127032490415)	(72, 35.823253419993605)	(74, 35.82197439931936)	(76, 35.81923663613898)	(78, 35.76043701372249)	(80, 35.76787207837941)	(82, 35.750828639136934)	(84, 35.716585788969695)	(86, 35.6816379511191)	(88, 35.69042492640821)	(90, 35.68850254881153)	(92, 35.651405699532916)	(94, 35.6361467379705)	(96, 35.618763484491836)	(98, 35.60965150091343)	(100, 35.434411797165374)
SRR9127293_1_clean	(1, 35.83890727729818)	(2, 35.81403933139549)	(3, 36.127022294931905)	(4, 36.12046170650281)	(5, 36.19422172234314)	(6, 36.36155147537365)	(7, 36.33784899431793)	(8, 36.337059834553)	(9, 36.40064224724863)	(10, 36.35510485288461)	(12, 36.351003637107254)	(14, 36.358686015882526)	(16, 36.33946921929598)	(18, 36.33268332822094)	(20, 36.32193910888438)	(22, 36.31883656388308)	(24, 36.29263484968733)	(26, 36.25503219188865)	(28, 36.254174607116134)	(30, 36.23814725009697)	(32, 36.221284919696345)	(34, 36.20586810356022)	(36, 36.184128027229804)	(38, 36.16437461156656)	(40, 36.15202013589837)	(42, 36.12178018975908)	(44, 36.116769709237985)	(46, 36.090955396280734)	(48, 36.05676089767971)	(50, 36.01878322042914)	(52, 36.02226475961258)	(54, 36.0305347357029)	(56, 36.0055228074782)	(58, 35.99649769471088)	(60, 35.979280993859334)	(62, 35.96002902858062)	(64, 35.96799757532612)	(66, 35.94157608543999)	(68, 35.924172931155866)	(70, 35.91970048831589)	(72, 35.90465569526282)	(74, 35.891695250142234)	(76, 35.887041311470526)	(78, 35.85193127834372)	(80, 35.82739034841505)	(82, 35.822396882814346)	(84, 35.81475798113672)	(86, 35.798863793299056)	(88, 35.771760214096844)	(90, 35.76130412189636)	(92, 35.740702976641444)	(94, 35.724730168726495)	(96, 35.703879183630924)	(98, 35.685632570490625)	(100, 35.46402990171478)
SRR9127293_2_clean	(1, 36.11634289757835)	(2, 35.67798727255907)	(3, 35.87746986126635)	(4, 35.8330892311142)	(5, 35.81792587948213)	(6, 35.994894513820164)	(7, 35.93156154966163)	(8, 35.91612077053575)	(9, 36.074264249346456)	(10, 35.95604030557806)	(12, 35.96188356789566)	(14, 35.959558188656196)	(16, 35.915060114600934)	(18, 35.89108548628147)	(20, 35.88771487073022)	(22, 35.869749552421496)	(24, 35.84027582749157)	(26, 35.8197529954124)	(28, 35.79453446062883)	(30, 35.774167886907584)	(32, 35.755223353477106)	(34, 35.718279335882045)	(36, 35.70091857565889)	(38, 35.67151851588238)	(40, 35.646867537403224)	(42, 35.600972915302805)	(44, 35.581848902052485)	(46, 35.54889318446557)	(48, 35.51949111046934)	(50, 35.48864455015756)	(52, 35.45904218463214)	(54, 35.46920396836637)	(56, 35.4421746166266)	(58, 35.453925695855425)	(60, 35.42108511527435)	(62, 35.364251843709)	(64, 35.366962763367866)	(66, 35.34245522041594)	(68, 35.3283524031907)	(70, 35.286185850105554)	(72, 35.26149679962346)	(74, 35.25946293222684)	(76, 35.25425576820933)	(78, 35.19015009726134)	(80, 35.19103445484376)	(82, 35.165101430230024)	(84, 35.12648691436037)	(86, 35.06796062087607)	(88, 35.0897943882116)	(90, 35.08130635916934)	(92, 35.038911093353185)	(94, 35.02279913010433)	(96, 35.0040245089628)	(98, 34.994921522451634)	(100, 34.7979284566478)
