Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR9126859_1_clean	(0.0, 98.0)	(1.0, 116.5)	(2.0, 456.0)	(3.0, 811.5)	(4.0, 806.5)	(5.0, 918.5)	(6.0, 1238.5)	(7.0, 1711.0)	(8.0, 2437.0)	(9.0, 3080.0)	(10.0, 3451.0)	(11.0, 3824.5)	(12.0, 4440.0)	(13.0, 5238.5)	(14.0, 6220.5)	(15.0, 7577.0)	(16.0, 9391.0)	(17.0, 11966.0)	(18.0, 15651.0)	(19.0, 20922.5)	(20.0, 27810.5)	(21.0, 36708.5)	(22.0, 48296.5)	(23.0, 63045.5)	(24.0, 80906.0)	(25.0, 102397.5)	(26.0, 129225.5)	(27.0, 160343.5)	(28.0, 198624.5)	(29.0, 246077.0)	(30.0, 304109.5)	(31.0, 384883.0)	(32.0, 498665.0)	(33.0, 652443.0)	(34.0, 847131.5)	(35.0, 1027974.5)	(36.0, 1138023.5)	(37.0, 1157013.5)	(38.0, 1072195.5)	(39.0, 920306.0)	(40.0, 781762.0)	(41.0, 684978.5)	(42.0, 612729.0)	(43.0, 581944.5)	(44.0, 581784.0)	(45.0, 590305.5)	(46.0, 650589.0)	(47.0, 731597.5)	(48.0, 733800.0)	(49.0, 705201.5)	(50.0, 689288.5)	(51.0, 640027.0)	(52.0, 630958.0)	(53.0, 628513.5)	(54.0, 568188.5)	(55.0, 505658.5)	(56.0, 458300.5)	(57.0, 413436.5)	(58.0, 369360.0)	(59.0, 331613.0)	(60.0, 300847.5)	(61.0, 281768.5)	(62.0, 243425.5)	(63.0, 199729.5)	(64.0, 173360.5)	(65.0, 154751.0)	(66.0, 160549.0)	(67.0, 157624.5)	(68.0, 128434.0)	(69.0, 121740.5)	(70.0, 122066.0)	(71.0, 98239.0)	(72.0, 88317.0)	(73.0, 107956.0)	(74.0, 96507.0)	(75.0, 65984.0)	(76.0, 63445.5)	(77.0, 72546.0)	(78.0, 80855.5)	(79.0, 80702.0)	(80.0, 87257.5)	(81.0, 96383.5)	(82.0, 112739.5)	(83.0, 117263.0)	(84.0, 87611.0)	(85.0, 71194.0)	(86.0, 57117.5)	(87.0, 28907.5)	(88.0, 8851.0)	(89.0, 3009.0)	(90.0, 1690.5)	(91.0, 811.0)	(92.0, 487.0)	(93.0, 345.5)	(94.0, 227.0)	(95.0, 116.0)	(96.0, 53.5)	(97.0, 40.5)	(98.0, 38.0)	(99.0, 26.5)	(100.0, 4.5)
SRR9126859_2_clean	(0.0, 189.0)	(1.0, 210.0)	(2.0, 611.5)	(3.0, 1033.5)	(4.0, 1001.5)	(5.0, 1113.0)	(6.0, 1620.5)	(7.0, 2307.5)	(8.0, 3247.0)	(9.0, 3997.5)	(10.0, 4368.0)	(11.0, 4864.0)	(12.0, 5568.0)	(13.0, 6478.5)	(14.0, 7411.0)	(15.0, 8662.5)	(16.0, 10454.0)	(17.0, 12944.5)	(18.0, 16619.0)	(19.0, 21730.5)	(20.0, 28604.0)	(21.0, 37733.0)	(22.0, 49579.0)	(23.0, 64296.0)	(24.0, 82151.0)	(25.0, 104061.0)	(26.0, 129913.0)	(27.0, 161177.0)	(28.0, 200447.0)	(29.0, 247848.5)	(30.0, 306610.0)	(31.0, 388482.5)	(32.0, 502374.5)	(33.0, 654511.0)	(34.0, 848791.5)	(35.0, 1030406.5)	(36.0, 1135845.0)	(37.0, 1148702.0)	(38.0, 1061417.0)	(39.0, 911258.0)	(40.0, 779155.0)	(41.0, 684346.5)	(42.0, 610309.0)	(43.0, 580263.0)	(44.0, 580347.5)	(45.0, 588320.0)	(46.0, 645587.5)	(47.0, 721978.5)	(48.0, 726379.0)	(49.0, 702457.0)	(50.0, 690268.0)	(51.0, 645171.5)	(52.0, 634543.5)	(53.0, 629247.0)	(54.0, 569867.5)	(55.0, 507559.5)	(56.0, 458198.5)	(57.0, 413720.5)	(58.0, 370870.5)	(59.0, 333424.0)	(60.0, 303086.0)	(61.0, 284229.0)	(62.0, 246052.0)	(63.0, 201760.5)	(64.0, 175839.0)	(65.0, 157545.5)	(66.0, 161181.5)	(67.0, 158176.5)	(68.0, 129525.5)	(69.0, 121623.5)	(70.0, 121673.5)	(71.0, 98179.0)	(72.0, 88425.0)	(73.0, 106612.0)	(74.0, 95768.0)	(75.0, 66673.0)	(76.0, 64080.5)	(77.0, 72984.5)	(78.0, 79376.0)	(79.0, 78226.5)	(80.0, 84884.0)	(81.0, 96525.0)	(82.0, 112106.0)	(83.0, 113845.5)	(84.0, 85646.5)	(85.0, 69266.5)	(86.0, 55859.0)	(87.0, 29031.5)	(88.0, 9141.0)	(89.0, 3106.0)	(90.0, 1791.5)	(91.0, 1006.5)	(92.0, 660.5)	(93.0, 537.5)	(94.0, 552.0)	(95.0, 473.0)	(96.0, 440.0)	(97.0, 511.5)	(98.0, 627.0)	(99.0, 862.5)	(100.0, 2270.0)
SRR9126934_1_clean	(0.0, 257.0)	(1.0, 339.5)	(2.0, 983.5)	(3.0, 1638.5)	(4.0, 1502.0)	(5.0, 1381.0)	(6.0, 2062.0)	(7.0, 3642.0)	(8.0, 5366.0)	(9.0, 6575.0)	(10.0, 6826.0)	(11.0, 6761.5)	(12.0, 7175.5)	(13.0, 7821.5)	(14.0, 8835.5)	(15.0, 10202.0)	(16.0, 12007.5)	(17.0, 14200.0)	(18.0, 17250.5)	(19.0, 21965.5)	(20.0, 28460.0)	(21.0, 37325.0)	(22.0, 49152.5)	(23.0, 63728.0)	(24.0, 81623.5)	(25.0, 104296.0)	(26.0, 131088.0)	(27.0, 161521.5)	(28.0, 195615.5)	(29.0, 238106.0)	(30.0, 288740.5)	(31.0, 350612.0)	(32.0, 434723.0)	(33.0, 543651.0)	(34.0, 675142.5)	(35.0, 794709.0)	(36.0, 869877.0)	(37.0, 892702.0)	(38.0, 859084.0)	(39.0, 788308.5)	(40.0, 715705.0)	(41.0, 662014.0)	(42.0, 626532.0)	(43.0, 630643.0)	(44.0, 660615.5)	(45.0, 689968.5)	(46.0, 801259.0)	(47.0, 947752.5)	(48.0, 963778.5)	(49.0, 920742.0)	(50.0, 894123.0)	(51.0, 850956.5)	(52.0, 927038.5)	(53.0, 999999.5)	(54.0, 932646.0)	(55.0, 851816.0)	(56.0, 792747.5)	(57.0, 738542.0)	(58.0, 690086.5)	(59.0, 644212.5)	(60.0, 596484.5)	(61.0, 577356.5)	(62.0, 512413.5)	(63.0, 420565.5)	(64.0, 371896.5)	(65.0, 344731.0)	(66.0, 371725.0)	(67.0, 367660.0)	(68.0, 296579.5)	(69.0, 274390.5)	(70.0, 264439.5)	(71.0, 209684.5)	(72.0, 189200.5)	(73.0, 221021.5)	(74.0, 198176.0)	(75.0, 140014.0)	(76.0, 131775.0)	(77.0, 147213.0)	(78.0, 170129.5)	(79.0, 174019.5)	(80.0, 188139.5)	(81.0, 207521.5)	(82.0, 241660.0)	(83.0, 252743.0)	(84.0, 191308.0)	(85.0, 161377.5)	(86.0, 127861.5)	(87.0, 60116.5)	(88.0, 15681.5)	(89.0, 5190.0)	(90.0, 2905.5)	(91.0, 1260.5)	(92.0, 541.0)	(93.0, 160.0)	(94.0, 107.5)	(95.0, 66.0)	(96.0, 38.0)	(97.0, 25.0)	(98.0, 20.0)	(99.0, 12.5)	(100.0, 5.5)
SRR9126934_2_clean	(0.0, 414.0)	(1.0, 472.0)	(2.0, 1202.5)	(3.0, 1971.0)	(4.0, 1727.0)	(5.0, 1590.0)	(6.0, 2543.5)	(7.0, 4574.5)	(8.0, 6755.0)	(9.0, 8137.5)	(10.0, 8265.0)	(11.0, 8099.0)	(12.0, 8727.0)	(13.0, 9586.0)	(14.0, 10591.0)	(15.0, 11740.0)	(16.0, 13197.0)	(17.0, 15375.0)	(18.0, 18699.5)	(19.0, 23164.0)	(20.0, 29703.0)	(21.0, 38814.5)	(22.0, 50189.5)	(23.0, 64417.0)	(24.0, 82592.0)	(25.0, 105842.5)	(26.0, 132466.5)	(27.0, 162355.0)	(28.0, 196393.5)	(29.0, 239486.5)	(30.0, 291627.0)	(31.0, 354009.5)	(32.0, 437680.5)	(33.0, 546449.5)	(34.0, 676925.0)	(35.0, 793549.5)	(36.0, 867355.5)	(37.0, 889122.5)	(38.0, 853364.0)	(39.0, 784059.0)	(40.0, 714724.0)	(41.0, 663807.0)	(42.0, 626873.0)	(43.0, 629119.0)	(44.0, 661608.0)	(45.0, 692593.5)	(46.0, 803262.5)	(47.0, 944400.5)	(48.0, 958486.5)	(49.0, 919106.5)	(50.0, 897691.5)	(51.0, 856410.5)	(52.0, 931364.5)	(53.0, 1005983.5)	(54.0, 936930.5)	(55.0, 854154.0)	(56.0, 792809.5)	(57.0, 739269.0)	(58.0, 692987.5)	(59.0, 647072.0)	(60.0, 598670.5)	(61.0, 579206.5)	(62.0, 514682.0)	(63.0, 422274.0)	(64.0, 373713.0)	(65.0, 345566.0)	(66.0, 369159.0)	(67.0, 365555.0)	(68.0, 296089.5)	(69.0, 273212.5)	(70.0, 260906.0)	(71.0, 206752.5)	(72.0, 187724.0)	(73.0, 215898.0)	(74.0, 194936.5)	(75.0, 140219.0)	(76.0, 130841.0)	(77.0, 146117.0)	(78.0, 166114.0)	(79.0, 168854.0)	(80.0, 183014.5)	(81.0, 205673.5)	(82.0, 238511.5)	(83.0, 244405.0)	(84.0, 185063.5)	(85.0, 154267.0)	(86.0, 121908.5)	(87.0, 58371.0)	(88.0, 15961.0)	(89.0, 5159.0)	(90.0, 2921.5)	(91.0, 1483.0)	(92.0, 810.0)	(93.0, 460.5)	(94.0, 474.5)	(95.0, 480.5)	(96.0, 497.5)	(97.0, 567.0)	(98.0, 698.0)	(99.0, 1029.0)	(100.0, 2742.0)
SRR9127010_1_clean	(0.0, 335.0)	(1.0, 301.0)	(2.0, 560.5)	(3.0, 900.5)	(4.0, 873.5)	(5.0, 904.5)	(6.0, 1310.5)	(7.0, 2165.0)	(8.0, 3184.5)	(9.0, 4111.0)	(10.0, 4843.0)	(11.0, 5445.5)	(12.0, 6363.5)	(13.0, 7627.5)	(14.0, 9133.5)	(15.0, 11209.5)	(16.0, 13909.0)	(17.0, 17446.5)	(18.0, 22400.0)	(19.0, 29464.5)	(20.0, 39040.0)	(21.0, 51694.5)	(22.0, 68615.0)	(23.0, 90303.5)	(24.0, 116414.5)	(25.0, 148058.0)	(26.0, 185687.0)	(27.0, 229608.0)	(28.0, 285261.5)	(29.0, 354291.5)	(30.0, 436929.5)	(31.0, 547886.5)	(32.0, 695515.5)	(33.0, 888998.5)	(34.0, 1127208.5)	(35.0, 1341863.0)	(36.0, 1469261.0)	(37.0, 1487296.0)	(38.0, 1384273.5)	(39.0, 1203885.0)	(40.0, 1036368.0)	(41.0, 911996.0)	(42.0, 816617.0)	(43.0, 774574.0)	(44.0, 773578.0)	(45.0, 778910.0)	(46.0, 845771.0)	(47.0, 938549.0)	(48.0, 928228.5)	(49.0, 874764.5)	(50.0, 832086.5)	(51.0, 764764.0)	(52.0, 791969.5)	(53.0, 820262.5)	(54.0, 749690.0)	(55.0, 676365.5)	(56.0, 614234.5)	(57.0, 564285.0)	(58.0, 523578.5)	(59.0, 481920.0)	(60.0, 446051.5)	(61.0, 436628.0)	(62.0, 389719.5)	(63.0, 326965.0)	(64.0, 299689.0)	(65.0, 288183.5)	(66.0, 312145.5)	(67.0, 309710.0)	(68.0, 254342.5)	(69.0, 222671.5)	(70.0, 201380.0)	(71.0, 155554.5)	(72.0, 136059.5)	(73.0, 158569.0)	(74.0, 142470.5)	(75.0, 97518.5)	(76.0, 90600.5)	(77.0, 104830.5)	(78.0, 122528.0)	(79.0, 124346.5)	(80.0, 134326.5)	(81.0, 147186.0)	(82.0, 172477.5)	(83.0, 181796.5)	(84.0, 137505.0)	(85.0, 115778.0)	(86.0, 91296.5)	(87.0, 43048.0)	(88.0, 11125.0)	(89.0, 3572.5)	(90.0, 2031.5)	(91.0, 906.5)	(92.0, 372.5)	(93.0, 121.0)	(94.0, 74.0)	(95.0, 55.0)	(96.0, 40.0)	(97.0, 29.0)	(98.0, 24.5)	(99.0, 17.5)	(100.0, 6.0)
SRR9127010_2_clean	(0.0, 488.0)	(1.0, 416.0)	(2.0, 713.5)	(3.0, 1103.0)	(4.0, 1037.0)	(5.0, 1139.0)	(6.0, 1753.0)	(7.0, 2920.5)	(8.0, 4292.5)	(9.0, 5563.0)	(10.0, 6496.5)	(11.0, 7239.0)	(12.0, 8395.0)	(13.0, 9838.0)	(14.0, 11436.0)	(15.0, 13230.0)	(16.0, 15700.5)	(17.0, 19371.0)	(18.0, 24494.0)	(19.0, 31383.0)	(20.0, 40945.0)	(21.0, 53815.5)	(22.0, 70618.5)	(23.0, 91750.0)	(24.0, 117410.5)	(25.0, 149172.0)	(26.0, 187093.5)	(27.0, 231918.0)	(28.0, 287129.0)	(29.0, 355229.0)	(30.0, 439607.0)	(31.0, 550598.0)	(32.0, 699937.0)	(33.0, 893559.5)	(34.0, 1128974.0)	(35.0, 1339895.0)	(36.0, 1461784.5)	(37.0, 1476646.5)	(38.0, 1372062.0)	(39.0, 1193495.5)	(40.0, 1029925.5)	(41.0, 908842.5)	(42.0, 816095.0)	(43.0, 774713.0)	(44.0, 773380.5)	(45.0, 778997.5)	(46.0, 844112.5)	(47.0, 928400.0)	(48.0, 916223.5)	(49.0, 871634.5)	(50.0, 833675.5)	(51.0, 770774.5)	(52.0, 798678.5)	(53.0, 823861.0)	(54.0, 755059.0)	(55.0, 683861.0)	(56.0, 617933.0)	(57.0, 566367.0)	(58.0, 526380.5)	(59.0, 484856.5)	(60.0, 448824.0)	(61.0, 439873.0)	(62.0, 393903.0)	(63.0, 329293.0)	(64.0, 301549.0)	(65.0, 288545.0)	(66.0, 310688.0)	(67.0, 308973.5)	(68.0, 253947.5)	(69.0, 222977.5)	(70.0, 201376.0)	(71.0, 155241.0)	(72.0, 137180.5)	(73.0, 156598.5)	(74.0, 139719.5)	(75.0, 97923.5)	(76.0, 90830.0)	(77.0, 103874.0)	(78.0, 119253.5)	(79.0, 120890.0)	(80.0, 130014.0)	(81.0, 145494.5)	(82.0, 169384.0)	(83.0, 174462.5)	(84.0, 133154.0)	(85.0, 111227.0)	(86.0, 87292.5)	(87.0, 41744.5)	(88.0, 11342.5)	(89.0, 3916.0)	(90.0, 2289.5)	(91.0, 1198.0)	(92.0, 795.5)	(93.0, 621.5)	(94.0, 622.5)	(95.0, 612.5)	(96.0, 667.5)	(97.0, 781.0)	(98.0, 995.5)	(99.0, 1439.5)	(100.0, 3862.5)
SRR9127157_1_clean	(0.0, 937.0)	(1.0, 743.5)	(2.0, 958.0)	(3.0, 1450.5)	(4.0, 1286.5)	(5.0, 1136.0)	(6.0, 1672.5)	(7.0, 2843.5)	(8.0, 4123.5)	(9.0, 5019.0)	(10.0, 5188.0)	(11.0, 5013.5)	(12.0, 5145.5)	(13.0, 5575.0)	(14.0, 6253.5)	(15.0, 6925.0)	(16.0, 7712.0)	(17.0, 8795.0)	(18.0, 10286.0)	(19.0, 12231.5)	(20.0, 14870.5)	(21.0, 19103.5)	(22.0, 24650.0)	(23.0, 31141.0)	(24.0, 39901.5)	(25.0, 50983.5)	(26.0, 63813.5)	(27.0, 78614.0)	(28.0, 94930.0)	(29.0, 116418.5)	(30.0, 141363.5)	(31.0, 171220.5)	(32.0, 214114.0)	(33.0, 269245.5)	(34.0, 335665.0)	(35.0, 397281.5)	(36.0, 437468.0)	(37.0, 454837.0)	(38.0, 442743.5)	(39.0, 411194.5)	(40.0, 381556.5)	(41.0, 361700.5)	(42.0, 350419.5)	(43.0, 366852.0)	(44.0, 405561.0)	(45.0, 440102.5)	(46.0, 582124.5)	(47.0, 768789.5)	(48.0, 784076.0)	(49.0, 738364.5)	(50.0, 709957.0)	(51.0, 654322.0)	(52.0, 758708.0)	(53.0, 843824.0)	(54.0, 760822.5)	(55.0, 685748.5)	(56.0, 627547.0)	(57.0, 577860.5)	(58.0, 547165.5)	(59.0, 522378.0)	(60.0, 495238.5)	(61.0, 493818.0)	(62.0, 437789.0)	(63.0, 353687.0)	(64.0, 329963.5)	(65.0, 321306.0)	(66.0, 344219.0)	(67.0, 335003.0)	(68.0, 264562.5)	(69.0, 247712.0)	(70.0, 237245.0)	(71.0, 186919.5)	(72.0, 161591.0)	(73.0, 190113.0)	(74.0, 179102.0)	(75.0, 121840.5)	(76.0, 108702.0)	(77.0, 115858.0)	(78.0, 132255.5)	(79.0, 130686.5)	(80.0, 141396.0)	(81.0, 161013.0)	(82.0, 172883.5)	(83.0, 167848.5)	(84.0, 124390.0)	(85.0, 112843.5)	(86.0, 90737.0)	(87.0, 38815.5)	(88.0, 7920.5)	(89.0, 2214.0)	(90.0, 1176.0)	(91.0, 502.0)	(92.0, 223.0)	(93.0, 75.5)	(94.0, 42.0)	(95.0, 28.5)	(96.0, 16.5)	(97.0, 14.5)	(98.0, 11.5)	(99.0, 4.0)	(100.0, 1.5)
SRR9127157_2_clean	(0.0, 1134.0)	(1.0, 892.5)	(2.0, 1200.0)	(3.0, 1721.0)	(4.0, 1393.5)	(5.0, 1275.0)	(6.0, 1995.5)	(7.0, 3503.0)	(8.0, 5071.5)	(9.0, 6089.5)	(10.0, 6132.5)	(11.0, 5832.0)	(12.0, 6138.0)	(13.0, 6606.5)	(14.0, 7208.0)	(15.0, 7849.0)	(16.0, 8514.0)	(17.0, 9510.0)	(18.0, 11002.0)	(19.0, 13070.5)	(20.0, 15915.5)	(21.0, 19733.5)	(22.0, 24915.0)	(23.0, 31422.5)	(24.0, 39982.0)	(25.0, 51033.5)	(26.0, 63926.5)	(27.0, 78899.5)	(28.0, 95085.5)	(29.0, 116426.0)	(30.0, 141126.0)	(31.0, 170046.5)	(32.0, 213047.5)	(33.0, 269350.5)	(34.0, 335325.0)	(35.0, 396514.5)	(36.0, 437679.5)	(37.0, 452762.0)	(38.0, 439459.0)	(39.0, 410213.0)	(40.0, 381044.5)	(41.0, 361051.0)	(42.0, 349792.5)	(43.0, 366352.0)	(44.0, 405924.0)	(45.0, 441690.5)	(46.0, 577475.5)	(47.0, 747011.0)	(48.0, 760540.0)	(49.0, 726216.5)	(50.0, 708837.5)	(51.0, 658958.0)	(52.0, 756166.5)	(53.0, 839587.5)	(54.0, 764281.0)	(55.0, 691199.0)	(56.0, 629472.5)	(57.0, 578690.5)	(58.0, 547596.5)	(59.0, 525368.0)	(60.0, 498682.5)	(61.0, 497138.0)	(62.0, 440394.5)	(63.0, 354508.0)	(64.0, 331802.5)	(65.0, 322875.5)	(66.0, 344334.0)	(67.0, 335975.0)	(68.0, 265803.5)	(69.0, 248076.5)	(70.0, 237680.5)	(71.0, 187239.5)	(72.0, 162528.0)	(73.0, 188219.0)	(74.0, 178435.0)	(75.0, 125807.0)	(76.0, 112622.5)	(77.0, 118750.5)	(78.0, 135344.0)	(79.0, 132708.0)	(80.0, 140242.0)	(81.0, 163465.5)	(82.0, 176262.0)	(83.0, 166125.5)	(84.0, 123707.0)	(85.0, 113742.0)	(86.0, 91929.0)	(87.0, 40355.0)	(88.0, 8638.0)	(89.0, 2253.0)	(90.0, 1268.5)	(91.0, 644.0)	(92.0, 404.5)	(93.0, 244.5)	(94.0, 234.0)	(95.0, 251.5)	(96.0, 288.0)	(97.0, 335.0)	(98.0, 394.0)	(99.0, 564.0)	(100.0, 1678.5)
SRR9127293_1_clean	(0.0, 542.0)	(1.0, 557.5)	(2.0, 1295.5)	(3.0, 2203.5)	(4.0, 2118.0)	(5.0, 2021.0)	(6.0, 2686.0)	(7.0, 4302.5)	(8.0, 6370.5)	(9.0, 7826.5)	(10.0, 8101.5)	(11.0, 7975.5)	(12.0, 8323.0)	(13.0, 8997.0)	(14.0, 9902.0)	(15.0, 10851.0)	(16.0, 12250.0)	(17.0, 14368.0)	(18.0, 17087.5)	(19.0, 20745.5)	(20.0, 25989.0)	(21.0, 33500.0)	(22.0, 43820.5)	(23.0, 56697.5)	(24.0, 72338.0)	(25.0, 91632.5)	(26.0, 115366.0)	(27.0, 142452.0)	(28.0, 171842.5)	(29.0, 209490.0)	(30.0, 253682.0)	(31.0, 308090.5)	(32.0, 384593.0)	(33.0, 482139.0)	(34.0, 599148.0)	(35.0, 708435.0)	(36.0, 782428.5)	(37.0, 810603.5)	(38.0, 784614.0)	(39.0, 724425.0)	(40.0, 668733.0)	(41.0, 634237.5)	(42.0, 612946.5)	(43.0, 634260.5)	(44.0, 682811.0)	(45.0, 725356.0)	(46.0, 857250.5)	(47.0, 1019496.0)	(48.0, 1050553.5)	(49.0, 1032193.0)	(50.0, 1017005.0)	(51.0, 983689.0)	(52.0, 1061865.5)	(53.0, 1131610.5)	(54.0, 1064508.5)	(55.0, 978642.0)	(56.0, 925979.0)	(57.0, 872717.0)	(58.0, 811142.5)	(59.0, 757740.0)	(60.0, 693383.5)	(61.0, 651642.0)	(62.0, 570569.5)	(63.0, 451381.5)	(64.0, 384956.5)	(65.0, 356248.5)	(66.0, 364206.0)	(67.0, 338344.0)	(68.0, 265576.5)	(69.0, 249081.5)	(70.0, 246921.5)	(71.0, 197049.0)	(72.0, 175793.5)	(73.0, 217944.5)	(74.0, 200560.0)	(75.0, 133824.0)	(76.0, 114777.5)	(77.0, 108807.0)	(78.0, 115439.0)	(79.0, 120717.0)	(80.0, 127063.0)	(81.0, 135925.0)	(82.0, 136620.5)	(83.0, 127813.0)	(84.0, 92988.5)	(85.0, 77506.5)	(86.0, 61304.5)	(87.0, 26326.0)	(88.0, 5785.0)	(89.0, 1829.0)	(90.0, 991.0)	(91.0, 394.5)	(92.0, 180.5)	(93.0, 77.0)	(94.0, 42.5)	(95.0, 23.5)	(96.0, 12.0)	(97.0, 7.5)	(98.0, 8.0)	(99.0, 6.5)	(100.0, 1.5)
SRR9127293_2_clean	(0.0, 667.0)	(1.0, 683.0)	(2.0, 1504.0)	(3.0, 2514.0)	(4.0, 2409.5)	(5.0, 2296.5)	(6.0, 3214.0)	(7.0, 5232.0)	(8.0, 7707.0)	(9.0, 9349.5)	(10.0, 9626.0)	(11.0, 9554.0)	(12.0, 9892.5)	(13.0, 10633.0)	(14.0, 11664.0)	(15.0, 12599.5)	(16.0, 13728.5)	(17.0, 15634.0)	(18.0, 18325.5)	(19.0, 21942.0)	(20.0, 27529.0)	(21.0, 35269.0)	(22.0, 45434.0)	(23.0, 58397.5)	(24.0, 74023.0)	(25.0, 93782.0)	(26.0, 117308.0)	(27.0, 143376.0)	(28.0, 173514.0)	(29.0, 211461.5)	(30.0, 255762.0)	(31.0, 310590.5)	(32.0, 387569.0)	(33.0, 484136.0)	(34.0, 599805.5)	(35.0, 709771.0)	(36.0, 779628.5)	(37.0, 801967.0)	(38.0, 776408.0)	(39.0, 720580.5)	(40.0, 667447.5)	(41.0, 633534.5)	(42.0, 614717.0)	(43.0, 634933.0)	(44.0, 681880.0)	(45.0, 726962.0)	(46.0, 855779.0)	(47.0, 1008646.5)	(48.0, 1040719.0)	(49.0, 1029385.5)	(50.0, 1018790.0)	(51.0, 991666.0)	(52.0, 1067451.5)	(53.0, 1133759.0)	(54.0, 1066592.0)	(55.0, 981871.5)	(56.0, 927278.0)	(57.0, 871011.0)	(58.0, 811681.5)	(59.0, 759775.5)	(60.0, 695659.0)	(61.0, 657532.0)	(62.0, 578318.0)	(63.0, 455790.5)	(64.0, 389228.0)	(65.0, 358852.0)	(66.0, 362217.5)	(67.0, 338158.0)	(68.0, 266990.0)	(69.0, 247313.0)	(70.0, 243384.5)	(71.0, 195974.0)	(72.0, 176089.5)	(73.0, 211595.5)	(74.0, 193883.0)	(75.0, 132147.0)	(76.0, 113493.0)	(77.0, 107317.5)	(78.0, 111959.5)	(79.0, 116546.5)	(80.0, 121916.5)	(81.0, 131748.5)	(82.0, 132899.5)	(83.0, 121513.5)	(84.0, 88421.5)	(85.0, 74138.5)	(86.0, 58660.5)	(87.0, 25944.5)	(88.0, 6469.0)	(89.0, 2346.0)	(90.0, 1440.5)	(91.0, 897.5)	(92.0, 647.5)	(93.0, 523.5)	(94.0, 534.0)	(95.0, 561.5)	(96.0, 613.0)	(97.0, 695.5)	(98.0, 856.0)	(99.0, 1172.0)	(100.0, 2895.5)
