Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR9126859_1_clean	(15.0, 9.0)	(16.0, 45.0)	(17.0, 229.0)	(18.0, 460.0)	(19.0, 965.0)	(20.0, 1736.0)	(21.0, 3125.0)	(22.0, 5766.0)	(23.0, 10874.0)	(24.0, 19210.0)	(25.0, 32807.0)	(26.0, 52173.0)	(27.0, 77011.0)	(28.0, 108355.0)	(29.0, 150858.0)	(30.0, 211678.0)	(31.0, 300059.0)	(32.0, 422809.0)	(33.0, 609199.0)	(34.0, 956616.0)	(35.0, 1989297.0)	(36.0, 12560286.0)	(37.0, 5929031.0)				
SRR9126859_2_clean	(11.0, 1.0)	(12.0, 15.0)	(13.0, 127.0)	(14.0, 289.0)	(15.0, 609.0)	(16.0, 1095.0)	(17.0, 1953.0)	(18.0, 3588.0)	(19.0, 6091.0)	(20.0, 9850.0)	(21.0, 16116.0)	(22.0, 25326.0)	(23.0, 39100.0)	(24.0, 56290.0)	(25.0, 77527.0)	(26.0, 101000.0)	(27.0, 124665.0)	(28.0, 148439.0)	(29.0, 182305.0)	(30.0, 236178.0)	(31.0, 316337.0)	(32.0, 437848.0)	(33.0, 639491.0)	(34.0, 1073822.0)	(35.0, 2561624.0)	(36.0, 13406035.0)	(37.0, 3976877.0)
SRR9126934_1_clean	(14.0, 1.0)	(15.0, 9.0)	(16.0, 50.0)	(17.0, 169.0)	(18.0, 403.0)	(19.0, 779.0)	(20.0, 1575.0)	(21.0, 2981.0)	(22.0, 6072.0)	(23.0, 11725.0)	(24.0, 21241.0)	(25.0, 37695.0)	(26.0, 63409.0)	(27.0, 96394.0)	(28.0, 137064.0)	(29.0, 186970.0)	(30.0, 258661.0)	(31.0, 364028.0)	(32.0, 513179.0)	(33.0, 743822.0)	(34.0, 1172517.0)	(35.0, 2452241.0)	(36.0, 16850038.0)	(37.0, 7756589.0)			
SRR9126934_2_clean	(11.0, 2.0)	(12.0, 38.0)	(13.0, 194.0)	(14.0, 480.0)	(15.0, 771.0)	(16.0, 1214.0)	(17.0, 2072.0)	(18.0, 3346.0)	(19.0, 5770.0)	(20.0, 9681.0)	(21.0, 16271.0)	(22.0, 27540.0)	(23.0, 43547.0)	(24.0, 64968.0)	(25.0, 92002.0)	(26.0, 124004.0)	(27.0, 156481.0)	(28.0, 187453.0)	(29.0, 225727.0)	(30.0, 288074.0)	(31.0, 390350.0)	(32.0, 545099.0)	(33.0, 809649.0)	(34.0, 1373151.0)	(35.0, 3248846.0)	(36.0, 17920038.0)	(37.0, 5140844.0)
SRR9127010_1_clean	(15.0, 8.0)	(16.0, 67.0)	(17.0, 239.0)	(18.0, 575.0)	(19.0, 1139.0)	(20.0, 2069.0)	(21.0, 3732.0)	(22.0, 7359.0)	(23.0, 13643.0)	(24.0, 25353.0)	(25.0, 44622.0)	(26.0, 73333.0)	(27.0, 108408.0)	(28.0, 149259.0)	(29.0, 199853.0)	(30.0, 275201.0)	(31.0, 385363.0)	(32.0, 540284.0)	(33.0, 786395.0)	(34.0, 1251657.0)	(35.0, 2740184.0)	(36.0, 18467332.0)	(37.0, 7516682.0)				
SRR9127010_2_clean	(11.0, 3.0)	(12.0, 43.0)	(13.0, 207.0)	(14.0, 564.0)	(15.0, 1004.0)	(16.0, 1583.0)	(17.0, 2674.0)	(18.0, 4400.0)	(19.0, 7110.0)	(20.0, 11444.0)	(21.0, 18980.0)	(22.0, 31215.0)	(23.0, 49578.0)	(24.0, 73129.0)	(25.0, 104394.0)	(26.0, 141191.0)	(27.0, 175344.0)	(28.0, 207773.0)	(29.0, 249497.0)	(30.0, 319256.0)	(31.0, 430872.0)	(32.0, 603639.0)	(33.0, 900660.0)	(34.0, 1551836.0)	(35.0, 3827650.0)	(36.0, 19162925.0)	(37.0, 4715786.0)
SRR9127157_1_clean	(15.0, 4.0)	(16.0, 40.0)	(17.0, 143.0)	(18.0, 307.0)	(19.0, 635.0)	(20.0, 1139.0)	(21.0, 2270.0)	(22.0, 4430.0)	(23.0, 8826.0)	(24.0, 16642.0)	(25.0, 30380.0)	(26.0, 51028.0)	(27.0, 77665.0)	(28.0, 108996.0)	(29.0, 146061.0)	(30.0, 198320.0)	(31.0, 273991.0)	(32.0, 377749.0)	(33.0, 536967.0)	(34.0, 832167.0)	(35.0, 1690197.0)	(36.0, 11759141.0)	(37.0, 5655122.0)				
SRR9127157_2_clean	(11.0, 2.0)	(12.0, 15.0)	(13.0, 101.0)	(14.0, 248.0)	(15.0, 503.0)	(16.0, 722.0)	(17.0, 1004.0)	(18.0, 1544.0)	(19.0, 2502.0)	(20.0, 4505.0)	(21.0, 8172.0)	(22.0, 14696.0)	(23.0, 24811.0)	(24.0, 38688.0)	(25.0, 57140.0)	(26.0, 78832.0)	(27.0, 98949.0)	(28.0, 116144.0)	(29.0, 136357.0)	(30.0, 171231.0)	(31.0, 231517.0)	(32.0, 327185.0)	(33.0, 489124.0)	(34.0, 836065.0)	(35.0, 2033217.0)	(36.0, 13011225.0)	(37.0, 4087721.0)
SRR9127293_1_clean	(15.0, 4.0)	(16.0, 34.0)	(17.0, 99.0)	(18.0, 281.0)	(19.0, 607.0)	(20.0, 1304.0)	(21.0, 2833.0)	(22.0, 5769.0)	(23.0, 11607.0)	(24.0, 22516.0)	(25.0, 40430.0)	(26.0, 69198.0)	(27.0, 106389.0)	(28.0, 152467.0)	(29.0, 210493.0)	(30.0, 294363.0)	(31.0, 419158.0)	(32.0, 594242.0)	(33.0, 866931.0)	(34.0, 1372234.0)	(35.0, 2879271.0)	(36.0, 17100656.0)	(37.0, 6656564.0)				
SRR9127293_2_clean	(11.0, 5.0)	(12.0, 44.0)	(13.0, 186.0)	(14.0, 399.0)	(15.0, 782.0)	(16.0, 1262.0)	(17.0, 2088.0)	(18.0, 3958.0)	(19.0, 7217.0)	(20.0, 12479.0)	(21.0, 21508.0)	(22.0, 35785.0)	(23.0, 57055.0)	(24.0, 85952.0)	(25.0, 122494.0)	(26.0, 163919.0)	(27.0, 208027.0)	(28.0, 253755.0)	(29.0, 314787.0)	(30.0, 415413.0)	(31.0, 571270.0)	(32.0, 807076.0)	(33.0, 1205248.0)	(34.0, 2041210.0)	(35.0, 4645579.0)	(36.0, 16896337.0)	(37.0, 2933615.0)
