Sample	Unique Reads	Duplicate Reads
SRR9126859_1_clean	10106000.0	13336598.0
SRR9126859_2_clean	10313091.0	13129507.0
SRR9126934_1_clean	8582412.0	22095200.0
SRR9126934_2_clean	8974858.0	21702754.0
SRR9127010_1_clean	10189854.0	22402903.0
SRR9127010_2_clean	10636396.0	21956361.0
SRR9127157_1_clean	5543301.0	16228919.0
SRR9127157_2_clean	5682041.0	16090179.0
SRR9127293_1_clean	9727717.0	21079733.0
SRR9127293_2_clean	10534333.0	20273117.0
SRR9127296_1_clean	2402147.0	2677193.0
SRR9127296_2_clean	2430589.0	2648751.0
SRR9127369_1_clean	6173477.0	15887125.0
SRR9127369_2_clean	6364553.0	15696049.0
SRR9127396_1_clean	14189401.0	18736401.0
SRR9127396_2_clean	15483884.0	17441918.0
