Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9126859_1_clean	(1.0, 29.029523554513226)	(2.0, 18.310728106734548)	(3.0, 8.804040443717817)	(4.0, 3.740065879171145)	(5.0, 1.7071611251676495)	(6.0, 0.9602188923629635)	(7.0, 0.649256629729383)	(8.0, 0.46265459280499355)	(9.0, 0.41088024140915197)	('>10', 5.438906059263525)	('>50', 2.2060139930652625)	('>100', 6.608049694287982)	('>500', 3.951749969256719)	('>1k', 11.293254895768671)	('>5k', 3.5861980924570025)	('>10k+', 2.84129783029011)
SRR9126859_2_clean	(1.0, 30.338133119693538)	(2.0, 17.671125491763)	(3.0, 8.59245212177132)	(4.0, 3.662941320594823)	(5.0, 1.6260706854863052)	(6.0, 0.9525215189930589)	(7.0, 0.6186726901612092)	(8.0, 0.4923068557361618)	(9.0, 0.4098742999644707)	('>10', 5.412132952629651)	('>50', 2.224270243316461)	('>100', 6.503116879151086)	('>500', 4.001880470590172)	('>1k', 11.32393804145067)	('>5k', 3.4870746752111557)	('>10k+', 2.68348863348697)
SRR9126934_1_clean	(1.0, 14.25084511861226)	(2.0, 13.360726693372166)	(3.0, 10.13849866282104)	(4.0, 6.643814065107153)	(5.0, 4.013006977196674)	(6.0, 2.3044507681389286)	(7.0, 1.384080095463395)	(8.0, 0.9507007331902765)	(9.0, 0.6847529578652976)	('>10', 6.254954647625369)	('>50', 2.3477387054134873)	('>100', 6.727827779293845)	('>500', 4.514975864456653)	('>1k', 15.091519048796592)	('>5k', 5.829284587712566)	('>10k+', 5.502823294934429)
SRR9126934_2_clean	(1.0, 15.802790885529063)	(2.0, 13.104955496585703)	(3.0, 9.9567984207276)	(4.0, 6.534822099633035)	(5.0, 3.8194831718517475)	(6.0, 2.2672467352764176)	(7.0, 1.3886865163209539)	(8.0, 0.9402063128389218)	(9.0, 0.6736486589200641)	('>10', 6.168858466827336)	('>50', 2.2598781797294802)	('>100', 6.508377261763984)	('>500', 4.5460242292833986)	('>1k', 14.893315408213253)	('>5k', 5.692491819840408)	('>10k+', 5.442416336658447)
SRR9127010_1_clean	(1.0, 15.594642986208859)	(2.0, 14.90216085285394)	(3.0, 12.147144312976222)	(4.0, 7.990241725235685)	(5.0, 4.797103241669309)	(6.0, 2.6795329309111127)	(7.0, 1.5385583899778141)	(8.0, 0.8569852313408238)	(9.0, 0.6130929245724815)	('>10', 5.44288679228854)	('>50', 2.399026947018275)	('>100', 7.470872874999074)	('>500', 4.3836981762491565)	('>1k', 11.762560690671926)	('>5k', 4.326607744875561)	('>10k+', 3.094884178151034)
SRR9127010_2_clean	(1.0, 17.340052018543464)	(2.0, 14.48119257491646)	(3.0, 11.876414115333546)	(4.0, 7.922226177744952)	(5.0, 4.653464346481018)	(6.0, 2.634127864633436)	(7.0, 1.4339873571754504)	(8.0, 0.888166537173058)	(9.0, 0.601096091794119)	('>10', 5.345046608946144)	('>50', 2.2708576119559907)	('>100', 7.328839166248699)	('>500', 4.341542825659654)	('>1k', 11.721438659796561)	('>5k', 4.137289077329201)	('>10k+', 3.0242589662685035)
SRR9127157_1_clean	(1.0, 14.296822848749368)	(2.0, 11.826487620848887)	(3.0, 8.11151228485719)	(4.0, 4.742297734129741)	(5.0, 2.648393881764869)	(6.0, 1.4169879341556588)	(7.0, 0.866898410667964)	(8.0, 0.6132746301034162)	(9.0, 0.44029547302474265)	('>10', 4.816765391169476)	('>50', 2.385207164471557)	('>100', 8.79664181216154)	('>500', 5.665211511784589)	('>1k', 17.77604395234251)	('>5k', 7.391063844940465)	('>10k+', 8.20609550482792)
SRR9127157_2_clean	(1.0, 15.072170615654437)	(2.0, 11.67626138873302)	(3.0, 8.02061704542191)	(4.0, 4.6918176957067805)	(5.0, 2.59823471141861)	(6.0, 1.4141954398721441)	(7.0, 0.8307125156767723)	(8.0, 0.5700244447449623)	(9.0, 0.4690108185364181)	('>10', 4.818414759789384)	('>50', 2.4230079851203206)	('>100', 8.614657572217878)	('>500', 5.602799213340941)	('>1k', 18.023656553928472)	('>5k', 7.298479894967544)	('>10k+', 7.875939344870399)
SRR9127293_1_clean	(1.0, 17.797359736269886)	(2.0, 14.393651951955752)	(3.0, 9.49896277888605)	(4.0, 5.591505719628585)	(5.0, 3.2345236032869593)	(6.0, 2.1003886552780067)	(7.0, 1.4917192488978703)	(8.0, 1.1150848102389552)	(9.0, 0.8948765545597546)	('>10', 8.746866404227225)	('>50', 2.492648675223217)	('>100', 6.4716695279551875)	('>500', 3.878891572750129)	('>1k', 12.64044237943752)	('>5k', 5.340535261226913)	('>10k+', 4.310873120178041)
SRR9127293_2_clean	(1.0, 20.925450631870525)	(2.0, 14.016654464991815)	(3.0, 9.055931955431678)	(4.0, 5.293515101936059)	(5.0, 3.1012991835737935)	(6.0, 1.9995953965792415)	(7.0, 1.4077122425606108)	(8.0, 1.0891419344137117)	(9.0, 0.8533078303663901)	('>10', 8.241051866635535)	('>50', 2.4538501849933216)	('>100', 6.164605023878353)	('>500', 3.7716326141111383)	('>1k', 12.465660508274073)	('>5k', 5.099417499566552)	('>10k+', 4.061173560817301)
