Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR9126859_1_clean	(30, 15552.0)	(32, 23842.0)	(34, 20465.0)	(36, 29491.0)	(38, 36103.0)	(40, 35990.0)	(42, 31095.0)	(44, 32958.0)	(46, 35780.0)	(48, 38266.0)	(50, 41103.0)	(52, 48595.0)	(54, 61187.0)	(56, 62973.0)	(58, 68270.0)	(60, 77876.0)	(62, 65397.0)	(64, 72610.0)	(66, 86944.0)	(68, 94611.0)	(70, 80606.0)	(72, 70033.0)	(74, 78041.0)	(76, 80712.0)	(78, 81649.0)	(80, 77362.0)	(82, 75403.0)	(84, 68954.0)	(86, 70340.0)	(88, 73030.0)	(90, 76584.0)	(92, 72495.0)	(94, 88520.0)	(96, 112299.0)	(98, 86921.0)	(100, 21270541.0)														
SRR9126859_2_clean	(10, 1.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.0)	(22, 0.0)	(24, 0.0)	(26, 1.0)	(28, 1.0)	(30, 15546.0)	(32, 23813.0)	(34, 20438.0)	(36, 29487.0)	(38, 36117.0)	(40, 36019.0)	(42, 31109.0)	(44, 32945.0)	(46, 35769.0)	(48, 38261.0)	(50, 41081.0)	(52, 48605.0)	(54, 61178.0)	(56, 62950.0)	(58, 68277.0)	(60, 77903.0)	(62, 65391.0)	(64, 72579.0)	(66, 86953.0)	(68, 94656.0)	(70, 80638.0)	(72, 70066.0)	(74, 78086.0)	(76, 80779.0)	(78, 81768.0)	(80, 77566.0)	(82, 75686.0)	(84, 69343.0)	(86, 71102.0)	(88, 74643.0)	(90, 79568.0)	(92, 80004.0)	(94, 97331.0)	(96, 111643.0)	(98, 93540.0)	(100, 21241754.0)				
SRR9126934_1_clean	(30, 9291.0)	(32, 13790.0)	(34, 11784.0)	(36, 13525.0)	(38, 14024.0)	(40, 14382.0)	(42, 11886.0)	(44, 11813.0)	(46, 12231.0)	(48, 13032.0)	(50, 13970.0)	(52, 17429.0)	(54, 20992.0)	(56, 21612.0)	(58, 25286.0)	(60, 28613.0)	(62, 23036.0)	(64, 25216.0)	(66, 31102.0)	(68, 33369.0)	(70, 26720.0)	(72, 22945.0)	(74, 26594.0)	(76, 25505.0)	(78, 24624.0)	(80, 23319.0)	(82, 21628.0)	(84, 18296.0)	(86, 17233.0)	(88, 19071.0)	(90, 19381.0)	(92, 19860.0)	(94, 40656.0)	(96, 56110.0)	(98, 25295.0)	(100, 29923992.0)														
SRR9126934_2_clean	(4, 1.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 1.0)	(14, 1.0)	(16, 0.0)	(18, 1.0)	(20, 1.0)	(22, 0.0)	(24, 1.0)	(26, 0.0)	(28, 1.0)	(30, 9291.0)	(32, 13784.0)	(34, 11773.0)	(36, 13529.0)	(38, 14034.0)	(40, 14389.0)	(42, 11877.0)	(44, 11812.0)	(46, 12237.0)	(48, 13030.0)	(50, 13975.0)	(52, 17424.0)	(54, 20996.0)	(56, 21633.0)	(58, 25292.0)	(60, 28599.0)	(62, 23022.0)	(64, 25230.0)	(66, 31141.0)	(68, 33411.0)	(70, 26736.0)	(72, 22979.0)	(74, 26644.0)	(76, 25580.0)	(78, 24719.0)	(80, 23487.0)	(82, 21881.0)	(84, 18686.0)	(86, 17950.0)	(88, 20535.0)	(90, 22436.0)	(92, 27124.0)	(94, 47870.0)	(96, 52608.0)	(98, 35102.0)	(100, 29896789.0)	
SRR9127010_1_clean	(30, 18025.0)	(32, 27663.0)	(34, 22379.0)	(36, 27461.0)	(38, 28357.0)	(40, 27881.0)	(42, 22396.0)	(44, 22051.0)	(46, 23242.0)	(48, 25101.0)	(50, 26845.0)	(52, 35016.0)	(54, 44042.0)	(56, 45750.0)	(58, 54586.0)	(60, 64535.0)	(62, 48966.0)	(64, 51762.0)	(66, 67671.0)	(68, 76581.0)	(70, 59971.0)	(72, 47856.0)	(74, 52673.0)	(76, 53523.0)	(78, 53344.0)	(80, 49175.0)	(82, 43456.0)	(84, 34588.0)	(86, 32744.0)	(88, 35207.0)	(90, 37537.0)	(92, 35301.0)	(94, 51989.0)	(96, 73868.0)	(98, 41865.0)	(100, 31129350.0)														
SRR9127010_2_clean	(6, 1.0)	(8, 1.0)	(10, 1.0)	(12, 0.0)	(14, 1.0)	(16, 1.0)	(18, 1.0)	(20, 0.0)	(22, 1.0)	(24, 1.0)	(26, 0.0)	(28, 0.0)	(30, 18020.0)	(32, 27647.0)	(34, 22371.0)	(36, 27473.0)	(38, 28367.0)	(40, 27891.0)	(42, 22396.0)	(44, 22032.0)	(46, 23232.0)	(48, 25111.0)	(50, 26859.0)	(52, 35031.0)	(54, 44013.0)	(56, 45736.0)	(58, 54592.0)	(60, 64581.0)	(62, 48993.0)	(64, 51756.0)	(66, 67693.0)	(68, 76632.0)	(70, 60018.0)	(72, 47901.0)	(74, 52712.0)	(76, 53599.0)	(78, 53503.0)	(80, 49382.0)	(82, 43738.0)	(84, 35076.0)	(86, 33597.0)	(88, 37064.0)	(90, 41058.0)	(92, 44340.0)	(94, 64286.0)	(96, 74517.0)	(98, 51910.0)	(100, 31089622.0)		
SRR9127157_1_clean	(30, 4664.0)	(32, 7218.0)	(34, 6064.0)	(36, 6600.0)	(38, 7154.0)	(40, 6992.0)	(42, 5874.0)	(44, 5919.0)	(46, 5754.0)	(48, 6067.0)	(50, 6498.0)	(52, 8281.0)	(54, 10267.0)	(56, 10403.0)	(58, 11730.0)	(60, 13164.0)	(62, 10976.0)	(64, 12210.0)	(66, 14326.0)	(68, 15607.0)	(70, 12400.0)	(72, 10958.0)	(74, 12676.0)	(76, 11970.0)	(78, 11902.0)	(80, 11384.0)	(82, 10614.0)	(84, 9349.0)	(86, 9044.0)	(88, 9594.0)	(90, 9890.0)	(92, 11422.0)	(94, 28275.0)	(96, 38789.0)	(98, 14832.0)	(100, 21383353.0)														
SRR9127157_2_clean	(30, 4669.0)	(32, 7202.0)	(34, 6067.0)	(36, 6604.0)	(38, 7157.0)	(40, 6996.0)	(42, 5876.0)	(44, 5917.0)	(46, 5748.0)	(48, 6059.0)	(50, 6498.0)	(52, 8287.0)	(54, 10269.0)	(56, 10397.0)	(58, 11736.0)	(60, 13178.0)	(62, 10978.0)	(64, 12209.0)	(66, 14338.0)	(68, 15623.0)	(70, 12410.0)	(72, 10954.0)	(74, 12687.0)	(76, 11988.0)	(78, 11948.0)	(80, 11455.0)	(82, 10696.0)	(84, 9486.0)	(86, 9320.0)	(88, 10197.0)	(90, 11144.0)	(92, 14046.0)	(94, 25726.0)	(96, 28321.0)	(98, 21914.0)	(100, 21384120.0)														
SRR9127293_1_clean	(30, 8679.0)	(32, 13884.0)	(34, 11105.0)	(36, 13376.0)	(38, 14182.0)	(40, 14420.0)	(42, 11567.0)	(44, 11871.0)	(46, 12389.0)	(48, 12939.0)	(50, 13634.0)	(52, 17359.0)	(54, 21341.0)	(56, 21593.0)	(58, 24628.0)	(60, 28072.0)	(62, 22491.0)	(64, 24220.0)	(66, 29584.0)	(68, 31355.0)	(70, 25943.0)	(72, 22335.0)	(74, 25147.0)	(76, 24297.0)	(78, 24264.0)	(80, 22630.0)	(82, 20617.0)	(84, 17527.0)	(86, 17300.0)	(88, 18823.0)	(90, 19075.0)	(92, 20445.0)	(94, 46028.0)	(96, 62514.0)	(98, 25212.0)	(100, 30056604.0)														
SRR9127293_2_clean	(2, 1.0)	(4, 1.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 2.0)	(18, 0.0)	(20, 1.0)	(22, 1.0)	(24, 0.0)	(26, 0.0)	(28, 3.0)	(30, 8687.0)	(32, 13884.0)	(34, 11100.0)	(36, 13378.0)	(38, 14188.0)	(40, 14414.0)	(42, 11563.0)	(44, 11871.0)	(46, 12396.0)	(48, 12932.0)	(50, 13632.0)	(52, 17369.0)	(54, 21341.0)	(56, 21597.0)	(58, 24643.0)	(60, 28082.0)	(62, 22492.0)	(64, 24224.0)	(66, 29604.0)	(68, 31391.0)	(70, 25983.0)	(72, 22362.0)	(74, 25198.0)	(76, 24386.0)	(78, 24393.0)	(80, 22813.0)	(82, 20949.0)	(84, 18020.0)	(86, 18316.0)	(88, 21025.0)	(90, 23643.0)	(92, 32596.0)	(94, 66010.0)	(96, 68302.0)	(98, 34609.0)	(100, 30000048.0)
