Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9126859_1_clean	56.8904470804683	46.0	97.7927285619111	100	30.0	23.442598
SRR9126859_2_clean	56.007048311567374	46.0	97.78404573588644	100	30.0	23.442598
SRR9126934_1_clean	72.0238597893512	50.0	99.75029881726127	100	20.0	30.677612
SRR9126934_2_clean	70.74460121444166	50.0	99.74411287293157	100	20.0	30.677612
SRR9127010_1_clean	68.73583466558523	46.0	99.06318862500648	100	30.0	32.592757
SRR9127010_2_clean	67.36577072857776	46.0	99.0549469779436	100	30.0	32.592757
SRR9127157_1_clean	74.53957092786189	52.0	99.98427583406745	100	20.0	21.772219999999997
SRR9127157_2_clean	73.90233848381379	52.0	99.98381974828474	100	20.0	21.772219999999997
SRR9127293_1_clean	68.42414189854831	50.0	99.76706118162977	100	20.0	30.80745
SRR9127293_2_clean	65.80589255223168	50.0	99.75486796213254	100	20.0	30.80745
SRR9127296_1_clean	52.70750659558006	51.0	99.81908476298102	100	20.0	5.07934
SRR9127296_2_clean	52.14756071598664	51.0	99.8185906042911	100	20.0	5.07934
SRR9127369_1_clean	72.01582723910548	53.0	98.53920364457869	100	20.0	22.060602
SRR9127369_2_clean	71.1496868893171	53.0	98.53633309734703	100	20.0	22.060602
SRR9127396_1_clean	56.90492194268913	44.0	99.37065390237116	100	30.0	32.925802
SRR9127396_2_clean	52.9734043252643	45.0	99.32122604029509	100	30.0	32.925802
