.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR9126859_1_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9126859_2_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9126934_1_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9126934_2_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127010_1_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9127010_2_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9127157_1_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9127157_2_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127293_1_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127293_2_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127296_1_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127296_2_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127369_1_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127369_2_clean	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR9127396_1_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
SRR9127396_2_clean	1	1	1	1	0.25	1	0.5	0.25	0.5	1
