Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR9126859_1_clean - nextera_transposase_sequence	(1, 0.00018342675300521272)	(2, 0.00037111924445240715)	(3, 0.0005929376434354551)	(4, 0.0007976930886505763)	(5, 0.001079231825821368)	(6, 0.0014460853318317933)	(7, 0.0019835683755214865)	(8, 0.0023930792659517287)	(9, 0.002794058679498008)	(10, 0.0034467166611212067)	(11, 0.0039841997048109)	(12, 0.004675249332411934)	(13, 0.005882453311492753)	(14, 0.007051265644595736)	(15, 0.009346232926381886)	(16, 0.01941764138790066)	(17, 0.0340875158898757)	(18, 0.047584312320305765)	(19, 0.06174656394768498)	(20, 0.07538412974670045)	(21, 0.09266463617516828)	(22, 0.11756375146101541)	(23, 0.14801259245988074)	(24, 0.1813152124764318)	(25, 0.2259817597024221)	(26, 0.2649322174161569)	(27, 0.3060539359968604)	(28, 0.34459914855860696)	(29, 0.3872821274090758)	(30, 0.4299821692133125)	(31, 0.4746487164393028)	(32, 0.5196522570022096)	(33, 0.5688020953307227)	(34, 0.6188648016858198)	(35, 0.6695289771612364)	(36, 0.7231493093769462)	(37, 0.7785015314001007)	(38, 0.8347239640654194)	(39, 0.8934205250270875)	(40, 0.95759429414826)	(41, 1.0238710723213296)	(42, 1.0874902954450445)	(43, 1.1559298030081988)	(44, 1.222505182872207)	(45, 1.2971129482224668)	(46, 1.372083301340295)	(47, 1.3724501548463055)	(48, 1.372573861261123)	(49, 1.373026029535973)	(50, 1.3732094562889783)	(51, 1.373486729287707)	(52, 1.3736232329178504)	(53, 1.3738834429628113)	(54, 1.3740327438082807)	(55, 1.3744849120831306)	(56, 1.3746768703130199)	(57, 1.3749925349577266)	(58, 1.3751716959722897)	(59, 1.3755470809551842)	(60, 1.375794493784819)	(61, 1.376263725013437)	(62, 1.3764940748893042)	(63, 1.3768779913490825)	(64, 1.3770614181020877)	(65, 1.3773898799621203)	(66, 1.377667152960849)	(67, 1.3781875730507709)	(68, 1.3785160349108034)	(69, 1.378840231032394)	(70, 1.3791558956771006)	(71, 1.3796123296903926)	(72, 1.3799706517195192)	(73, 1.3805849180551646)	(74, 1.3809005826998713)
SRR9126859_1_clean - polya	(1, 0.015288406576062383)	(2, 0.018858829652001058)	(3, 0.022275686144028393)	(4, 0.02582904626619914)	(5, 0.029267231450436384)	(6, 0.03294856372586658)	(7, 0.03739772892085349)	(8, 0.041403257317874295)	(9, 0.04601025483521452)	(10, 0.05029305623096414)	(11, 0.05551005434550775)	(12, 0.06020663237012959)	(13, 0.0647240493801882)	(14, 0.06886608140735243)	(15, 0.07261993123629631)	(16, 0.07699231313932754)	(17, 0.08128791175040312)	(18, 0.0853702234393796)	(19, 0.09116736198203271)	(20, 0.09549708650064413)	(21, 0.09972869903508996)	(22, 0.1038920597544641)	(23, 0.10801702882786039)	(24, 0.11222304693165434)	(25, 0.11712864613993329)	(26, 0.1217399093957155)	(27, 0.12666683729620434)	(28, 0.1313164921979644)	(29, 0.13614530811428766)	(30, 0.14037265491029152)	(31, 0.14476209976709067)	(32, 0.14930937694624316)	(33, 0.15408700400126266)	(34, 0.1588049107180944)	(35, 0.1633692508510148)	(36, 0.1686672979959561)	(37, 0.17328282699018027)	(38, 0.17787276155375256)	(39, 0.18244563316355694)	(40, 0.18759011372458687)	(41, 0.19236774077960636)	(42, 0.19734159180295702)	(43, 0.20234956873384352)	(44, 0.20716985317328282)	(45, 0.21231859947275472)	(46, 0.21803895472345217)	(47, 0.22307252608499056)	(48, 0.22889525905829558)	(49, 0.23353211674472968)	(50, 0.23844198169145062)	(51, 0.24313002823918847)	(52, 0.24796310989395373)	(53, 0.2529668210863983)	(54, 0.25797906375572677)	(55, 0.263277110900668)	(56, 0.2682424304471347)	(57, 0.27316935834762357)	(58, 0.2782882444780016)	(59, 0.283317550101098)	(60, 0.2882530094784708)	(61, 0.2930050421028384)	(62, 0.2974371443440574)	(63, 0.30273945722744067)	(64, 0.3078498118809347)	(65, 0.31292604062689294)	(66, 0.31857814406251866)	(67, 0.3236629042853608)	(68, 0.3290675948913516)	(69, 0.3341438236373099)	(70, 0.3392115209063841)	(71, 0.34431760982143617)	(72, 0.34926160067569295)	(73, 0.3540264305153865)	(74, 0.3586462252480527)
SRR9126859_2_clean - nextera_transposase_sequence	(1, 0.00018769249144719443)	(2, 0.000400979413546279)	(3, 0.0006441265047392354)	(4, 0.0009000708112581369)	(5, 0.0012541271019426174)	(6, 0.0017062953767926765)	(7, 0.0023888135275097473)	(8, 0.0029518910018513306)	(9, 0.0034851083070990417)	(10, 0.004470493887196812)	(11, 0.005289515668057298)	(12, 0.0062535725559451595)	(13, 0.007669797718683081)	(14, 0.009043365497001186)	(15, 0.011679591854145872)	(16, 0.022122119560117053)	(17, 0.037184441998754404)	(18, 0.05115046965780246)	(19, 0.06572223217561192)	(20, 0.079683994096218)	(21, 0.0974124030610939)	(22, 0.12288739303660856)	(23, 0.1538395911716277)	(24, 0.18761997389368074)	(25, 0.2331993891462551)	(26, 0.27279397336472916)	(27, 0.3145896786192658)	(28, 0.3537491575166577)	(29, 0.3969525564570483)	(30, 0.4403052562429082)	(31, 0.4857396363884552)	(32, 0.5316219190704102)	(33, 0.5816760939486234)	(34, 0.6326260738996528)	(35, 0.6841519285403497)	(36, 0.7386382056597818)	(37, 0.7949800790014759)	(38, 0.8521836315084504)	(39, 0.911921032649962)	(40, 0.9777371110712976)	(41, 1.045233890438774)	(42, 1.1106233950159112)	(43, 1.1806881489254606)	(44, 1.2486840196906486)	(45, 1.3255483606767167)	(46, 1.4027966181225633)	(47, 1.4031165485057118)	(48, 1.4032573178742973)	(49, 1.4037521435335671)	(50, 1.4039441017634562)	(51, 1.404225640500627)	(52, 1.4043792070845385)	(53, 1.404699137467687)	(54, 1.4048697670053663)	(55, 1.4053731241415202)	(56, 1.405607739755829)	(57, 1.4060172506462594)	(58, 1.4061921459223807)	(59, 1.4066187197665787)	(60, 1.4068831955499816)	(61, 1.4074164128552293)	(62, 1.4076936858539582)	(63, 1.4081074624828305)	(64, 1.4083932669584431)	(65, 1.4088198408026413)	(66, 1.4091440369242318)	(67, 1.4097327088292255)	(68, 1.4100654364277)	(69, 1.4105048074872242)	(70, 1.4108673952547925)	(71, 1.4113366264834106)	(72, 1.411724808681631)	(73, 1.4123348092788344)	(74, 1.4126845998310769)
SRR9126859_2_clean - polya	(1, 0.015382252821785979)	(2, 0.018948410159282673)	(3, 0.02285156083369592)	(4, 0.02592289251192274)	(5, 0.029207511112248643)	(6, 0.032368423297757076)	(7, 0.03645500072517553)	(8, 0.0405629068448039)	(9, 0.045195498792796024)	(10, 0.049384453942822044)	(11, 0.054418025304360435)	(12, 0.05878614146894969)	(13, 0.06294097071143986)	(14, 0.06718538046121164)	(15, 0.07123783198109425)	(16, 0.07542252139267829)	(17, 0.07998259578715672)	(18, 0.08412036207587896)	(19, 0.08998575243360378)	(20, 0.09417044184518782)	(21, 0.09825701927260629)	(22, 0.10232226800781483)	(23, 0.10666052400331022)	(24, 0.11102864016789947)	(25, 0.11571668671563734)	(26, 0.12027676111011577)	(27, 0.12519089179527867)	(28, 0.12978509209729297)	(29, 0.134669362613362)	(30, 0.13885405202494605)	(31, 0.14341412641942447)	(32, 0.14828986545860953)	(33, 0.15326798222040217)	(34, 0.15842525999675805)	(35, 0.16287442519174494)	(36, 0.1677331012771621)	(37, 0.17256191719348538)	(38, 0.1773523414638308)	(39, 0.18221101754924796)	(40, 0.18747920452509534)	(41, 0.19255543327105354)	(42, 0.19744396952556456)	(43, 0.20270789076296997)	(44, 0.20778838524737017)	(45, 0.2128816769470963)	(46, 0.21809440932319793)	(47, 0.22315357511538822)	(48, 0.22887819610452764)	(49, 0.23366435463643112)	(50, 0.23886855553564879)	(51, 0.24363338537534232)	(52, 0.24880772610546611)	(53, 0.25363654202178937)	(54, 0.25890899473607876)	(55, 0.2640278808664568)	(56, 0.26923634750411646)	(57, 0.2739499884825062)	(58, 0.2788385247370172)	(59, 0.2838465016679037)	(60, 0.2885217510003157)	(61, 0.2934145529932687)	(62, 0.2983713410628514)	(63, 0.3034688985010195)	(64, 0.30835316901708854)	(65, 0.31373653093086945)	(66, 0.3192691936901197)	(67, 0.3243880798204977)	(68, 0.32974158156518474)	(69, 0.3348860621262147)	(70, 0.34018410927115594)	(71, 0.3454522962470033)	(72, 0.3506095740233592)	(73, 0.355779649015041)	(74, 0.3610862276368662)
SRR9126934_1_clean - nextera_transposase_sequence	(1, 9.779117444429758e-05)	(2, 0.00026403617099960347)	(3, 0.00041072293266604983)	(4, 0.0005541499885176863)	(5, 0.0007725502781099509)	(6, 0.001007249096776265)	(7, 0.0012810643852202983)	(8, 0.0015451005562199017)	(9, 0.0018123964330343152)	(10, 0.0021905223075522656)	(11, 0.002496934654144398)	(12, 0.0028261649414402)	(13, 0.003305341696217258)	(14, 0.0037193243346981177)	(15, 0.004263695205771374)	(16, 0.005391553417695607)	(17, 0.006682396920360334)	(18, 0.007986279246284303)	(19, 0.009267343631504601)	(20, 0.010672276837687676)	(21, 0.012249974452055676)	(22, 0.014303589115385925)	(23, 0.016875497003270953)	(24, 0.019486521360933696)	(25, 0.022726668940854757)	(26, 0.02578753270096127)	(27, 0.028880993519215883)	(28, 0.03204616786539632)	(29, 0.03534824985579876)	(30, 0.03866663037527526)	(31, 0.042219709713418076)	(32, 0.04557394699685748)	(33, 0.04935520574203699)	(34, 0.053139724193031306)	(35, 0.05690794411495157)	(36, 0.06098583608927878)	(37, 0.06507350718105041)	(38, 0.06926874856471078)	(39, 0.07345747053674152)	(40, 0.07810581102866047)	(41, 0.08255204976006121)	(42, 0.0871188976066099)	(43, 0.09168574545315859)	(44, 0.09627541124041096)	(45, 0.10133773437081077)	(46, 0.10616535868254426)	(47, 0.10618491691743312)	(48, 0.10620447515232198)	(49, 0.1062435916220997)	(50, 0.10625337073954412)	(51, 0.10631530515002552)	(52, 0.10633160367909957)	(53, 0.10634790220817361)	(54, 0.10635768132561804)	(55, 0.10639027838376615)	(56, 0.10641309632446981)	(57, 0.10644895308843272)	(58, 0.1064750307349512)	(59, 0.10651414720472892)	(60, 0.10654674426287702)	(61, 0.10657934132102512)	(62, 0.10659238014428436)	(63, 0.1066706130838398)	(64, 0.10669669073035827)	(65, 0.106735807200136)	(66, 0.10678144308154333)	(67, 0.10682381925713587)	(68, 0.10686619543272839)	(69, 0.10691183131413573)	(70, 0.1069346492548394)	(71, 0.10699006425369118)	(72, 0.10701940160602445)	(73, 0.10706503748743179)	(74, 0.10710415395720951)
SRR9126934_1_clean - polya	(1, 0.01134051652972371)	(2, 0.014244914410719347)	(3, 0.01733185581734434)	(4, 0.02017431928785859)	(5, 0.02295158864207664)	(6, 0.026084165930108972)	(7, 0.029542713799622297)	(8, 0.03279264049698779)	(9, 0.03614035836879757)	(10, 0.03926641624520029)	(11, 0.04284557322986158)	(12, 0.04626826433541199)	(13, 0.04933238780133332)	(14, 0.052973479196476)	(15, 0.05605390119147137)	(16, 0.05914084259809636)	(17, 0.06302315222353498)	(18, 0.06610683392434516)	(19, 0.07051069648015336)	(20, 0.07382907699962986)	(21, 0.07680518840855131)	(22, 0.07993124628495403)	(23, 0.08298885033924573)	(24, 0.08636916526920362)	(25, 0.09010152842716097)	(26, 0.0934590254164152)	(27, 0.09702840328363206)	(28, 0.10029462851007159)	(29, 0.10359997020628885)	(30, 0.10681404013969144)	(31, 0.11031496418479729)	(32, 0.11376373293686617)	(33, 0.11744394080178658)	(34, 0.1211306680783366)	(35, 0.1248141356490718)	(36, 0.12866384821636231)	(37, 0.13223322608357918)	(38, 0.13603730276946235)	(39, 0.13974032857508642)	(40, 0.14355092467259922)	(41, 0.14743649400385264)	(42, 0.15124383039555064)	(43, 0.1551163609035448)	(44, 0.15875745229868748)	(45, 0.1625093736915337)	(46, 0.16656444772515724)	(47, 0.17060648293552155)	(48, 0.1751276949006629)	(49, 0.17900674482028672)	(50, 0.1832085056155767)	(51, 0.1869147911270156)	(52, 0.19049068840586206)	(53, 0.19455228185111523)	(54, 0.19884531440921988)	(55, 0.20303403638125062)	(56, 0.20715104482535557)	(57, 0.210779097397239)	(58, 0.21502975377975114)	(59, 0.21900659487381924)	(60, 0.22276503567829506)	(61, 0.22699287412010352)	(62, 0.23048401904776497)	(63, 0.2346010274918699)	(64, 0.23864306270223418)	(65, 0.24294261467196848)	(66, 0.24669453606481467)	(67, 0.250668117453068)	(68, 0.2547557885448396)	(69, 0.2587195908156485)	(70, 0.2627681454376424)	(71, 0.2670122824085249)	(72, 0.2712694582026667)	(73, 0.2754516607630678)	(74, 0.27921988068498804)
SRR9126934_2_clean - nextera_transposase_sequence	(1, 9.779117444429758e-05)	(2, 0.0002868541117032729)	(3, 0.00044657969662895895)	(4, 0.000606305281554645)	(5, 0.0008605623351098186)	(6, 0.0011637149758871412)	(7, 0.0015092437922569926)	(8, 0.001858032314441654)	(9, 0.0022426776005892244)	(10, 0.0028066067065513406)	(11, 0.0032401475799210596)	(12, 0.003722584040512928)	(13, 0.0043940834383637715)	(14, 0.005000388719918416)	(15, 0.005717523999176599)	(16, 0.0070898601472115744)	(17, 0.008677336879024005)	(18, 0.010238735964317956)	(19, 0.011770797697278618)	(20, 0.013377832663979908)	(21, 0.015128294686532835)	(22, 0.017491581402270025)	(23, 0.020373161342561993)	(24, 0.023290598046816872)	(25, 0.026905611795441074)	(26, 0.030367419370769207)	(27, 0.03380314929957886)	(28, 0.037255177757462565)	(29, 0.040941905034012585)	(30, 0.044638411428007035)	(31, 0.04855983752322337)	(32, 0.05239977097306945)	(33, 0.05661783029743349)	(34, 0.060861967268316004)	(35, 0.06507676688686523)	(36, 0.06965665355667316)	(37, 0.07425283875555515)	(38, 0.0789044389532889)	(39, 0.08360819444405962)	(40, 0.08898344933268118)	(41, 0.09406207099215502)	(42, 0.09928411970748052)	(43, 0.1045029087169912)	(44, 0.10986512478235352)	(45, 0.11583364612927048)	(46, 0.12171741512500238)	(47, 0.12177608982966896)	(48, 0.12179564806455782)	(49, 0.12187388100411325)	(50, 0.12192603629715022)	(51, 0.12198145129600199)	(52, 0.12204338570648338)	(53, 0.12209880070533514)	(54, 0.1221476962925573)	(55, 0.12226504570189045)	(56, 0.12235957717051994)	(57, 0.12242477128681614)	(58, 0.12248018628566791)	(59, 0.12256819834266777)	(60, 0.12268228804618612)	(61, 0.12282571510203776)	(62, 0.12288438980670434)	(63, 0.12302781686255597)	(64, 0.12311908862537065)	(65, 0.12319080215329646)	(66, 0.12329185303355557)	(67, 0.1234320203835924)	(68, 0.1235330712638515)	(69, 0.12363412214411061)	(70, 0.12373191331855492)	(71, 0.12383948361044364)	(72, 0.12393075537325832)	(73, 0.12400898831281376)	(74, 0.12408722125236919)
SRR9126934_2_clean - polya	(1, 0.01256616591609224)	(2, 0.015457524973828638)	(3, 0.01851186932230553)	(4, 0.021210905736968145)	(5, 0.023711100096927354)	(6, 0.02672632797562653)	(7, 0.029966475555547586)	(8, 0.032841536084209935)	(9, 0.036476108067722994)	(10, 0.03967713917786634)	(11, 0.04374525203474912)	(12, 0.047076671377484856)	(13, 0.05042764895510945)	(14, 0.05430669887473325)	(15, 0.05722087587317332)	(16, 0.06054251609846463)	(17, 0.06416404925871845)	(18, 0.06720209507812129)	(19, 0.07187977292237353)	(20, 0.07484936491966536)	(21, 0.07774072397740177)	(22, 0.08106236420269307)	(23, 0.08417212355002174)	(24, 0.08745464730553533)	(25, 0.09087407870527092)	(26, 0.09473683009582068)	(27, 0.09808128826181566)	(28, 0.10162784818832885)	(29, 0.10527871870091596)	(30, 0.10868511127739233)	(31, 0.11244029237605335)	(32, 0.11611724053515894)	(33, 0.11976159163611644)	(34, 0.12368953714296238)	(35, 0.12754902882769734)	(36, 0.13180294491602426)	(37, 0.1357276307170554)	(38, 0.13968817328204947)	(39, 0.1438997131947839)	(40, 0.14785373634814833)	(41, 0.1516969295038092)	(42, 0.15548470766061834)	(43, 0.1594485099314272)	(44, 0.1634970645534211)	(45, 0.1677314224068592)	(46, 0.17211898643359336)	(47, 0.17632400693469816)	(48, 0.18091367272195052)	(49, 0.18483183911135204)	(50, 0.1891900657857529)	(51, 0.19308541423445075)	(52, 0.19710137179829657)	(53, 0.20145959847269743)	(54, 0.20560920397495047)	(55, 0.2098272632993145)	(56, 0.21400946585971561)	(57, 0.21802216371774663)	(58, 0.22255641450614724)	(59, 0.22674513647817798)	(60, 0.23108380491768998)	(61, 0.2349954518954619)	(62, 0.2390146691651225)	(63, 0.24370212612681919)	(64, 0.24809946927099777)	(65, 0.2523273077128062)	(66, 0.25650951027320734)	(67, 0.26065911577546036)	(68, 0.2651607695057129)	(69, 0.2692973361847067)	(70, 0.27372727638703337)	(71, 0.27800727012187876)	(72, 0.2821927323880947)	(73, 0.28694538346608756)	(74, 0.2913068698463032)
SRR9127010_1_clean - nextera_transposase_sequence	(1, 0.0001503401415019821)	(2, 0.0003559072737597943)	(3, 0.0005461335752520982)	(4, 0.000831473027490554)	(5, 0.0011444259751069248)	(6, 0.0014788560857950073)	(7, 0.0018746495195451234)	(8, 0.0022581702886828327)	(9, 0.002681577217810864)	(10, 0.003295210448431199)	(11, 0.003740094540630942)	(12, 0.0042340692912803115)	(13, 0.004749521205001393)	(14, 0.005283382115641085)	(15, 0.006004401161619978)	(16, 0.007679619881213493)	(17, 0.009716882206873004)	(18, 0.011527100237202994)	(19, 0.01358890789208732)	(20, 0.015472761910091748)	(21, 0.017792295521836615)	(22, 0.02113352846256434)	(23, 0.02469260120016228)	(24, 0.028506331728467664)	(25, 0.03343687473650205)	(26, 0.037606512538567234)	(27, 0.04209523962055498)	(28, 0.04624340025954845)	(29, 0.050419174393919824)	(30, 0.05453051703907607)	(31, 0.05877685899496879)	(32, 0.0635478573630419)	(33, 0.06821146991575644)	(34, 0.07301314994536057)	(35, 0.07780562547650538)	(36, 0.08265025983225292)	(37, 0.08789989212020989)	(38, 0.09313111541124824)	(39, 0.09869063248066848)	(40, 0.1044035578577438)	(41, 0.10978205312413104)	(42, 0.11536611552277609)	(43, 0.12129994886287472)	(44, 0.1274823036613746)	(45, 0.1342936325212603)	(46, 0.14169098111638845)	(47, 0.141737003608685)	(48, 0.1417646171040629)	(49, 0.14182598042712494)	(50, 0.14185359392250285)	(51, 0.14187507108557457)	(52, 0.14188734375018697)	(53, 0.14192722991017728)	(54, 0.1419548434055552)	(55, 0.14202541122707654)	(56, 0.14205302472245446)	(57, 0.1420898427162917)	(58, 0.1421358652085882)	(59, 0.14218495586703783)	(60, 0.14223711469164055)	(61, 0.1423138188454681)	(62, 0.14234450050699912)	(63, 0.14238745483314255)	(64, 0.14243347732543907)	(65, 0.14249177248234798)	(66, 0.14255006763925693)	(67, 0.14263904445769687)	(68, 0.1426850669499934)	(69, 0.14275563477151473)	(70, 0.14279858909765816)	(71, 0.1428722250853326)	(72, 0.14293358840839462)	(73, 0.14299801989760977)	(74, 0.14307779221759043)
SRR9127010_1_clean - polya	(1, 0.013380272593676405)	(2, 0.016479120408309098)	(3, 0.01975899002597479)	(4, 0.022759656523708226)	(5, 0.025698959698379632)	(6, 0.029070874300638372)	(7, 0.032927559155087174)	(8, 0.036609358538809186)	(9, 0.04057036104246345)	(10, 0.044230683263113746)	(11, 0.04851384321284369)	(12, 0.05226007408578083)	(13, 0.0558621011495222)	(14, 0.05985992164701368)	(15, 0.06345581237844884)	(16, 0.06738306505441899)	(17, 0.07178281531796679)	(18, 0.07577449948315207)	(19, 0.08094435945112839)	(20, 0.08458934084101319)	(21, 0.08803795959709947)	(22, 0.0913883970362865)	(23, 0.09519599123228567)	(24, 0.09913551657286823)	(25, 0.10324072288571827)	(26, 0.10710968040477947)	(27, 0.1109909105884531)	(28, 0.11477702762138056)	(29, 0.11864291697428868)	(30, 0.12241062501029754)	(31, 0.12591140259098654)	(32, 0.12980797360542567)	(33, 0.13403897473055287)	(34, 0.13775145577580591)	(35, 0.14225245552240606)	(36, 0.1461367538722328)	(37, 0.15005173388359053)	(38, 0.15406489521184752)	(39, 0.15814248802931963)	(40, 0.16255451095747986)	(41, 0.1666505127718706)	(42, 0.1705348111216973)	(43, 0.17478422124374313)	(44, 0.17890783655351178)	(45, 0.18358985810314493)	(46, 0.18797119936977413)	(47, 0.19210401917800207)	(48, 0.19698240336143374)	(49, 0.201305449471154)	(50, 0.2053646332917075)	(51, 0.20958949808452854)	(52, 0.21351061442819247)	(53, 0.21774468371947278)	(54, 0.2220186391707434)	(55, 0.22635702611122918)	(56, 0.2305849590702033)	(57, 0.23487732351839255)	(58, 0.2391911651296535)	(59, 0.2435847790608951)	(60, 0.24810418780441384)	(61, 0.2525530287264113)	(62, 0.2567226665284765)	(63, 0.261205257278158)	(64, 0.2655313715540314)	(65, 0.26990044015604814)	(66, 0.2741774637734719)	(67, 0.2786048275323976)	(68, 0.28295241897134266)	(69, 0.28741660072410563)	(70, 0.29167521534461077)	(71, 0.2959154209681973)	(72, 0.30013721759486517)	(73, 0.3044694682030447)	(74, 0.3088630821342863)
