Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR9126859_1_clean	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00030713316782268177)	(9, 0.0003540562906844804)	(10, 1.919582298891761e-05)	(12, 1.919582298891761e-05)	(14, 2.1328692209908457e-06)	(16, 2.1328692209908455e-05)	(18, 2.1328692209908457e-06)	(20, 0.0)	(22, 8.104903039765214e-05)	(24, 0.002211785382167507)	(26, 0.0)	(28, 2.5594430651890148e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0009427281956779539)	(38, 6.611894585071621e-05)	(40, 4.265738441981691e-06)	(42, 8.531476883963383e-06)	(44, 4.265738441981691e-06)	(46, 1.4944036930045638e-05)	(48, 0.0005936166706419696)	(50, 0.004302080567902169)	(52, 0.0001209826208465154)	(54, 0.00048421407820947623)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.2045470944278725e-06)	(64, 1.991353366672719e-05)	(66, 4.440375580287707e-05)	(68, 0.0011586212674291733)	(70, 0.00023468297950292267)	(72, 2.2421797143812824e-06)	(74, 0.0013834431592245)	(76, 0.0)	(78, 0.0)	(80, 0.0003475830889422869)	(82, 0.0020815950134012084)	(84, 0.0018607741754390077)
SRR9126859_2_clean	(1, 4.265738441981691e-06)	(2, 0.0)	(3, 0.003971402489484955)	(4, 0.00026874152184484654)	(5, 0.000981119841655789)	(6, 0.00028153873717079165)	(7, 0.0)	(8, 6.825181507170706e-05)	(9, 0.0)	(10, 0.0004884270516069037)	(12, 0.00037965072133637056)	(14, 0.00011944067637548737)	(16, 0.002088078967350038)	(18, 0.0018065402301792462)	(20, 0.00021968552976205712)	(22, 0.0)	(24, 4.905599208278945e-05)	(26, 0.00040097941354627897)	(28, 0.002280037197239214)	(30, 0.002335491796984976)	(32, 0.00010877633027053313)	(34, 0.00014076936858539583)	(36, 0.0010856304334843406)	(38, 0.0023376246662059666)	(40, 0.00015996519157431344)	(42, 1.2797215325945074e-05)	(44, 1.7062953767926765e-05)	(46, 3.202293627866923e-05)	(48, 0.00017144163773053276)	(50, 0.0001075520141975542)	(52, 2.5924847324253297e-05)	(54, 0.0)	(56, 0.0004273836571193374)	(58, 0.0019322095547127894)	(60, 0.0006786131571627223)	(62, 7.054550702169192e-05)	(64, 0.0001792218030005447)	(66, 4.662394359302093e-05)	(68, 0.00015374012971656334)	(70, 0.0007956870543146713)	(72, 3.363269571571923e-05)	(74, 0.0008773054180448047)	(76, 0.00010835485456385681)	(78, 4.7559445173324395e-05)	(80, 4.543569790095254e-06)	(82, 0.0026515826950554273)	(84, 0.000970440652381475)
SRR9126934_1_clean	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.2597058148099194e-06)	(8, 0.0004172423442956697)	(9, 0.00032597058148099196)	(10, 3.0967205240694235e-05)	(12, 3.2597058148099196e-05)	(14, 4.889558722214879e-06)	(16, 2.2817940703669436e-05)	(18, 6.519411629619839e-06)	(20, 0.0)	(22, 9.616132153689263e-05)	(24, 0.0023583971570149765)	(26, 0.0)	(28, 3.585676396290911e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0011050402712205626)	(38, 8.312249827765294e-05)	(40, 4.889558722214879e-06)	(42, 8.149264537024799e-06)	(44, 0.0)	(46, 2.2824494699924085e-05)	(48, 0.0006071755318837257)	(50, 0.004486835728545458)	(52, 0.00010470617100706738)	(54, 0.000547232739066978)	(56, 4.920897152380157e-06)	(58, 4.925407332828227e-06)	(60, 0.0)	(62, 1.644949332764137e-06)	(64, 2.6341457664486682e-05)	(66, 6.755173053858534e-05)	(68, 0.001223465292639295)	(70, 0.00033493466752825723)	(72, 1.6508833687054357e-06)	(74, 0.0013975245314286912)	(76, 0.0)	(78, 6.615925495284309e-06)	(80, 0.00041867992965250464)	(82, 0.002281806931447234)	(84, 0.0020065954854948664)
SRR9126934_2_clean	(1, 9.779117444429759e-06)	(2, 0.0)	(3, 0.00402899638710506)	(4, 0.0003129317582217523)	(5, 0.001166974681701951)	(6, 0.00029337352333289274)	(7, 0.0)	(8, 8.149264537024799e-05)	(9, 0.0)	(10, 0.000570448517591736)	(12, 0.00041887219720307465)	(14, 0.00015809573201828108)	(16, 0.002263865688385489)	(18, 0.0017749098161640008)	(20, 0.0002184002895922646)	(22, 0.0)	(24, 6.519411629619839e-05)	(26, 0.0004270214617400994)	(28, 0.0024822659779777535)	(30, 0.002498564507051803)	(32, 0.00013527779131461163)	(34, 0.0001254986738701819)	(36, 0.0012582464445166288)	(38, 0.0024105524500519352)	(40, 0.00017602411399973564)	(42, 1.1408970351834718e-05)	(44, 1.7928381981454556e-05)	(46, 1.793353154994035e-05)	(48, 0.00016158703671099152)	(50, 9.150138412183017e-05)	(52, 4.580894981559199e-05)	(54, 1.63842137445203e-06)	(56, 0.0005035718085935693)	(58, 0.0021064325360062052)	(60, 0.0007510227343784601)	(62, 6.415302397780135e-05)	(64, 0.00018603654475543718)	(66, 4.283768278056631e-05)	(68, 0.00016158975563160496)	(70, 0.0008678602715264202)	(72, 5.282826779857394e-05)	(74, 0.0009201195792030509)	(76, 0.00012728209775972598)	(78, 5.623536670991662e-05)	(80, 9.92916829215426e-06)	(82, 0.00287626896946578)	(84, 0.0010753761107235081)
SRR9127010_1_clean	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.068166153101675e-06)	(8, 0.0004326114275873362)	(9, 0.00034056644299428594)	(10, 1.6874913842059213e-05)	(12, 3.528391076066927e-05)	(14, 7.670415382754188e-06)	(16, 3.3749827684118425e-05)	(18, 6.13633230620335e-06)	(20, 0.0)	(22, 0.0001303970615068212)	(24, 0.002331806276357273)	(26, 1.5340830765508375e-06)	(28, 3.0681661531016753e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0011198806458821114)	(38, 7.056782152133854e-05)	(40, 6.13633230620335e-06)	(42, 1.5340830765508377e-05)	(44, 0.0)	(46, 2.3024534114669365e-05)	(48, 0.0006369503579968718)	(50, 0.004616014576492149)	(52, 0.00011593435648339934)	(54, 0.0005535925848242626)	(56, 1.5544726063064955e-06)	(58, 3.114570568460519e-06)	(60, 0.0)	(62, 0.0)	(64, 2.9750152892298904e-05)	(66, 6.743181177579606e-05)	(68, 0.0012705678071727243)	(70, 0.0002956045862233923)	(72, 0.0)	(74, 0.0014512951950814929)	(76, 0.0)	(78, 4.738107429320861e-06)	(80, 0.00035252701720425115)	(82, 0.002217250860569501)	(84, 0.001907786717050828)
SRR9127010_2_clean	(1, 9.204498459305026e-06)	(2, 0.0)	(3, 0.004356795937404379)	(4, 0.00032829377838187925)	(5, 0.0011689713043317382)	(6, 0.00032522561222877755)	(7, 0.0)	(8, 8.284048613374522e-05)	(9, 3.068166153101675e-06)	(10, 0.0006780647198354702)	(12, 0.00044795225835284454)	(14, 0.00015801055688473625)	(16, 0.0022336249594580196)	(18, 0.001851638273396861)	(20, 0.00019482855072195637)	(22, 1.5340830765508375e-06)	(24, 7.210190459788936e-05)	(26, 0.00047249758757765797)	(28, 0.0024023740978786116)	(30, 0.002500555414777865)	(32, 0.00011965847997096533)	(34, 0.00012579481227716869)	(36, 0.0012272664612406699)	(38, 0.002391635516342756)	(40, 0.00018715813533920218)	(42, 1.6874913842059213e-05)	(44, 1.8408996918610052e-05)	(46, 2.7629440937603232e-05)	(48, 0.0001784691824339061)	(50, 9.096354709854267e-05)	(52, 4.328215975380242e-05)	(54, 0.0)	(56, 0.0006046898438532267)	(58, 0.002082090425015857)	(60, 0.000798791677813867)	(62, 8.28450749423582e-05)	(64, 0.00021451426032868156)	(66, 6.743181177579606e-05)	(68, 0.00016961844644580251)	(70, 0.0009072545013345604)	(72, 4.5647172947017213e-05)	(74, 0.0008966199413695652)	(76, 0.00013725988749233001)	(78, 5.369855086563643e-05)	(80, 0.0)	(82, 0.002880368712517125)	(84, 0.0011075937834040938)
SRR9127157_1_clean	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 9.186017356704215e-06)	(8, 0.0004041847636949855)	(9, 0.0003628476855898165)	(10, 2.5261547730936593e-05)	(12, 1.837203471340843e-05)	(14, 4.593008678352108e-06)	(16, 2.0668539052584483e-05)	(18, 2.296504339176054e-06)	(20, 0.0)	(22, 0.00011482521695880269)	(24, 0.002218423191644068)	(26, 0.0)	(28, 2.7558052070112646e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0011436591609096747)	(38, 7.808114753198583e-05)	(40, 4.593008678352108e-06)	(42, 1.837203471340843e-05)	(44, 2.296504339176054e-06)	(46, 3.6751292336225446e-05)	(48, 0.0006183616918449448)	(50, 0.00441916921965132)	(52, 0.00013584121699731876)	(54, 0.0005438810113716302)	(56, 4.6126180380487485e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.5431975984076435e-05)	(66, 6.476986722570465e-05)	(68, 0.0012197040104701057)	(70, 0.0003149037605482919)	(72, 0.0)	(74, 0.0014368533985893437)	(76, 0.0)	(78, 4.639159666329368e-06)	(80, 0.000348080748885985)	(82, 0.002217107835528394)	(84, 0.0017559789865060679)
SRR9127157_2_clean	(1, 4.593008678352108e-06)	(2, 0.0)	(3, 0.004216381966727235)	(4, 0.00027558052070112646)	(5, 0.0011298801348746184)	(6, 0.00028476653805783065)	(7, 0.0)	(8, 3.674406942681686e-05)	(9, 0.0)	(10, 0.0006269456845950627)	(12, 0.0004432253374609784)	(14, 0.0001240112343155069)	(16, 0.0022322022176791243)	(18, 0.0018601685147326035)	(20, 0.0002824700337186546)	(22, 0.0)	(24, 6.200561715775345e-05)	(26, 0.0004317428157650981)	(28, 0.002514672251397779)	(30, 0.002601939416286469)	(32, 9.186017356704215e-05)	(34, 0.00011712172129797875)	(36, 0.0011758102216581395)	(38, 0.002523858268754483)	(40, 0.00016075530374232377)	(42, 1.3779026035056323e-05)	(44, 2.7558052070112646e-05)	(46, 2.7563469252169084e-05)	(48, 0.00017010693381608148)	(50, 0.00011502262414501095)	(52, 3.2233509118007844e-05)	(54, 0.0)	(56, 0.0005258384563375573)	(58, 0.0021000304019785886)	(60, 0.0007343273924784784)	(62, 3.46602942252299e-05)	(64, 0.0001595278493546613)	(66, 4.395098133172815e-05)	(68, 0.00018515430898976938)	(70, 0.0008520925285424369)	(72, 6.486100125279024e-05)	(74, 0.0008968746213775418)	(76, 0.00011592928684476189)	(78, 3.711327733063495e-05)	(80, 6.961614977719699e-06)	(82, 0.0028300046612660863)	(84, 0.0009546393696481401)
SRR9127293_1_clean	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.2459678911452984e-06)	(8, 0.000402500018502017)	(9, 0.0003603024359171281)	(10, 1.947580734687179e-05)	(12, 3.2459678911452984e-05)	(14, 4.868951836717947e-06)	(16, 2.9213711020307687e-05)	(18, 0.0)	(20, 0.0)	(22, 0.00011198589224451278)	(24, 0.002223488005434529)	(26, 0.0)	(28, 2.2721775238017086e-05)	(30, 0.0)	(32, 0.0)	(34, 3.2459678911452984e-06)	(36, 0.0010630544843500851)	(38, 7.628024544191451e-05)	(40, 4.868951836717947e-06)	(42, 9.737903673435895e-06)	(44, 3.2459678911452984e-06)	(46, 2.2728183330462007e-05)	(48, 0.0006224621462566313)	(50, 0.0043812337101850505)	(52, 0.00011076198643413252)	(54, 0.0005007365802474164)	(56, 6.531286913506967e-06)	(58, 3.2685189832232314e-06)	(60, 0.0)	(62, 0.0)	(64, 3.113283862815801e-05)	(66, 5.575280204564246e-05)	(68, 0.0011798889164943876)	(70, 0.00029720384872087646)	(72, 1.6429584476750267e-06)	(74, 0.0014220444208207885)	(76, 0.0)	(78, 4.9379781711736965e-06)	(80, 0.0003293754644296978)	(82, 0.0021933329204835905)	(84, 0.0017380159308123231)
SRR9127293_2_clean	(1, 9.737903673435895e-06)	(2, 0.0)	(3, 0.0043658268135904265)	(4, 0.00031161291754994863)	(5, 0.001012741982037333)	(6, 0.0003245967891145298)	(7, 0.0)	(8, 8.764113306092306e-05)	(9, 0.0)	(10, 0.0006134879314264614)	(12, 0.00038627017904629046)	(14, 0.0001022479885710769)	(16, 0.002148830743938187)	(18, 0.00190538315210229)	(20, 0.00019475807346871788)	(22, 0.0)	(24, 6.978830965962391e-05)	(26, 0.0004544355047603417)	(28, 0.0023711795444816405)	(30, 0.0024507057578147)	(32, 0.00012821573170023926)	(34, 0.0001152318601356581)	(36, 0.0012156149752339143)	(38, 0.0024507057578147)	(40, 0.00017365928217627345)	(42, 6.491935782290597e-06)	(44, 2.5967743129162387e-05)	(46, 1.9481299997538864e-05)	(48, 0.00015927229851997354)	(50, 9.924071902015897e-05)	(52, 4.072131854196049e-05)	(54, 3.2621275586150906e-06)	(56, 0.0005322998834508179)	(58, 0.002078778073329975)	(60, 0.0007197295452658767)	(62, 7.85868203615308e-05)	(64, 0.0001851584613148345)	(66, 4.7553860568342095e-05)	(68, 0.00013948617232548393)	(70, 0.0008275731478194573)	(72, 6.736129635467608e-05)	(74, 0.0009272058420149419)	(76, 0.00012831352402828663)	(78, 3.950382536938957e-05)	(80, 4.940631966445467e-06)	(82, 0.002719007752665608)	(84, 0.0009184771095469298)
