Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR9126859_1_clean	(1, 36.419589891906185)	(2, 36.41875372185679)	(3, 36.40527177019614)	(4, 36.415492564817896)	(5, 36.41566703352017)	(6, 36.396628786909304)	(7, 36.4044926757271)	(8, 36.38949681349338)	(9, 36.36688059344953)	(10, 36.35592598517229)	(12, 36.32847591564075)	(14, 36.31984700929078)	(16, 36.30198271522784)	(18, 36.2821040968152)	(20, 36.26537410526136)	(22, 36.23080690708369)	(24, 36.21363878153447)	(26, 36.19193310468975)	(28, 36.16685261020535)	(30, 36.15866998541118)	(32, 36.12827314376392)	(34, 36.09179054371103)	(36, 36.07421676776467)	(38, 36.07425654577564)	(40, 36.04875854214123)	(42, 36.03908171448559)	(44, 36.002492470971646)	(46, 35.983497783066085)	(48, 35.97329775141323)	(50, 35.96777154985772)	(52, 35.93600040848132)	(54, 35.90976170531172)	(56, 35.91554607839892)	(58, 35.88422264237014)	(60, 35.86564112707406)	(62, 35.8579538283785)	(64, 35.81464446996738)	(66, 35.808824354916204)	(68, 35.770916527599105)	(70, 35.7735294818725)	(72, 35.737896370882844)	(74, 35.70285658623459)	(76, 35.70032468046618)	(78, 35.68810989829046)	(80, 35.63093533916694)	(82, 35.584929499891814)	(84, 35.46811991493604)
SRR9126859_2_clean	(1, 36.22074620562566)	(2, 36.20551193127042)	(3, 36.19999023145897)	(4, 36.199063457125064)	(5, 36.20104032829123)	(6, 36.19727734978202)	(7, 36.19036489126633)	(8, 36.16295828960951)	(9, 36.149466526750444)	(10, 36.14062213662307)	(12, 36.10900335287042)	(14, 36.093747195276976)	(16, 36.08188778121881)	(18, 36.04895994898177)	(20, 36.02831812597579)	(22, 35.98017617499765)	(24, 35.963698629844814)	(26, 35.9423866380009)	(28, 35.901174848352994)	(30, 35.87410737290232)	(32, 35.847863867489096)	(34, 35.82649484272223)	(36, 35.795344053134045)	(38, 35.78192376272256)	(40, 35.75932501087763)	(42, 35.750905658928616)	(44, 35.71812627438936)	(46, 35.68240151901125)	(48, 35.646791609245305)	(50, 35.65228022857361)	(52, 35.6021972435055)	(54, 35.58379304473404)	(56, 35.550569211899884)	(58, 35.54145389192592)	(60, 35.50931797000288)	(62, 35.48190414949363)	(64, 35.44585068164503)	(66, 35.4254565569404)	(68, 35.39147256261151)	(70, 35.302068982275756)	(72, 35.28674795896933)	(74, 35.24261570995652)	(76, 35.2453191474971)	(78, 35.185431220526)	(80, 35.10572277602665)	(82, 35.062062406345504)	(84, 34.95584452508318)
SRR9126934_1_clean	(1, 36.43754571533674)	(2, 36.4306133641745)	(3, 36.420821077518575)	(4, 36.43167883161713)	(5, 36.42733853332471)	(6, 36.40975946141837)	(7, 36.41908948919269)	(8, 36.405955515120716)	(9, 36.38605266413312)	(10, 36.370478262407296)	(12, 36.34583764089875)	(14, 36.3443291305403)	(16, 36.32927341320374)	(18, 36.30644491105322)	(20, 36.294650480488784)	(22, 36.27013904112168)	(24, 36.25869594164996)	(26, 36.236878649138795)	(28, 36.21095323088187)	(30, 36.19891761468419)	(32, 36.16842899945122)	(34, 36.13031863787325)	(36, 36.11715337062545)	(38, 36.12171596455592)	(40, 36.10173693424342)	(42, 36.097682446956846)	(44, 36.074873095578)	(46, 36.05745760603618)	(48, 36.044639299680625)	(50, 36.037026485493904)	(52, 36.01913933614623)	(54, 36.001768326527284)	(56, 36.007561873134286)	(58, 35.97910884633592)	(60, 35.974072180422176)	(62, 35.967103155117265)	(64, 35.92400411564556)	(66, 35.924655549408364)	(68, 35.89786522997079)	(70, 35.90270273545157)	(72, 35.87689737188764)	(74, 35.853118026842026)	(76, 35.843461496793296)	(78, 35.83450331818305)	(80, 35.8016991917204)	(82, 35.77477338251917)	(84, 35.663217608935355)
SRR9126934_2_clean	(1, 36.24338176223934)	(2, 36.24106140584918)	(3, 36.22802017040764)	(4, 36.22288698127283)	(5, 36.22189648706394)	(6, 36.21873202985304)	(7, 36.215247534725236)	(8, 36.19027261408685)	(9, 36.179162917325876)	(10, 36.17232121858234)	(12, 36.14291793869895)	(14, 36.1290755653593)	(16, 36.12441219762357)	(18, 36.0851210728083)	(20, 36.06758383922609)	(22, 36.03868798144836)	(24, 36.02148361272543)	(26, 35.991002722995255)	(28, 35.95292445322102)	(30, 35.927038086239754)	(32, 35.899548335162294)	(34, 35.87020198604096)	(36, 35.841708653035774)	(38, 35.831579524679476)	(40, 35.81686910797987)	(42, 35.818882970530794)	(44, 35.799667102543665)	(46, 35.76113600260358)	(48, 35.72320544701043)	(50, 35.73065855148681)	(52, 35.70016808384198)	(54, 35.68508579457301)	(56, 35.64831358724977)	(58, 35.649683980517864)	(60, 35.62896274090312)	(62, 35.611658940948764)	(64, 35.58280385644028)	(66, 35.566974600465116)	(68, 35.546820920738135)	(70, 35.47959020328409)	(72, 35.490048343929)	(74, 35.46591860248469)	(76, 35.46883889506407)	(78, 35.4311594173212)	(80, 35.38829085157924)	(82, 35.36972975921931)	(84, 35.27187568353125)
SRR9127010_1_clean	(1, 36.4451581714822)	(2, 36.44023511479958)	(3, 36.426069330307385)	(4, 36.44088206831462)	(5, 36.43617114463983)	(6, 36.41821715676172)	(7, 36.425160692901144)	(8, 36.41008998348376)	(9, 36.390779620712685)	(10, 36.37691170913146)	(12, 36.350706778152784)	(14, 36.34330378413193)	(16, 36.325423999852234)	(18, 36.30487369909372)	(20, 36.29116841565944)	(22, 36.25694905116808)	(24, 36.24015868064437)	(26, 36.21916406340439)	(28, 36.190983616943875)	(30, 36.18078205652979)	(32, 36.1459820569348)	(34, 36.104816901201886)	(36, 36.08452926614774)	(38, 36.086310244554625)	(40, 36.06388777949115)	(42, 36.05315223543978)	(44, 36.0196845563151)	(46, 35.99956626004568)	(48, 35.98948738779123)	(50, 35.98246537310507)	(52, 35.954829935545646)	(54, 35.93231122998394)	(56, 35.93579130365393)	(58, 35.90494875413337)	(60, 35.894804654263766)	(62, 35.886031527824045)	(64, 35.84148383914527)	(66, 35.840806041054634)	(68, 35.80833432659202)	(70, 35.812133924895925)	(72, 35.7758261554143)	(74, 35.74715115952202)	(76, 35.74678036984393)	(78, 35.73085845679827)	(80, 35.68645744229838)	(82, 35.649305288691615)	(84, 35.53914727478261)
SRR9127010_2_clean	(1, 36.230034039155754)	(2, 36.214316222815015)	(3, 36.20993261110543)	(4, 36.20779388452509)	(5, 36.20780787536275)	(6, 36.20574168023026)	(7, 36.19911444133956)	(8, 36.16986423272728)	(9, 36.159471494880194)	(10, 36.15226799302262)	(12, 36.11836487975749)	(14, 36.09979705921797)	(16, 36.08919091507411)	(18, 36.05451368814772)	(20, 36.03408384359238)	(22, 35.98920844657551)	(24, 35.97050103981685)	(26, 35.94451061967476)	(28, 35.898697161538244)	(30, 35.868678929574514)	(32, 35.834650911265285)	(34, 35.80491639262574)	(36, 35.76908978463591)	(38, 35.755567594016824)	(40, 35.73371971976966)	(42, 35.72365667171656)	(44, 35.692619118252615)	(46, 35.65295563618107)	(48, 35.6153072196647)	(50, 35.62301790280449)	(52, 35.57454143805123)	(54, 35.555715614766925)	(56, 35.51990188956631)	(58, 35.516474626973064)	(60, 35.490487767063904)	(62, 35.46450537569859)	(64, 35.43366203090711)	(66, 35.41610295053425)	(68, 35.39272065700094)	(70, 35.315008832671126)	(72, 35.3106051633297)	(74, 35.28234273238901)	(76, 35.294491241328714)	(78, 35.255337671307196)	(80, 35.19452998439793)	(82, 35.166863499557934)	(84, 35.07689167238322)
SRR9127157_1_clean	(1, 36.40741103078092)	(2, 36.39726966761912)	(3, 36.38832882506566)	(4, 36.404215858363735)	(5, 36.39814628925547)	(6, 36.38177055983402)	(7, 36.392521782688135)	(8, 36.376293488845256)	(9, 36.35656738924339)	(10, 36.335988115314464)	(12, 36.31398817787124)	(14, 36.31670113030728)	(16, 36.30546697555569)	(18, 36.27845641012003)	(20, 36.26666888968287)	(22, 36.24401543599984)	(24, 36.23648138607449)	(26, 36.210371555570745)	(28, 36.18492812469614)	(30, 36.17293293137159)	(32, 36.1412274843251)	(34, 36.10029045727581)	(36, 36.093074610991685)	(38, 36.10049323860896)	(40, 36.07952835863645)	(42, 36.0814569170504)	(44, 36.063844726727694)	(46, 36.04359456284271)	(48, 36.030511775004186)	(50, 36.02616063222007)	(52, 36.01511458566516)	(54, 35.99492367240377)	(56, 36.00174868115389)	(58, 35.97348254186271)	(60, 35.974001569854)	(62, 35.966872137276575)	(64, 35.92231326350025)	(66, 35.920446906405516)	(68, 35.89539318741345)	(70, 35.90294903866786)	(72, 35.88274381825434)	(74, 35.860367452005406)	(76, 35.85059996988501)	(78, 35.83695296709772)	(80, 35.80909201245406)	(82, 35.78620903123603)	(84, 35.68070929080221)
SRR9127157_2_clean	(1, 36.35757720813141)	(2, 36.330728729972016)	(3, 36.324052975578375)	(4, 36.322541048981634)	(5, 36.32256676983023)	(6, 36.323348316186944)	(7, 36.319582783952086)	(8, 36.298315224707665)	(9, 36.281422230648865)	(10, 36.271197481414504)	(12, 36.249450503924244)	(14, 36.24289492560267)	(16, 36.24036500456246)	(18, 36.19909420357253)	(20, 36.181931439149)	(22, 36.15581823278387)	(24, 36.14517120233163)	(26, 36.11182111370264)	(28, 36.07477535250079)	(30, 36.04818835432545)	(32, 36.01897201943706)	(34, 35.991048249050934)	(36, 35.968053511858066)	(38, 35.96234212853158)	(40, 35.951956945504094)	(42, 35.95822203899179)	(44, 35.94658183930799)	(46, 35.909754633022544)	(48, 35.87215129914422)	(50, 35.88621643145055)	(52, 35.863025580328184)	(54, 35.85006543773545)	(56, 35.81947578132008)	(58, 35.81712189505306)	(60, 35.803545487048765)	(62, 35.78675538971503)	(64, 35.754887853367656)	(66, 35.74815756896306)	(68, 35.72672409635513)	(70, 35.67253577727915)	(72, 35.68667602747991)	(74, 35.663998751682115)	(76, 35.66515796398872)	(78, 35.632078256435335)	(80, 35.59751502281575)	(82, 35.58411060515253)	(84, 35.492552508123836)
SRR9127293_1_clean	(1, 36.34233996372047)	(2, 36.33653429046972)	(3, 36.324239732646504)	(4, 36.34127768826841)	(5, 36.33325819999655)	(6, 36.31202905063359)	(7, 36.327271369277796)	(8, 36.313445461182575)	(9, 36.29154845392602)	(10, 36.27600176087266)	(12, 36.2523312865991)	(14, 36.24934322708675)	(16, 36.233476919804986)	(18, 36.209187991269125)	(20, 36.19676132255274)	(22, 36.17043592245149)	(24, 36.15735640844299)	(26, 36.136964199441096)	(28, 36.111741730539734)	(30, 36.10114461916552)	(32, 36.069940902610185)	(34, 36.026838571395004)	(36, 36.01665449320509)	(38, 36.022389371896125)	(40, 36.000760156990594)	(42, 35.99680161799814)	(44, 35.97481047767274)	(46, 35.96160893753739)	(48, 35.947688059555176)	(50, 35.939505039068976)	(52, 35.924452900806344)	(54, 35.90216196713172)	(56, 35.908965007827)	(58, 35.88133829005076)	(60, 35.873957722032415)	(62, 35.86712183154975)	(64, 35.821169963274656)	(66, 35.819729663157936)	(68, 35.79315387501548)	(70, 35.79865418195949)	(72, 35.771488539088395)	(74, 35.749290969479404)	(76, 35.73779710792989)	(78, 35.72469372957503)	(80, 35.693540260787344)	(82, 35.66390017881473)	(84, 35.54723784913874)
SRR9127293_2_clean	(1, 35.9327593531591)	(2, 35.89771292997551)	(3, 35.89038973427598)	(4, 35.89205137769913)	(5, 35.88884390698718)	(6, 35.88703466940402)	(7, 35.884735030991855)	(8, 35.85504250724792)	(9, 35.84336906538068)	(10, 35.833058215914775)	(12, 35.79912087504023)	(14, 35.783513368778436)	(16, 35.781959897235254)	(18, 35.72932432062217)	(20, 35.708284411187265)	(22, 35.68122170570938)	(24, 35.663159306391194)	(26, 35.62266395805794)	(28, 35.58227131214876)	(30, 35.55713877278783)	(32, 35.531413324931904)	(34, 35.497100880007864)	(36, 35.467802806282066)	(38, 35.45492080941975)	(40, 35.43806970793949)	(42, 35.44240176045717)	(44, 35.42574884154652)	(46, 35.384918597688184)	(48, 35.33567393618736)	(50, 35.351407161436754)	(52, 35.31568052399365)	(54, 35.29510746834714)	(56, 35.25353065725005)	(58, 35.25530280937862)	(60, 35.23029361270354)	(62, 35.213955222149366)	(64, 35.1781148818958)	(66, 35.15806994116663)	(68, 35.14099697238754)	(70, 35.05608995819401)	(72, 35.07278284422083)	(74, 35.046220382551)	(76, 35.04828672850404)	(78, 35.00409764275361)	(80, 34.95988772742012)	(82, 34.93608096279924)	(84, 34.838248758704424)
