Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR9126859_1_clean	(0.0, 2297.0)	(1.0, 2606.0)	(2.0, 2774.5)	(3.0, 2723.0)	(4.0, 2977.0)	(5.0, 3423.0)	(6.0, 3941.5)	(7.0, 4199.0)	(8.0, 4569.5)	(9.0, 5165.0)	(10.0, 5873.0)	(11.0, 6904.5)	(12.0, 8127.5)	(13.0, 8829.0)	(14.0, 9831.5)	(15.0, 12549.5)	(16.0, 16607.5)	(17.0, 22313.0)	(18.0, 30388.0)	(19.0, 41606.5)	(20.0, 48479.5)	(21.0, 57397.5)	(22.0, 76577.5)	(23.0, 100876.0)	(24.0, 131160.0)	(25.0, 165467.5)	(26.0, 207588.5)	(27.0, 235807.0)	(28.0, 275992.0)	(29.0, 375520.0)	(30.0, 533259.0)	(31.0, 699414.5)	(32.0, 850437.5)	(33.0, 940536.5)	(34.0, 1000599.0)	(35.0, 1073929.0)	(36.0, 1124629.5)	(37.0, 1118870.0)	(38.0, 1005912.0)	(39.0, 854032.0)	(40.0, 767766.0)	(41.0, 715859.5)	(42.0, 667340.5)	(43.0, 666758.5)	(44.0, 695788.0)	(45.0, 722094.0)	(46.0, 782026.0)	(47.0, 835316.5)	(48.0, 830123.5)	(49.0, 792026.5)	(50.0, 772167.0)	(51.0, 752734.5)	(52.0, 685282.5)	(53.0, 646838.5)	(54.0, 626455.0)	(55.0, 576264.5)	(56.0, 512259.5)	(57.0, 441991.5)	(58.0, 396436.5)	(59.0, 352476.5)	(60.0, 314806.0)	(61.0, 296433.5)	(62.0, 272399.0)	(63.0, 221577.5)	(64.0, 166273.5)	(65.0, 179835.0)	(66.0, 201807.0)	(67.0, 198638.0)	(68.0, 188993.0)	(69.0, 149698.0)	(70.0, 119253.5)	(71.0, 99252.0)	(72.0, 82398.0)	(73.0, 85047.5)	(74.0, 91060.0)	(75.0, 95802.5)	(76.0, 104545.0)	(77.0, 104906.5)	(78.0, 101948.5)	(79.0, 109317.0)	(80.0, 109915.0)	(81.0, 129521.0)	(82.0, 126627.5)	(83.0, 112395.5)	(84.0, 101178.0)	(85.0, 76293.0)	(86.0, 55107.0)	(87.0, 38978.5)	(88.0, 26853.0)	(89.0, 12400.5)	(90.0, 5616.5)	(91.0, 906.0)	(92.0, 397.0)	(93.0, 307.0)	(94.0, 258.0)	(95.0, 198.0)	(96.0, 176.5)	(97.0, 298.0)	(98.0, 238.0)	(99.0, 56.0)	(100.0, 45.0)
SRR9126859_2_clean	(0.0, 3024.0)	(1.0, 3453.0)	(2.0, 3631.5)	(3.0, 3508.0)	(4.0, 3877.5)	(5.0, 4463.5)	(6.0, 5112.0)	(7.0, 5431.0)	(8.0, 5770.0)	(9.0, 6350.0)	(10.0, 7016.0)	(11.0, 7949.5)	(12.0, 9181.5)	(13.0, 9943.5)	(14.0, 10944.5)	(15.0, 13405.0)	(16.0, 17324.5)	(17.0, 23111.0)	(18.0, 31407.0)	(19.0, 42574.5)	(20.0, 49143.0)	(21.0, 58372.5)	(22.0, 78173.5)	(23.0, 102466.0)	(24.0, 132746.0)	(25.0, 168188.0)	(26.0, 210886.5)	(27.0, 238808.5)	(28.0, 279440.5)	(29.0, 379031.5)	(30.0, 534462.0)	(31.0, 697532.5)	(32.0, 846657.5)	(33.0, 935874.5)	(34.0, 994223.0)	(35.0, 1067827.0)	(36.0, 1118624.5)	(37.0, 1109890.5)	(38.0, 1000086.0)	(39.0, 856321.0)	(40.0, 773427.0)	(41.0, 720800.5)	(42.0, 671413.5)	(43.0, 668009.5)	(44.0, 692930.5)	(45.0, 718255.5)	(46.0, 777043.5)	(47.0, 828161.0)	(48.0, 822102.0)	(49.0, 789636.5)	(50.0, 775318.5)	(51.0, 752490.0)	(52.0, 680837.0)	(53.0, 640964.0)	(54.0, 623793.5)	(55.0, 577371.5)	(56.0, 514769.5)	(57.0, 445990.5)	(58.0, 399817.5)	(59.0, 354499.5)	(60.0, 316631.0)	(61.0, 298138.5)	(62.0, 274741.5)	(63.0, 224261.0)	(64.0, 168208.0)	(65.0, 180609.0)	(66.0, 201767.0)	(67.0, 198544.5)	(68.0, 188145.5)	(69.0, 150247.5)	(70.0, 120602.5)	(71.0, 99995.0)	(72.0, 84167.5)	(73.0, 86961.5)	(74.0, 91708.5)	(75.0, 95138.0)	(76.0, 103581.0)	(77.0, 102645.5)	(78.0, 99529.5)	(79.0, 107349.0)	(80.0, 107464.5)	(81.0, 127984.0)	(82.0, 125630.0)	(83.0, 109626.0)	(84.0, 98466.5)	(85.0, 74920.5)	(86.0, 54195.0)	(87.0, 38680.0)	(88.0, 26303.5)	(89.0, 12272.5)	(90.0, 5987.0)	(91.0, 1089.0)	(92.0, 635.0)	(93.0, 574.0)	(94.0, 538.0)	(95.0, 536.5)	(96.0, 592.5)	(97.0, 835.5)	(98.0, 1028.5)	(99.0, 2299.0)	(100.0, 3584.0)
SRR9126934_1_clean	(0.0, 5655.0)	(1.0, 7181.0)	(2.0, 7739.0)	(3.0, 6237.5)	(4.0, 5780.0)	(5.0, 6057.0)	(6.0, 6651.0)	(7.0, 7047.5)	(8.0, 7517.0)	(9.0, 8337.5)	(10.0, 9048.0)	(11.0, 9840.5)	(12.0, 10787.5)	(13.0, 11305.5)	(14.0, 12350.5)	(15.0, 14677.0)	(16.0, 18145.0)	(17.0, 23618.0)	(18.0, 31709.5)	(19.0, 42942.5)	(20.0, 49411.5)	(21.0, 58670.0)	(22.0, 79835.5)	(23.0, 108027.5)	(24.0, 139081.5)	(25.0, 171801.0)	(26.0, 213992.0)	(27.0, 239804.0)	(28.0, 270905.0)	(29.0, 345522.5)	(30.0, 454019.5)	(31.0, 575498.5)	(32.0, 691998.5)	(33.0, 755566.5)	(34.0, 804743.5)	(35.0, 876814.0)	(36.0, 923623.5)	(37.0, 926596.0)	(38.0, 869187.5)	(39.0, 795406.5)	(40.0, 754684.0)	(41.0, 733600.0)	(42.0, 729038.0)	(43.0, 770146.0)	(44.0, 837647.0)	(45.0, 886080.5)	(46.0, 998684.5)	(47.0, 1097403.5)	(48.0, 1098050.5)	(49.0, 1038313.0)	(50.0, 1032206.0)	(51.0, 1073738.0)	(52.0, 1028708.5)	(53.0, 996233.5)	(54.0, 1004184.0)	(55.0, 984539.5)	(56.0, 904516.0)	(57.0, 802129.0)	(58.0, 756283.0)	(59.0, 692574.0)	(60.0, 624463.5)	(61.0, 605213.5)	(62.0, 575152.5)	(63.0, 471489.5)	(64.0, 358918.5)	(65.0, 409439.0)	(66.0, 467294.0)	(67.0, 454586.5)	(68.0, 429495.0)	(69.0, 331866.5)	(70.0, 255031.0)	(71.0, 211971.5)	(72.0, 178005.5)	(73.0, 182892.0)	(74.0, 193539.5)	(75.0, 206804.0)	(76.0, 229972.0)	(77.0, 227331.5)	(78.0, 214619.0)	(79.0, 232098.5)	(80.0, 239113.5)	(81.0, 277222.0)	(82.0, 269253.5)	(83.0, 239974.0)	(84.0, 219044.0)	(85.0, 171407.0)	(86.0, 123769.0)	(87.0, 86016.5)	(88.0, 56205.0)	(89.0, 22085.0)	(90.0, 9599.5)	(91.0, 937.0)	(92.0, 338.5)	(93.0, 239.5)	(94.0, 183.0)	(95.0, 120.5)	(96.0, 84.5)	(97.0, 90.5)	(98.0, 75.0)	(99.0, 38.0)	(100.0, 39.0)
SRR9126934_2_clean	(0.0, 6938.0)	(1.0, 8996.0)	(2.0, 9298.5)	(3.0, 7276.5)	(4.0, 7072.0)	(5.0, 7672.0)	(6.0, 8605.5)	(7.0, 8994.5)	(8.0, 9202.5)	(9.0, 9721.5)	(10.0, 10416.5)	(11.0, 11147.5)	(12.0, 11994.5)	(13.0, 12503.5)	(14.0, 13398.5)	(15.0, 15844.5)	(16.0, 19345.5)	(17.0, 24601.0)	(18.0, 32676.0)	(19.0, 43580.0)	(20.0, 49739.0)	(21.0, 59092.5)	(22.0, 80480.0)	(23.0, 109084.5)	(24.0, 140860.5)	(25.0, 173511.5)	(26.0, 215218.5)	(27.0, 241147.0)	(28.0, 272938.5)	(29.0, 348933.5)	(30.0, 457945.0)	(31.0, 577217.5)	(32.0, 689083.0)	(33.0, 750072.5)	(34.0, 799364.5)	(35.0, 871611.5)	(36.0, 919937.5)	(37.0, 924148.0)	(38.0, 866408.5)	(39.0, 792557.0)	(40.0, 751781.0)	(41.0, 732307.0)	(42.0, 729799.5)	(43.0, 771280.0)	(44.0, 834801.5)	(45.0, 882473.5)	(46.0, 998327.0)	(47.0, 1096918.5)	(48.0, 1094197.5)	(49.0, 1037178.5)	(50.0, 1036909.5)	(51.0, 1078553.5)	(52.0, 1033696.5)	(53.0, 1001139.0)	(54.0, 1011837.0)	(55.0, 991961.0)	(56.0, 910768.5)	(57.0, 807591.5)	(58.0, 756197.0)	(59.0, 696043.0)	(60.0, 634608.0)	(61.0, 612594.5)	(62.0, 578553.0)	(63.0, 474298.5)	(64.0, 360806.5)	(65.0, 406622.0)	(66.0, 462746.0)	(67.0, 451584.5)	(68.0, 425711.0)	(69.0, 330547.5)	(70.0, 255689.0)	(71.0, 211951.5)	(72.0, 178040.5)	(73.0, 182346.5)	(74.0, 192042.0)	(75.0, 203711.0)	(76.0, 226102.5)	(77.0, 222288.5)	(78.0, 209644.0)	(79.0, 226696.0)	(80.0, 232194.5)	(81.0, 272805.5)	(82.0, 266459.0)	(83.0, 232981.5)	(84.0, 210492.5)	(85.0, 163949.5)	(86.0, 118086.5)	(87.0, 82788.0)	(88.0, 54060.0)	(89.0, 21737.0)	(90.0, 9890.0)	(91.0, 1209.0)	(92.0, 684.5)	(93.0, 604.0)	(94.0, 580.5)	(95.0, 581.0)	(96.0, 636.5)	(97.0, 764.5)	(98.0, 1053.5)	(99.0, 2773.0)	(100.0, 4286.0)
SRR9127010_1_clean	(0.0, 2954.0)	(1.0, 3561.5)	(2.0, 3983.0)	(3.0, 3851.0)	(4.0, 4204.5)	(5.0, 4973.5)	(6.0, 5996.0)	(7.0, 6553.0)	(8.0, 7040.0)	(9.0, 8106.0)	(10.0, 9265.0)	(11.0, 10540.5)	(12.0, 12384.5)	(13.0, 13542.0)	(14.0, 14875.0)	(15.0, 18345.0)	(16.0, 23635.0)	(17.0, 31593.0)	(18.0, 43543.5)	(19.0, 59699.5)	(20.0, 68746.5)	(21.0, 81722.5)	(22.0, 110903.5)	(23.0, 147097.0)	(24.0, 191028.5)	(25.0, 242766.0)	(26.0, 304952.5)	(27.0, 343683.0)	(28.0, 398979.0)	(29.0, 533240.0)	(30.0, 738041.5)	(31.0, 957164.0)	(32.0, 1155206.0)	(33.0, 1267229.0)	(34.0, 1341726.5)	(35.0, 1440177.5)	(36.0, 1494830.5)	(37.0, 1466393.0)	(38.0, 1320721.0)	(39.0, 1138046.0)	(40.0, 1034002.5)	(41.0, 965442.5)	(42.0, 900593.0)	(43.0, 897069.0)	(44.0, 923041.0)	(45.0, 935207.0)	(46.0, 994633.5)	(47.0, 1055603.5)	(48.0, 1045093.0)	(49.0, 975822.5)	(50.0, 935435.5)	(51.0, 929689.0)	(52.0, 866425.0)	(53.0, 827132.0)	(54.0, 822299.5)	(55.0, 786054.0)	(56.0, 710321.0)	(57.0, 617236.5)	(58.0, 571638.0)	(59.0, 525495.5)	(60.0, 475952.5)	(61.0, 460413.0)	(62.0, 440264.5)	(63.0, 374501.0)	(64.0, 294725.5)	(65.0, 339250.5)	(66.0, 384636.0)	(67.0, 366792.5)	(68.0, 346284.5)	(69.0, 267052.0)	(70.0, 202023.5)	(71.0, 162218.0)	(72.0, 128045.5)	(73.0, 127351.5)	(74.0, 137048.5)	(75.0, 147319.0)	(76.0, 161832.5)	(77.0, 161706.5)	(78.0, 153707.5)	(79.0, 165427.0)	(80.0, 171035.0)	(81.0, 199035.5)	(82.0, 192633.5)	(83.0, 173165.5)	(84.0, 160223.5)	(85.0, 124125.5)	(86.0, 87875.0)	(87.0, 59814.5)	(88.0, 39535.0)	(89.0, 16092.5)	(90.0, 6951.0)	(91.0, 671.5)	(92.0, 271.0)	(93.0, 184.5)	(94.0, 155.0)	(95.0, 107.0)	(96.0, 83.0)	(97.0, 85.0)	(98.0, 60.0)	(99.0, 40.5)	(100.0, 48.0)
SRR9127010_2_clean	(0.0, 3761.0)	(1.0, 4648.0)	(2.0, 5162.5)	(3.0, 5094.5)	(4.0, 5821.0)	(5.0, 6938.5)	(6.0, 8164.5)	(7.0, 8700.5)	(8.0, 9223.0)	(9.0, 10177.0)	(10.0, 11293.0)	(11.0, 12598.0)	(12.0, 14216.0)	(13.0, 15211.0)	(14.0, 16547.5)	(15.0, 20029.5)	(16.0, 25241.0)	(17.0, 33285.5)	(18.0, 45110.0)	(19.0, 61355.0)	(20.0, 70792.5)	(21.0, 83373.0)	(22.0, 112508.5)	(23.0, 149872.5)	(24.0, 193583.0)	(25.0, 244469.5)	(26.0, 307717.0)	(27.0, 347468.0)	(28.0, 403818.0)	(29.0, 538272.5)	(30.0, 740934.0)	(31.0, 954719.0)	(32.0, 1147165.0)	(33.0, 1257617.0)	(34.0, 1333356.0)	(35.0, 1429981.0)	(36.0, 1482470.0)	(37.0, 1454395.0)	(38.0, 1312739.0)	(39.0, 1134332.0)	(40.0, 1030411.0)	(41.0, 965661.0)	(42.0, 900999.0)	(43.0, 895533.0)	(44.0, 921542.5)	(45.0, 931926.0)	(46.0, 989441.5)	(47.0, 1048862.0)	(48.0, 1039610.0)	(49.0, 975337.0)	(50.0, 941068.5)	(51.0, 934517.0)	(52.0, 869510.0)	(53.0, 831741.0)	(54.0, 829324.0)	(55.0, 794275.5)	(56.0, 717988.0)	(57.0, 625838.5)	(58.0, 577032.0)	(59.0, 527925.0)	(60.0, 478822.0)	(61.0, 462804.5)	(62.0, 441994.5)	(63.0, 375824.0)	(64.0, 296604.5)	(65.0, 337785.5)	(66.0, 382737.0)	(67.0, 368495.5)	(68.0, 346279.0)	(69.0, 267301.5)	(70.0, 203096.0)	(71.0, 162930.0)	(72.0, 130889.0)	(73.0, 131579.0)	(74.0, 138557.5)	(75.0, 145544.5)	(76.0, 159136.0)	(77.0, 157329.5)	(78.0, 148687.5)	(79.0, 160419.0)	(80.0, 165405.5)	(81.0, 194559.0)	(82.0, 189697.5)	(83.0, 167037.0)	(84.0, 152145.5)	(85.0, 118678.0)	(86.0, 85355.0)	(87.0, 59244.5)	(88.0, 38705.0)	(89.0, 15597.0)	(90.0, 7251.5)	(91.0, 1182.0)	(92.0, 799.0)	(93.0, 728.0)	(94.0, 713.5)	(95.0, 734.0)	(96.0, 859.0)	(97.0, 1087.5)	(98.0, 1471.0)	(99.0, 3908.0)	(100.0, 6094.0)
SRR9127157_1_clean	(0.0, 6022.0)	(1.0, 6516.5)	(2.0, 6112.0)	(3.0, 4710.0)	(4.0, 4315.5)	(5.0, 4569.5)	(6.0, 5012.0)	(7.0, 5304.5)	(8.0, 5432.0)	(9.0, 5948.5)	(10.0, 6451.5)	(11.0, 6837.0)	(12.0, 7388.0)	(13.0, 7677.5)	(14.0, 8194.5)	(15.0, 9251.5)	(16.0, 10861.0)	(17.0, 13403.5)	(18.0, 16968.0)	(19.0, 22169.0)	(20.0, 25284.0)	(21.0, 29526.5)	(22.0, 39567.0)	(23.0, 53946.0)	(24.0, 69135.0)	(25.0, 84476.0)	(26.0, 104761.5)	(27.0, 116971.0)	(28.0, 132306.0)	(29.0, 168695.5)	(30.0, 221696.0)	(31.0, 282860.0)	(32.0, 342913.5)	(33.0, 375483.0)	(34.0, 402680.0)	(35.0, 444348.5)	(36.0, 474929.0)	(37.0, 482574.0)	(38.0, 456628.5)	(39.0, 425758.0)	(40.0, 410893.5)	(41.0, 408243.5)	(42.0, 421947.0)	(43.0, 473796.5)	(44.0, 560967.5)	(45.0, 630310.0)	(46.0, 785504.0)	(47.0, 919288.5)	(48.0, 903581.0)	(49.0, 820628.0)	(50.0, 826678.0)	(51.0, 887783.5)	(52.0, 827185.0)	(53.0, 778624.5)	(54.0, 798560.5)	(55.0, 788515.0)	(56.0, 723783.0)	(57.0, 643017.5)	(58.0, 629250.5)	(59.0, 587494.5)	(60.0, 513263.0)	(61.0, 495789.5)	(62.0, 473912.0)	(63.0, 398368.5)	(64.0, 306404.0)	(65.0, 361610.0)	(66.0, 423417.5)	(67.0, 408977.5)	(68.0, 399028.0)	(69.0, 309648.0)	(70.0, 227336.0)	(71.0, 188251.0)	(72.0, 153729.0)	(73.0, 155439.0)	(74.0, 160407.5)	(75.0, 170043.0)	(76.0, 202283.5)	(77.0, 191176.5)	(78.0, 171512.5)	(79.0, 184155.0)	(80.0, 177790.0)	(81.0, 204404.0)	(82.0, 197277.5)	(83.0, 164309.5)	(84.0, 140980.0)	(85.0, 115799.5)	(86.0, 95686.5)	(87.0, 76653.0)	(88.0, 44977.5)	(89.0, 9970.5)	(90.0, 3654.5)	(91.0, 442.5)	(92.0, 170.5)	(93.0, 123.0)	(94.0, 100.0)	(95.0, 61.5)	(96.0, 36.5)	(97.0, 33.0)	(98.0, 34.5)	(99.0, 21.5)	(100.0, 14.0)
SRR9127157_2_clean	(0.0, 7460.0)	(1.0, 8021.5)	(2.0, 7132.5)	(3.0, 5300.5)	(4.0, 4991.5)	(5.0, 5415.0)	(6.0, 6031.5)	(7.0, 6295.5)	(8.0, 6579.5)	(9.0, 7006.0)	(10.0, 7287.5)	(11.0, 7709.5)	(12.0, 8277.5)	(13.0, 8564.0)	(14.0, 9029.5)	(15.0, 9969.5)	(16.0, 11463.5)	(17.0, 13914.0)	(18.0, 17451.0)	(19.0, 22439.0)	(20.0, 25326.5)	(21.0, 29513.5)	(22.0, 39500.0)	(23.0, 53843.5)	(24.0, 69302.5)	(25.0, 84552.5)	(26.0, 104872.0)	(27.0, 117506.0)	(28.0, 132198.0)	(29.0, 168230.5)	(30.0, 221454.0)	(31.0, 282215.0)	(32.0, 341192.0)	(33.0, 373017.0)	(34.0, 401486.0)	(35.0, 444401.5)	(36.0, 473051.0)	(37.0, 478737.5)	(38.0, 454391.5)	(39.0, 425892.0)	(40.0, 411849.5)	(41.0, 408190.5)	(42.0, 420985.5)	(43.0, 473303.5)	(44.0, 556101.0)	(45.0, 619634.5)	(46.0, 765372.0)	(47.0, 890932.5)	(48.0, 879087.5)	(49.0, 811222.5)	(50.0, 833998.5)	(51.0, 895067.0)	(52.0, 825720.5)	(53.0, 773947.5)	(54.0, 792817.5)	(55.0, 789662.0)	(56.0, 732992.0)	(57.0, 651673.5)	(58.0, 635223.0)	(59.0, 588883.5)	(60.0, 512212.0)	(61.0, 497954.0)	(62.0, 477316.0)	(63.0, 399459.5)	(64.0, 306958.0)	(65.0, 360616.0)	(66.0, 422225.5)	(67.0, 408995.0)	(68.0, 399090.0)	(69.0, 310399.0)	(70.0, 227823.0)	(71.0, 190521.0)	(72.0, 160842.5)	(73.0, 164723.0)	(74.0, 165252.0)	(75.0, 169777.0)	(76.0, 203471.0)	(77.0, 192489.5)	(78.0, 172495.5)	(79.0, 186290.5)	(80.0, 179387.0)	(81.0, 206217.5)	(82.0, 198353.5)	(83.0, 161747.0)	(84.0, 138451.0)	(85.0, 115905.5)	(86.0, 98212.5)	(87.0, 81666.0)	(88.0, 47430.0)	(89.0, 10181.5)	(90.0, 3980.5)	(91.0, 597.0)	(92.0, 368.5)	(93.0, 321.0)	(94.0, 315.0)	(95.0, 330.0)	(96.0, 366.5)	(97.0, 428.5)	(98.0, 579.5)	(99.0, 1690.5)	(100.0, 2691.0)
SRR9127293_1_clean	(0.0, 6876.0)	(1.0, 8572.0)	(2.0, 9274.0)	(3.0, 7711.0)	(4.0, 7239.0)	(5.0, 7490.0)	(6.0, 8105.5)	(7.0, 8578.5)	(8.0, 8817.5)	(9.0, 9337.0)	(10.0, 10001.5)	(11.0, 10821.0)	(12.0, 11612.5)	(13.0, 11965.0)	(14.0, 12609.5)	(15.0, 14337.5)	(16.0, 17228.0)	(17.0, 21973.0)	(18.0, 29008.0)	(19.0, 38281.5)	(20.0, 43495.5)	(21.0, 51403.0)	(22.0, 69589.5)	(23.0, 94436.0)	(24.0, 121767.5)	(25.0, 150139.5)	(26.0, 186451.0)	(27.0, 208681.0)	(28.0, 235576.5)	(29.0, 301337.5)	(30.0, 398521.5)	(31.0, 507533.5)	(32.0, 611759.0)	(33.0, 668793.0)	(34.0, 715467.5)	(35.0, 786217.5)	(36.0, 836912.5)	(37.0, 849888.5)	(38.0, 806525.0)	(39.0, 748699.5)	(40.0, 718081.0)	(41.0, 706931.5)	(42.0, 723410.0)	(43.0, 787376.0)	(44.0, 879523.0)	(45.0, 949901.5)	(46.0, 1074710.0)	(47.0, 1177493.5)	(48.0, 1193247.0)	(49.0, 1164099.0)	(50.0, 1179822.5)	(51.0, 1229596.0)	(52.0, 1171072.5)	(53.0, 1123335.0)	(54.0, 1140915.0)	(55.0, 1135882.5)	(56.0, 1053224.0)	(57.0, 942848.0)	(58.0, 891613.0)	(59.0, 813775.5)	(60.0, 736543.0)	(61.0, 712131.5)	(62.0, 650264.5)	(63.0, 518629.5)	(64.0, 389150.5)	(65.0, 401799.5)	(66.0, 436412.5)	(67.0, 422750.0)	(68.0, 386310.0)	(69.0, 295598.5)	(70.0, 242670.0)	(71.0, 205859.0)	(72.0, 169620.5)	(73.0, 171545.5)	(74.0, 179062.5)	(75.0, 183758.0)	(76.0, 201079.5)	(77.0, 187434.0)	(78.0, 174514.0)	(79.0, 174126.0)	(80.0, 152836.0)	(81.0, 167894.5)	(82.0, 163427.0)	(83.0, 135817.0)	(84.0, 105967.5)	(85.0, 82792.5)	(86.0, 65010.5)	(87.0, 48621.0)	(88.0, 29121.0)	(89.0, 7303.5)	(90.0, 2814.0)	(91.0, 438.0)	(92.0, 178.5)	(93.0, 130.0)	(94.0, 107.5)	(95.0, 67.0)	(96.0, 41.5)	(97.0, 34.5)	(98.0, 21.5)	(99.0, 13.0)	(100.0, 15.0)
SRR9127293_2_clean	(0.0, 8026.0)	(1.0, 9889.5)	(2.0, 10468.0)	(3.0, 8796.5)	(4.0, 8573.0)	(5.0, 9155.5)	(6.0, 9897.0)	(7.0, 10233.0)	(8.0, 10608.5)	(9.0, 11133.5)	(10.0, 11550.5)	(11.0, 12189.5)	(12.0, 12803.5)	(13.0, 13034.5)	(14.0, 13810.5)	(15.0, 15591.5)	(16.0, 18451.0)	(17.0, 23067.0)	(18.0, 29835.0)	(19.0, 39802.0)	(20.0, 45783.0)	(21.0, 53738.0)	(22.0, 71835.0)	(23.0, 96244.5)	(24.0, 123472.0)	(25.0, 151753.5)	(26.0, 188693.5)	(27.0, 211765.5)	(28.0, 238640.5)	(29.0, 304410.0)	(30.0, 400983.5)	(31.0, 507139.0)	(32.0, 609034.5)	(33.0, 665641.5)	(34.0, 713012.0)	(35.0, 782543.0)	(36.0, 830993.0)	(37.0, 843183.5)	(38.0, 801519.5)	(39.0, 748379.5)	(40.0, 719538.0)	(41.0, 707320.0)	(42.0, 724143.5)	(43.0, 787423.5)	(44.0, 876043.0)	(45.0, 945715.5)	(46.0, 1071002.0)	(47.0, 1173188.0)	(48.0, 1186495.5)	(49.0, 1160943.0)	(50.0, 1185437.5)	(51.0, 1234366.5)	(52.0, 1172008.0)	(53.0, 1124021.5)	(54.0, 1143185.0)	(55.0, 1138114.0)	(56.0, 1058080.5)	(57.0, 950948.0)	(58.0, 893910.0)	(59.0, 816086.5)	(60.0, 743636.5)	(61.0, 716100.5)	(62.0, 653591.0)	(63.0, 525277.0)	(64.0, 395603.5)	(65.0, 402378.0)	(66.0, 432700.5)	(67.0, 419489.5)	(68.0, 383387.5)	(69.0, 295544.5)	(70.0, 242534.0)	(71.0, 205513.0)	(72.0, 170821.0)	(73.0, 171921.0)	(74.0, 176894.5)	(75.0, 179406.5)	(76.0, 196044.5)	(77.0, 181872.5)	(78.0, 168948.0)	(79.0, 169168.0)	(80.0, 148978.0)	(81.0, 162772.0)	(82.0, 157594.5)	(83.0, 129842.5)	(84.0, 100658.5)	(85.0, 79126.0)	(86.0, 62685.5)	(87.0, 47310.0)	(88.0, 28707.5)	(89.0, 7862.5)	(90.0, 3386.0)	(91.0, 960.0)	(92.0, 720.5)	(93.0, 697.5)	(94.0, 689.0)	(95.0, 695.0)	(96.0, 747.5)	(97.0, 910.0)	(98.0, 1194.5)	(99.0, 2927.5)	(100.0, 4497.0)
