Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR9126859_1_clean	(12.0, 9.0)	(13.0, 63.0)	(14.0, 211.0)	(15.0, 389.0)	(16.0, 689.0)	(17.0, 1142.0)	(18.0, 1916.0)	(19.0, 3157.0)	(20.0, 5400.0)	(21.0, 9597.0)	(22.0, 15404.0)	(23.0, 24711.0)	(24.0, 34746.0)	(25.0, 50365.0)	(26.0, 63383.0)	(27.0, 87149.0)	(28.0, 113812.0)	(29.0, 159793.0)	(30.0, 210845.0)	(31.0, 307538.0)	(32.0, 409044.0)	(33.0, 619606.0)	(34.0, 1022336.0)	(35.0, 2294704.0)	(36.0, 11720295.0)	(37.0, 6286296.0)	
SRR9126859_2_clean	(11.0, 220.0)	(12.0, 414.0)	(13.0, 505.0)	(14.0, 700.0)	(15.0, 1078.0)	(16.0, 1786.0)	(17.0, 3120.0)	(18.0, 5860.0)	(19.0, 10163.0)	(20.0, 17002.0)	(21.0, 26995.0)	(22.0, 39094.0)	(23.0, 56266.0)	(24.0, 72348.0)	(25.0, 93036.0)	(26.0, 108599.0)	(27.0, 131848.0)	(28.0, 156123.0)	(29.0, 200664.0)	(30.0, 246592.0)	(31.0, 346252.0)	(32.0, 460286.0)	(33.0, 719492.0)	(34.0, 1255843.0)	(35.0, 3056628.0)	(36.0, 12246130.0)	(37.0, 4185556.0)
SRR9126934_1_clean	(11.0, 2.0)	(12.0, 12.0)	(13.0, 50.0)	(14.0, 156.0)	(15.0, 323.0)	(16.0, 598.0)	(17.0, 989.0)	(18.0, 1676.0)	(19.0, 3162.0)	(20.0, 5704.0)	(21.0, 10417.0)	(22.0, 16715.0)	(23.0, 27867.0)	(24.0, 41179.0)	(25.0, 61199.0)	(26.0, 78500.0)	(27.0, 106238.0)	(28.0, 135039.0)	(29.0, 188015.0)	(30.0, 249226.0)	(31.0, 366142.0)	(32.0, 487278.0)	(33.0, 747622.0)	(34.0, 1240331.0)	(35.0, 2824334.0)	(36.0, 15632308.0)	(37.0, 8452533.0)
SRR9126934_2_clean	(11.0, 348.0)	(12.0, 629.0)	(13.0, 686.0)	(14.0, 880.0)	(15.0, 1160.0)	(16.0, 1873.0)	(17.0, 3222.0)	(18.0, 5803.0)	(19.0, 10556.0)	(20.0, 17944.0)	(21.0, 29925.0)	(22.0, 44056.0)	(23.0, 65732.0)	(24.0, 87582.0)	(25.0, 113285.0)	(26.0, 131018.0)	(27.0, 158117.0)	(28.0, 184440.0)	(29.0, 235623.0)	(30.0, 292799.0)	(31.0, 418615.0)	(32.0, 554920.0)	(33.0, 860084.0)	(34.0, 1528884.0)	(35.0, 3835984.0)	(36.0, 16440078.0)	(37.0, 5653372.0)
SRR9127010_1_clean	(12.0, 6.0)	(13.0, 74.0)	(14.0, 235.0)	(15.0, 472.0)	(16.0, 841.0)	(17.0, 1392.0)	(18.0, 2221.0)	(19.0, 4011.0)	(20.0, 6869.0)	(21.0, 12450.0)	(22.0, 20773.0)	(23.0, 34210.0)	(24.0, 49847.0)	(25.0, 73680.0)	(26.0, 91622.0)	(27.0, 121496.0)	(28.0, 151005.0)	(29.0, 209017.0)	(30.0, 271754.0)	(31.0, 395964.0)	(32.0, 525710.0)	(33.0, 800886.0)	(34.0, 1347006.0)	(35.0, 3207136.0)	(36.0, 17124838.0)	(37.0, 8139244.0)	
SRR9127010_2_clean	(11.0, 465.0)	(12.0, 723.0)	(13.0, 914.0)	(14.0, 1193.0)	(15.0, 1536.0)	(16.0, 2289.0)	(17.0, 4027.0)	(18.0, 7191.0)	(19.0, 12814.0)	(20.0, 21354.0)	(21.0, 34569.0)	(22.0, 51167.0)	(23.0, 77007.0)	(24.0, 101729.0)	(25.0, 133070.0)	(26.0, 152388.0)	(27.0, 182695.0)	(28.0, 212809.0)	(29.0, 269187.0)	(30.0, 332324.0)	(31.0, 469713.0)	(32.0, 625394.0)	(33.0, 971988.0)	(34.0, 1760300.0)	(35.0, 4541597.0)	(36.0, 17478256.0)	(37.0, 5146060.0)
SRR9127157_1_clean	(12.0, 6.0)	(13.0, 41.0)	(14.0, 125.0)	(15.0, 231.0)	(16.0, 461.0)	(17.0, 747.0)	(18.0, 1206.0)	(19.0, 2209.0)	(20.0, 4091.0)	(21.0, 7370.0)	(22.0, 12447.0)	(23.0, 21229.0)	(24.0, 31630.0)	(25.0, 47419.0)	(26.0, 60764.0)	(27.0, 81994.0)	(28.0, 103465.0)	(29.0, 143071.0)	(30.0, 187363.0)	(31.0, 272606.0)	(32.0, 356330.0)	(33.0, 535608.0)	(34.0, 872284.0)	(35.0, 1928361.0)	(36.0, 10904940.0)	(37.0, 6196223.0)	
SRR9127157_2_clean	(11.0, 212.0)	(12.0, 414.0)	(13.0, 505.0)	(14.0, 656.0)	(15.0, 731.0)	(16.0, 972.0)	(17.0, 1621.0)	(18.0, 2783.0)	(19.0, 5404.0)	(20.0, 9829.0)	(21.0, 16980.0)	(22.0, 26499.0)	(23.0, 40869.0)	(24.0, 55220.0)	(25.0, 72401.0)	(26.0, 81808.0)	(27.0, 96075.0)	(28.0, 107961.0)	(29.0, 137867.0)	(30.0, 171221.0)	(31.0, 245817.0)	(32.0, 328170.0)	(33.0, 513819.0)	(34.0, 926953.0)	(35.0, 2423989.0)	(36.0, 11987306.0)	(37.0, 4516139.0)
SRR9127293_1_clean	(12.0, 5.0)	(13.0, 35.0)	(14.0, 89.0)	(15.0, 218.0)	(16.0, 416.0)	(17.0, 742.0)	(18.0, 1384.0)	(19.0, 2802.0)	(20.0, 5300.0)	(21.0, 9638.0)	(22.0, 16778.0)	(23.0, 28648.0)	(24.0, 42869.0)	(25.0, 64355.0)	(26.0, 83797.0)	(27.0, 114084.0)	(28.0, 147511.0)	(29.0, 209778.0)	(30.0, 281442.0)	(31.0, 419433.0)	(32.0, 564010.0)	(33.0, 867898.0)	(34.0, 1453440.0)	(35.0, 3308885.0)	(36.0, 15866524.0)	(37.0, 7317371.0)	
SRR9127293_2_clean	(11.0, 299.0)	(12.0, 538.0)	(13.0, 657.0)	(14.0, 829.0)	(15.0, 1123.0)	(16.0, 1871.0)	(17.0, 3264.0)	(18.0, 6456.0)	(19.0, 11936.0)	(20.0, 21086.0)	(21.0, 35104.0)	(22.0, 53881.0)	(23.0, 80638.0)	(24.0, 110140.0)	(25.0, 143186.0)	(26.0, 169688.0)	(27.0, 208500.0)	(28.0, 250276.0)	(29.0, 333574.0)	(30.0, 419612.0)	(31.0, 610173.0)	(32.0, 815054.0)	(33.0, 1271608.0)	(34.0, 2258586.0)	(35.0, 5297959.0)	(36.0, 15328408.0)	(37.0, 3373006.0)
