Sample	Unique Reads	Duplicate Reads
SRR9126859_1_clean	10115085.0	13327515.0
SRR9126859_2_clean	10404948.0	13037652.0
SRR9126934_1_clean	8674472.0	22003143.0
SRR9126934_2_clean	9167289.0	21510326.0
SRR9127010_1_clean	10266440.0	22326319.0
SRR9127010_2_clean	10873758.0	21719001.0
SRR9127157_1_clean	5610286.0	16161935.0
SRR9127157_2_clean	5803712.0	15968509.0
SRR9127293_1_clean	9823902.0	20983550.0
SRR9127293_2_clean	10754134.0	20053318.0
SRR9127296_1_clean	2403685.0	2675655.0
SRR9127296_2_clean	2445267.0	2634073.0
SRR9127369_1_clean	6294345.0	15766258.0
SRR9127369_2_clean	6529854.0	15530749.0
SRR9127396_1_clean	14256026.0	18669781.0
SRR9127396_2_clean	15678350.0	17247457.0
