Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9126859_1_clean	(1.0, 29.327861198578752)	(2.0, 18.01605932971829)	(3.0, 8.605949380199334)	(4.0, 3.659403881511157)	(5.0, 1.6777171041385868)	(6.0, 0.917733200690069)	(7.0, 0.6146421755344581)	(8.0, 0.49284438964351973)	(9.0, 0.4113884327377996)	('>10', 5.256256788288317)	('>50', 2.1734967848796867)	('>100', 6.4541491140534575)	('>500', 4.050101350300145)	('>1k', 11.243732239555696)	('>5k', 3.8515946998322024)	('>10k+', 3.247069930338568)
SRR9126859_2_clean	(1.0, 31.087543121297028)	(2.0, 17.29319735076849)	(3.0, 8.270337633485376)	(4.0, 3.5486137726023577)	(5.0, 1.5629155076036567)	(6.0, 0.9004404265635731)	(7.0, 0.6410543399002799)	(8.0, 0.49365336458574094)	(9.0, 0.3812545555447503)	('>10', 5.274845177073646)	('>50', 2.1781708162496556)	('>100', 6.426981064604048)	('>500', 4.05169547586664)	('>1k', 11.033715768600521)	('>5k', 3.805228251643708)	('>10k+', 3.050353373610451)
SRR9126934_1_clean	(1.0, 14.833799201037875)	(2.0, 13.083036453314486)	(3.0, 9.930831783638904)	(4.0, 6.517329594736498)	(5.0, 3.9745452790341647)	(6.0, 2.2612950139539496)	(7.0, 1.337989778920668)	(8.0, 0.9286498870169135)	(9.0, 0.6723911274485681)	('>10', 5.991093118659767)	('>50', 2.311321005227065)	('>100', 6.642831202914835)	('>500', 4.443838121117539)	('>1k', 15.36623147341121)	('>5k', 5.884176609743317)	('>10k+', 5.820640349824234)
SRR9126934_2_clean	(1.0, 16.709358492886423)	(2.0, 12.90773160493807)	(3.0, 9.708704494173231)	(4.0, 6.361269683954508)	(5.0, 3.717909660764436)	(6.0, 2.22566972958338)	(7.0, 1.3283322661726882)	(8.0, 0.8975086279597823)	(9.0, 0.6493544524989612)	('>10', 5.978789585815254)	('>50', 2.219945621034324)	('>100', 6.397787581937366)	('>500', 4.459632159914854)	('>1k', 15.091734716760987)	('>5k', 5.740913479298211)	('>10k+', 5.605357842307571)
SRR9127010_1_clean	(1.0, 16.191849057124756)	(2.0, 14.525800561693833)	(3.0, 11.934918350044093)	(4.0, 7.834426848289206)	(5.0, 4.6952867091191735)	(6.0, 2.6032100805421607)	(7.0, 1.4981986754560004)	(8.0, 0.8362181663168229)	(9.0, 0.5667921013589283)	('>10', 5.131607241648751)	('>50', 2.383246100772396)	('>100', 7.3999969880755785)	('>500', 4.3233487219740505)	('>1k', 12.038639906664834)	('>5k', 4.286591720590494)	('>10k+', 3.74986877032884)
SRR9127010_2_clean	(1.0, 18.46359506387028)	(2.0, 14.199935178135473)	(3.0, 11.534309800538452)	(4.0, 7.700230857486481)	(5.0, 4.482620902269176)	(6.0, 2.5401710293646893)	(7.0, 1.378033537805491)	(8.0, 0.8638552880729049)	(9.0, 0.5566162041721062)	('>10', 5.038991218281346)	('>50', 2.2429630896302943)	('>100', 7.135342731209617)	('>500', 4.305108863478591)	('>1k', 11.90485974551999)	('>5k', 4.112352854313598)	('>10k+', 3.541013635851579)
SRR9127157_1_clean	(1.0, 14.853541517639368)	(2.0, 11.591933130835125)	(3.0, 7.9342505245532475)	(4.0, 4.647425089595791)	(5.0, 2.569745389390856)	(6.0, 1.384202246464574)	(7.0, 0.8317139593260714)	(8.0, 0.5797842639233644)	(9.0, 0.4094737019147065)	('>10', 4.550142090354108)	('>50', 2.339772540543205)	('>100', 8.59215756655121)	('>500', 5.742637212358849)	('>1k', 18.104144160804793)	('>5k', 7.484448060185721)	('>10k+', 8.384628545558872)
SRR9127157_2_clean	(1.0, 15.869527504435801)	(2.0, 11.48010040189039)	(3.0, 7.847111451785589)	(4.0, 4.595416316018965)	(5.0, 2.503211275883833)	(6.0, 1.347935820949465)	(7.0, 0.7866148914600894)	(8.0, 0.5535098659093116)	(9.0, 0.4306668891750582)	('>10', 4.5643249217081765)	('>50', 2.3431782505585894)	('>100', 8.423715047566084)	('>500', 5.634063266494826)	('>1k', 18.314340460605365)	('>5k', 7.390036242876508)	('>10k+', 7.916247392681912)
SRR9127293_1_clean	(1.0, 18.340291356479486)	(2.0, 14.127298613418263)	(3.0, 9.365416001793381)	(4.0, 5.516832272304599)	(5.0, 3.1818020972183954)	(6.0, 2.0738051662332593)	(7.0, 1.449017331748047)	(8.0, 1.0999854565249485)	(9.0, 0.8764210133679528)	('>10', 8.609481139589198)	('>50', 2.4421627562690196)	('>100', 6.332056987883872)	('>500', 3.8619447030763476)	('>1k', 12.781746468614449)	('>5k', 5.4171739809574015)	('>10k+', 4.5245646545215195)
SRR9127293_2_clean	(1.0, 21.898501234372613)	(2.0, 13.827322920954266)	(3.0, 8.835724493008415)	(4.0, 5.161864630764847)	(5.0, 2.990528024394075)	(6.0, 1.9554975698972201)	(7.0, 1.3305725284034982)	(8.0, 1.0526598671239835)	(9.0, 0.8020019412540205)	('>10', 8.131963097149358)	('>50', 2.4163653556717604)	('>100', 6.06789628516541)	('>500', 3.718565956772034)	('>1k', 12.542850247457448)	('>5k', 5.1223153723028085)	('>10k+', 4.145370475308415)
SRR9127296_1_clean	(1.0, 39.0631548069779)	(2.0, 11.641187179733182)	(3.0, 3.4583660259363533)	(4.0, 1.4096733036972031)	(5.0, 0.8703529307068527)	(6.0, 0.6501409675440263)	(7.0, 0.5315070056842843)	(8.0, 0.4533171577690853)	(9.0, 0.35597932657377795)	('>10', 7.082433426897156)	('>50', 4.470520487785482)	('>100', 13.900053418381841)	('>500', 6.647916994783305)	('>1k', 8.066161912983864)	('>5k', 1.3992350545456858)	('>10k+', 0.0)
