Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR9126859_1_clean	(46, 43774.0)	(47, 49854.0)	(48, 34834.0)	(49, 46460.0)	(50, 46222.0)	(51, 45061.0)	(52, 65150.0)	(53, 58853.0)	(54, 50774.0)	(55, 51584.0)	(56, 39634.0)	(57, 41443.0)	(58, 38937.0)	(59, 41526.0)	(60, 42946.0)	(61, 46860.0)	(62, 36585.0)	(63, 46646.0)	(64, 35520.0)	(65, 39514.0)	(66, 39611.0)	(67, 41457.0)	(68, 37780.0)	(69, 33180.0)	(70, 35582.0)	(71, 35584.0)	(72, 35000.0)	(73, 36167.0)	(74, 37822.0)	(75, 40188.0)	(76, 37212.0)	(77, 36000.0)	(78, 34413.0)	(79, 34090.0)	(80, 34422.0)	(81, 39398.0)	(82, 44437.0)	(83, 41211.0)	(84, 42246.0)	(85, 21824623.0)
SRR9126859_2_clean	(46, 43774.0)	(47, 49854.0)	(48, 34834.0)	(49, 46460.0)	(50, 46222.0)	(51, 45061.0)	(52, 65150.0)	(53, 58853.0)	(54, 50774.0)	(55, 51584.0)	(56, 39634.0)	(57, 41443.0)	(58, 38937.0)	(59, 41526.0)	(60, 42946.0)	(61, 46860.0)	(62, 36585.0)	(63, 46646.0)	(64, 35520.0)	(65, 39514.0)	(66, 39611.0)	(67, 41457.0)	(68, 37780.0)	(69, 33180.0)	(70, 35582.0)	(71, 35584.0)	(72, 35000.0)	(73, 36167.0)	(74, 37822.0)	(75, 40188.0)	(76, 37212.0)	(77, 36000.0)	(78, 34413.0)	(79, 34090.0)	(80, 34422.0)	(81, 39398.0)	(82, 44437.0)	(83, 41211.0)	(84, 42246.0)	(85, 21824623.0)
SRR9126934_1_clean	(46, 17618.0)	(47, 19694.0)	(48, 13315.0)	(49, 17381.0)	(50, 17954.0)	(51, 16903.0)	(52, 26073.0)	(53, 21825.0)	(54, 19344.0)	(55, 18236.0)	(56, 14051.0)	(57, 14076.0)	(58, 13622.0)	(59, 14851.0)	(60, 14989.0)	(61, 15910.0)	(62, 11400.0)	(63, 14799.0)	(64, 10394.0)	(65, 12120.0)	(66, 11894.0)	(67, 11879.0)	(68, 11165.0)	(69, 9234.0)	(70, 8941.0)	(71, 8743.0)	(72, 8777.0)	(73, 9634.0)	(74, 9976.0)	(75, 10455.0)	(76, 9178.0)	(77, 9012.0)	(78, 8171.0)	(79, 7915.0)	(80, 8150.0)	(81, 9204.0)	(82, 10728.0)	(83, 9471.0)	(84, 10088.0)	(85, 30170445.0)
SRR9126934_2_clean	(46, 17618.0)	(47, 19694.0)	(48, 13315.0)	(49, 17381.0)	(50, 17954.0)	(51, 16903.0)	(52, 26073.0)	(53, 21825.0)	(54, 19344.0)	(55, 18236.0)	(56, 14051.0)	(57, 14076.0)	(58, 13622.0)	(59, 14851.0)	(60, 14989.0)	(61, 15910.0)	(62, 11400.0)	(63, 14799.0)	(64, 10394.0)	(65, 12120.0)	(66, 11894.0)	(67, 11879.0)	(68, 11165.0)	(69, 9234.0)	(70, 8941.0)	(71, 8743.0)	(72, 8777.0)	(73, 9634.0)	(74, 9976.0)	(75, 10455.0)	(76, 9178.0)	(77, 9012.0)	(78, 8171.0)	(79, 7915.0)	(80, 8150.0)	(81, 9204.0)	(82, 10728.0)	(83, 9471.0)	(84, 10088.0)	(85, 30170445.0)
SRR9127010_1_clean	(46, 37620.0)	(47, 42795.0)	(48, 27472.0)	(49, 35174.0)	(50, 38249.0)	(51, 36517.0)	(52, 58083.0)	(53, 51726.0)	(54, 42388.0)	(55, 43405.0)	(56, 28160.0)	(57, 30114.0)	(58, 27802.0)	(59, 29646.0)	(60, 30404.0)	(61, 34970.0)	(62, 21633.0)	(63, 33983.0)	(64, 20018.0)	(65, 26429.0)	(66, 24220.0)	(67, 24796.0)	(68, 21990.0)	(69, 17487.0)	(70, 16884.0)	(71, 17631.0)	(72, 15557.0)	(73, 18435.0)	(74, 17786.0)	(75, 21062.0)	(76, 17234.0)	(77, 17345.0)	(78, 15068.0)	(79, 14392.0)	(80, 15005.0)	(81, 16881.0)	(82, 22441.0)	(83, 17473.0)	(84, 19188.0)	(85, 31545296.0)
SRR9127010_2_clean	(46, 37620.0)	(47, 42795.0)	(48, 27472.0)	(49, 35174.0)	(50, 38249.0)	(51, 36517.0)	(52, 58083.0)	(53, 51726.0)	(54, 42388.0)	(55, 43405.0)	(56, 28160.0)	(57, 30114.0)	(58, 27802.0)	(59, 29646.0)	(60, 30404.0)	(61, 34970.0)	(62, 21633.0)	(63, 33983.0)	(64, 20018.0)	(65, 26429.0)	(66, 24220.0)	(67, 24796.0)	(68, 21990.0)	(69, 17487.0)	(70, 16884.0)	(71, 17631.0)	(72, 15557.0)	(73, 18435.0)	(74, 17786.0)	(75, 21062.0)	(76, 17234.0)	(77, 17345.0)	(78, 15068.0)	(79, 14392.0)	(80, 15005.0)	(81, 16881.0)	(82, 22441.0)	(83, 17473.0)	(84, 19188.0)	(85, 31545296.0)
SRR9127157_1_clean	(46, 8558.0)	(47, 9281.0)	(48, 6716.0)	(49, 8455.0)	(50, 8713.0)	(51, 7966.0)	(52, 12002.0)	(53, 9976.0)	(54, 9264.0)	(55, 8254.0)	(56, 6748.0)	(57, 6637.0)	(58, 6596.0)	(59, 6870.0)	(60, 7435.0)	(61, 7442.0)	(62, 5430.0)	(63, 6976.0)	(64, 5168.0)	(65, 5814.0)	(66, 5861.0)	(67, 5688.0)	(68, 5538.0)	(69, 4520.0)	(70, 4828.0)	(71, 4612.0)	(72, 4508.0)	(73, 4978.0)	(74, 4930.0)	(75, 5283.0)	(76, 4608.0)	(77, 4587.0)	(78, 4702.0)	(79, 4406.0)	(80, 4293.0)	(81, 4754.0)	(82, 5514.0)	(83, 5113.0)	(84, 5487.0)	(85, 21523710.0)
SRR9127157_2_clean	(46, 8558.0)	(47, 9281.0)	(48, 6716.0)	(49, 8455.0)	(50, 8713.0)	(51, 7966.0)	(52, 12002.0)	(53, 9976.0)	(54, 9264.0)	(55, 8254.0)	(56, 6748.0)	(57, 6637.0)	(58, 6596.0)	(59, 6870.0)	(60, 7435.0)	(61, 7442.0)	(62, 5430.0)	(63, 6976.0)	(64, 5168.0)	(65, 5814.0)	(66, 5861.0)	(67, 5688.0)	(68, 5538.0)	(69, 4520.0)	(70, 4828.0)	(71, 4612.0)	(72, 4508.0)	(73, 4978.0)	(74, 4930.0)	(75, 5283.0)	(76, 4608.0)	(77, 4587.0)	(78, 4702.0)	(79, 4406.0)	(80, 4293.0)	(81, 4754.0)	(82, 5514.0)	(83, 5113.0)	(84, 5487.0)	(85, 21523710.0)
SRR9127293_1_clean	(46, 17372.0)	(47, 18552.0)	(48, 13210.0)	(49, 16409.0)	(50, 17113.0)	(51, 16368.0)	(52, 23952.0)	(53, 20843.0)	(54, 17585.0)	(55, 17501.0)	(56, 13421.0)	(57, 13612.0)	(58, 13235.0)	(59, 14090.0)	(60, 14303.0)	(61, 14957.0)	(62, 10914.0)	(63, 14485.0)	(64, 10253.0)	(65, 11632.0)	(66, 11808.0)	(67, 11506.0)	(68, 10722.0)	(69, 8727.0)	(70, 8803.0)	(71, 8792.0)	(72, 8762.0)	(73, 9808.0)	(74, 9517.0)	(75, 10519.0)	(76, 8758.0)	(77, 8951.0)	(78, 8334.0)	(79, 8004.0)	(80, 8291.0)	(81, 8968.0)	(82, 10848.0)	(83, 9578.0)	(84, 10035.0)	(85, 30316914.0)
SRR9127293_2_clean	(46, 17372.0)	(47, 18552.0)	(48, 13210.0)	(49, 16409.0)	(50, 17113.0)	(51, 16368.0)	(52, 23952.0)	(53, 20843.0)	(54, 17585.0)	(55, 17501.0)	(56, 13421.0)	(57, 13612.0)	(58, 13235.0)	(59, 14090.0)	(60, 14303.0)	(61, 14957.0)	(62, 10914.0)	(63, 14485.0)	(64, 10253.0)	(65, 11632.0)	(66, 11808.0)	(67, 11506.0)	(68, 10722.0)	(69, 8727.0)	(70, 8803.0)	(71, 8792.0)	(72, 8762.0)	(73, 9808.0)	(74, 9517.0)	(75, 10519.0)	(76, 8758.0)	(77, 8951.0)	(78, 8334.0)	(79, 8004.0)	(80, 8291.0)	(81, 8968.0)	(82, 10848.0)	(83, 9578.0)	(84, 10035.0)	(85, 30316914.0)
