Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9126859_1_clean	56.85169452955927	45.0	83.55061260269765	85	20.0	23.4426
SRR9126859_2_clean	55.61521513081396	45.0	83.55061260269765	85	20.0	23.4426
SRR9126934_1_clean	71.72377376301381	50.0	84.61864480012544	85	10.0	30.677615
SRR9126934_2_clean	70.11733561520029	50.0	84.61864480012544	85	10.0	30.677615
SRR9127010_1_clean	68.50085848737852	46.0	84.24035225124697	85	20.0	32.592759
SRR9127010_2_clean	66.63750648536328	46.0	84.24035225124697	85	20.0	32.592759
SRR9127157_1_clean	74.23191140172443	52.0	84.7416911669232	85	20.0	21.772221
SRR9127157_2_clean	73.34350129325975	52.0	84.7416911669232	85	10.0	21.772221
SRR9127293_1_clean	68.11193039413115	49.0	84.6358331743891	85	10.0	30.807451999999998
SRR9127293_2_clean	65.09242753039712	49.0	84.6358331743891	85	10.0	30.807451999999998
SRR9127296_1_clean	52.67722972283631	51.0	84.67732382553639	85	10.0	5.07934
SRR9127296_2_clean	51.858583328645494	51.0	84.67732382553639	85	10.0	5.07934
SRR9127369_1_clean	71.46793909103181	53.0	84.02048769927096	85	10.0	22.060603
SRR9127369_2_clean	70.40038403630646	53.0	84.02048769927096	85	10.0	22.060603
SRR9127396_1_clean	56.702578541996765	44.0	84.41167139806171	85	20.0	32.925807
SRR9127396_2_clean	52.38279300172606	44.0	84.41167139806171	85	20.0	32.925807
