.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR9126859_1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR9126859_2	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR9126934_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9126934_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127010_1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR9127010_2	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR9127157_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127157_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127293_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127293_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127296_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127296_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127369_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127369_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR9127396_1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR9127396_2	1	1	1	0.25	0.25	1	1	0.25	1	1
