Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1	(1, 0.022186105636746778)	(2, 0.0040695144736505335)	(3, 0.0012626585788265807)	(4, 0.014767986486140616)	(5, 0.00026874152184484654)	(6, 0.0022053867745045344)	(7, 2.5594430651890148e-05)	(8, 0.0)	(9, 0.0)	(10, 1.493008454693592e-05)	(12, 0.0)	(14, 6.398607662972537e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00015356658391134088)	(24, 0.00017916101456323105)	(26, 3.1993038314862686e-05)	(28, 4.265738441981691e-06)	(30, 2.3461561430899303e-05)	(32, 2.1328692209908457e-06)	(34, 0.0)	(36, 2.1328692209908457e-06)	(38, 0.00021328692209908457)	(40, 0.0020774146212450837)	(42, 2.5594430651890148e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 2.1328692209908455e-05)	(52, 0.0009875184493187616)	(54, 2.1328692209908457e-06)	(56, 2.1328692209908457e-06)	(58, 1.2797215325945074e-05)	(60, 0.0)	(62, 1.493008454693592e-05)	(64, 0.0048821376468480455)	(66, 0.0)	(68, 0.0005993362510984277)	(70, 2.1328692209908457e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 8.531476883963383e-06)	(80, 2.1328692209908455e-05)	(82, 7.038468429269791e-05)	(84, 0.001326644655456306)	(86, 8.531476883963383e-06)	(88, 0.0)	(90, 0.0014012950781909857)	(92, 0.0)	(94, 4.265738441981691e-06)	(96, 0.0023290931893220038)	(98, 0.00024527996041394726)	(100, 0.0034808425686570603)
SRR9126859_2	(1, 0.05632481038792625)	(2, 0.014042810951003726)	(3, 4.265738441981691e-06)	(4, 2.5594430651890148e-05)	(5, 2.5594430651890148e-05)	(6, 0.0006185320740873453)	(7, 7.678329195567044e-05)	(8, 2.5594430651890148e-05)	(9, 0.0007465042273467961)	(10, 0.0019153165604497795)	(12, 5.5454599745761986e-05)	(14, 3.839164597783522e-05)	(16, 2.1328692209908457e-06)	(18, 0.0021200720056649006)	(20, 0.0006313292894132903)	(22, 3.412590753585353e-05)	(24, 0.0004180423673142057)	(26, 8.744763806062467e-05)	(28, 0.00043937105952411424)	(30, 0.002130736351769855)	(32, 0.0)	(34, 0.0018129388378422188)	(36, 0.00021328692209908457)	(38, 0.0)	(40, 8.104903039765214e-05)	(42, 0.00037111924445240715)	(44, 0.0027108767798793647)	(46, 0.0019984984600684226)	(48, 1.2797215325945074e-05)	(50, 0.0011965396329758644)	(52, 0.002284302935681196)	(54, 0.00015143371469035006)	(56, 9.171337650260638e-05)	(58, 1.2797215325945074e-05)	(60, 1.7062953767926765e-05)	(62, 0.00014290223780638665)	(64, 0.00010237772260756059)	(66, 8.744763806062467e-05)	(68, 2.1328692209908457e-06)	(70, 0.0003988465443252882)	(72, 0.001439686724168821)	(74, 0.00098325271087678)	(76, 0.00022608413742502965)	(78, 0.00018769249144719443)	(80, 5.1188861303780296e-05)	(82, 2.7727299872880993e-05)	(84, 0.00021115405287809374)	(86, 0.0007166440582529242)	(88, 0.0008808749882692192)	(90, 0.0)	(92, 0.00012583928403845992)	(94, 2.5594430651890148e-05)	(96, 0.0006249306817503179)	(98, 0.0021904566899575988)	(100, 0.001574057485091244)
SRR9126934_1	(1, 0.021882405134818986)	(2, 0.004110489032475308)	(3, 0.0011343776235538518)	(4, 0.01492293322019981)	(5, 0.00022165999540707453)	(6, 0.0024024031855149107)	(7, 4.889558722214879e-05)	(8, 0.0)	(9, 0.0)	(10, 2.6077646518479355e-05)	(12, 0.0)	(14, 4.889558722214879e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0002102510250552398)	(24, 0.00016461514364790093)	(26, 5.215529303695871e-05)	(28, 9.779117444429759e-06)	(30, 2.6077646518479355e-05)	(32, 8.149264537024799e-06)	(34, 0.0)	(36, 0.0)	(38, 0.0002721854355366283)	(40, 0.0021823730430152407)	(42, 3.585676396290911e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 3.2597058148099196e-05)	(52, 0.0011539358584427115)	(54, 4.889558722214879e-06)	(56, 1.6298529074049597e-06)	(58, 8.149264537024799e-06)	(60, 0.0)	(62, 2.7707499425884316e-05)	(64, 0.005085141071103474)	(66, 3.2597058148099194e-06)	(68, 0.000648681457147174)	(70, 8.149264537024799e-06)	(72, 3.2597058148099194e-06)	(74, 4.889558722214879e-06)	(76, 0.0)	(78, 6.519411629619839e-06)	(80, 2.2817940703669436e-05)	(82, 9.942102735170254e-05)	(84, 0.0015043542335347777)	(86, 2.4447793611074394e-05)	(88, 0.0)	(90, 0.0013853749712942156)	(92, 0.0)	(94, 6.519411629619839e-06)	(96, 0.002597985534403506)	(98, 0.0003096720524069423)	(100, 0.0036052346311797705)
SRR9126934_2	(1, 0.05774894821517253)	(2, 0.01377225706757191)	(3, 3.2597058148099194e-06)	(4, 2.2817940703669436e-05)	(5, 1.9558234888859517e-05)	(6, 0.0006128246931842647)	(7, 0.00011082999770353726)	(8, 4.889558722214879e-05)	(9, 0.0008964190990727277)	(10, 0.002058504222052464)	(12, 9.779117444429758e-05)	(14, 6.356426338879342e-05)	(16, 4.889558722214879e-06)	(18, 0.002170964072663406)	(20, 0.000730174102517422)	(22, 4.0746322685123995e-05)	(24, 0.0004889558722214879)	(26, 9.290161572208269e-05)	(28, 0.0005019946954807276)	(30, 0.0023274299517742824)	(32, 0.0)	(34, 0.0017846889336084306)	(36, 0.00020862117214783484)	(38, 1.6298529074049597e-06)	(40, 8.964190990727278e-05)	(42, 0.00040094381522162004)	(44, 0.0029777412618288614)	(46, 0.0021236983383486627)	(48, 1.4668676166644637e-05)	(50, 0.0013544077660535216)	(52, 0.0023323195104964973)	(54, 0.00017928381981454557)	(56, 0.0001092001447961323)	(58, 6.519411629619839e-06)	(60, 1.7928381981454556e-05)	(62, 0.00013527779131461163)	(64, 8.801205699986782e-05)	(66, 8.964190990727278e-05)	(68, 4.889558722214879e-06)	(70, 0.0004579886669807936)	(72, 0.0016168140841457197)	(74, 0.0010268073316651244)	(76, 0.00028359440588846295)	(78, 0.00019232264307378526)	(80, 5.3785145944363664e-05)	(82, 2.4447793611074394e-05)	(84, 0.000241218230295934)	(86, 0.0007774398368321658)	(88, 0.0009599833624615212)	(90, 0.0)	(92, 0.00016298529074049598)	(94, 2.4447793611074394e-05)	(96, 0.000730174102517422)	(98, 0.002381215097718646)	(100, 0.0016396320248493893)
SRR9127010_1	(1, 0.021876024671614945)	(2, 0.004188046798983787)	(3, 0.0012057892981689584)	(4, 0.01578571485770812)	(5, 0.00026386228916674406)	(6, 0.0022980564486731543)	(7, 4.602249229652513e-05)	(8, 0.0)	(9, 0.0)	(10, 3.221574460756759e-05)	(12, 1.5340830765508375e-06)	(14, 3.068166153101675e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00021783979687021895)	(24, 0.0001718173045736938)	(26, 3.9886159990321776e-05)	(28, 1.0738581535855862e-05)	(30, 3.6817993837220104e-05)	(32, 1.0738581535855862e-05)	(34, 0.0)	(36, 6.13633230620335e-06)	(38, 0.00027920311993225245)	(40, 0.0021768638856256386)	(42, 3.221574460756759e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 3.835207691377093e-05)	(52, 0.0011490282243365772)	(54, 9.204498459305026e-06)	(56, 0.0)	(58, 1.5340830765508377e-05)	(60, 0.0)	(62, 2.45453292248134e-05)	(64, 0.005252700454110068)	(66, 0.0)	(68, 0.0006550534736872077)	(70, 1.5340830765508377e-05)	(72, 0.0)	(74, 3.068166153101675e-06)	(76, 0.0)	(78, 4.602249229652513e-06)	(80, 3.221574460756759e-05)	(82, 9.204498459305025e-05)	(84, 0.0015233444950149817)	(86, 1.9943079995160888e-05)	(88, 0.0)	(90, 0.0014328335934984822)	(92, 0.0)	(94, 4.602249229652513e-06)	(96, 0.002482146417859255)	(98, 0.00028227128608535415)	(100, 0.0034823685837704014)
SRR9127010_2	(1, 0.057583342361412236)	(2, 0.014598334556457771)	(3, 0.0)	(4, 3.3749827684118425e-05)	(5, 2.1477163071711724e-05)	(6, 0.0006289740613858434)	(7, 0.00014113564304267707)	(8, 3.9886159990321776e-05)	(9, 0.0008468138582560623)	(10, 0.001957490005678869)	(12, 8.284048613374522e-05)	(14, 7.517007075099104e-05)	(16, 4.602249229652513e-06)	(18, 0.002342544857893129)	(20, 0.0007470984582802579)	(22, 4.142024306687261e-05)	(24, 0.0005538039906348523)	(26, 0.00013346522765992285)	(28, 0.000547667658328649)	(30, 0.0022842497009841973)	(32, 0.0)	(34, 0.0018593086887796152)	(36, 0.00018715813533920218)	(38, 1.5340830765508375e-06)	(40, 9.511315074615193e-05)	(42, 0.00045102042450594624)	(44, 0.0029331668423652015)	(46, 0.002066409904113978)	(48, 2.1477163071711724e-05)	(50, 0.0013055046981447628)	(52, 0.0023456130240462306)	(54, 0.00016261280611438878)	(56, 0.00012272664612406701)	(58, 1.22726646124067e-05)	(60, 1.8408996918610052e-05)	(62, 0.00015647647380818543)	(64, 8.744273536339775e-05)	(66, 9.357906766960109e-05)	(68, 3.068166153101675e-06)	(70, 0.0005492017414051998)	(72, 0.0015755033196177101)	(74, 0.001076926319738688)	(76, 0.00030528253223361664)	(78, 0.00021937387994676978)	(80, 9.664723382270278e-05)	(82, 2.607941230136424e-05)	(84, 0.00023624879378882898)	(86, 0.000820734445954698)	(88, 0.0009189157628539516)	(90, 3.068166153101675e-06)	(92, 0.00015340830765508373)	(94, 3.0681661531016753e-05)	(96, 0.0007378939598209529)	(98, 0.0023563516055820867)	(100, 0.0016844232180528197)
SRR9127157_1	(1, 0.02216126687304892)	(2, 0.004078591706376671)	(3, 0.001235519334476717)	(4, 0.015726461714677616)	(5, 0.000339882642198056)	(6, 0.002392957521421448)	(7, 3.674406942681686e-05)	(8, 0.0)	(9, 0.0)	(10, 2.5261547730936593e-05)	(12, 0.0)	(14, 2.296504339176054e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00020668539052584483)	(24, 0.0001837203471340843)	(26, 2.7558052070112646e-05)	(28, 1.3779026035056323e-05)	(30, 2.2965043391760536e-05)	(32, 4.593008678352108e-06)	(34, 0.0)	(36, 0.0)	(38, 0.00024113295561348564)	(40, 0.002092115452989385)	(42, 2.7558052070112646e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 1.6075530374232377e-05)	(52, 0.001203368273728252)	(54, 4.593008678352108e-06)	(56, 2.296504339176054e-06)	(58, 2.0668539052584483e-05)	(60, 0.0)	(62, 3.674406942681686e-05)	(64, 0.00503393751147391)	(66, 0.0)	(68, 0.0006728757713785837)	(70, 6.889513017528161e-06)	(72, 4.593008678352108e-06)	(74, 0.0)	(76, 0.0)	(78, 2.296504339176054e-06)	(80, 2.98545564092887e-05)	(82, 9.874968658457031e-05)	(84, 0.001458280255376794)	(86, 2.98545564092887e-05)	(88, 0.0)	(90, 0.0014376117163242097)	(92, 0.0)	(94, 4.593008678352108e-06)	(96, 0.0024319980951874407)	(98, 0.0002916560510753588)	(100, 0.0031875480227763625)
SRR9127157_2	(1, 0.05840010534524704)	(2, 0.014559837510376181)	(3, 9.186017356704215e-06)	(4, 1.837203471340843e-05)	(5, 2.7558052070112646e-05)	(6, 0.0006338351976125908)	(7, 0.00010563919960209848)	(8, 3.674406942681686e-05)	(9, 0.0008910436836003087)	(10, 0.0020369993488491595)	(12, 9.41566779062182e-05)	(14, 6.430212149692951e-05)	(16, 2.296504339176054e-06)	(18, 0.0022459812437141805)	(20, 0.0007073233364662246)	(22, 1.837203471340843e-05)	(24, 0.0005167134763146121)	(26, 0.00012171472997633085)	(28, 0.0005075274589579078)	(30, 0.0022804288088018212)	(32, 0.0)	(34, 0.0018670580277501318)	(36, 0.00027558052070112646)	(38, 0.0)	(40, 7.578464319280978e-05)	(42, 0.00041796378973004176)	(44, 0.0030612402841216795)	(46, 0.002133452531094554)	(48, 1.3779026035056323e-05)	(50, 0.0012515948648509493)	(52, 0.002406736547456504)	(54, 0.00021357490354337297)	(56, 0.00011252871261962664)	(58, 6.889513017528161e-06)	(60, 2.7558052070112646e-05)	(62, 0.0001240112343155069)	(64, 0.00011482521695880269)	(66, 0.00010334269526292242)	(68, 2.296504339176054e-06)	(70, 0.0004891554242444995)	(72, 0.0015639194549788924)	(74, 0.0010609850046993368)	(76, 0.0002434294599526617)	(78, 0.00016764481675985194)	(80, 5.511610414022529e-05)	(82, 1.6075530374232377e-05)	(84, 0.00024113295561348564)	(86, 0.0007854044839982104)	(88, 0.0009668283267931186)	(90, 0.0)	(92, 0.0001331972516722111)	(94, 2.0668539052584483e-05)	(96, 0.0006728757713785837)	(98, 0.0023676959736905114)	(100, 0.0014835418031077308)
SRR9127293_1	(1, 0.021494799375164166)	(2, 0.003693911460123349)	(3, 0.0010289718214930596)	(4, 0.015285262799403208)	(5, 0.00028564517442078625)	(6, 0.0025286089872021875)	(7, 6.491935782290597e-05)	(8, 0.0)	(9, 0.0)	(10, 2.2721775238017086e-05)	(12, 0.0)	(14, 1.6229839455726492e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00020287299319658115)	(24, 0.0001817742019041367)	(26, 4.057459863931623e-05)	(28, 9.737903673435895e-06)	(30, 3.0836694965880336e-05)	(32, 3.2459678911452984e-06)	(34, 0.0)	(36, 0.0)	(38, 0.00027266130285620506)	(40, 0.002062812594822837)	(42, 2.2721775238017086e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 3.732863074817093e-05)	(52, 0.0011020060990438287)	(54, 4.868951836717947e-06)	(56, 3.2459678911452984e-06)	(58, 1.2983871564581193e-05)	(60, 0.0)	(62, 2.2721775238017086e-05)	(64, 0.004998790552363759)	(66, 1.6229839455726492e-06)	(68, 0.0006069959956441708)	(70, 3.2459678911452984e-06)	(72, 6.491935782290597e-06)	(74, 3.2459678911452984e-06)	(76, 0.0)	(78, 8.114919727863246e-06)	(80, 3.2459678911452984e-05)	(82, 6.978830965962391e-05)	(84, 0.0014249799042127859)	(86, 2.9213711020307687e-05)	(88, 1.6229839455726492e-06)	(90, 0.001420110952376068)	(92, 0.0)	(94, 4.868951836717947e-06)	(96, 0.002380917448155076)	(98, 0.00031161291754994863)	(100, 0.0031128832076083414)
SRR9127293_2	(1, 0.056671353411505754)	(2, 0.014184879684304952)	(3, 3.2459678911452984e-06)	(4, 1.6229839455726492e-05)	(5, 3.570564680259828e-05)	(6, 0.0005810282525150084)	(7, 8.439516516977775e-05)	(8, 2.9213711020307687e-05)	(9, 0.0008017540691128886)	(10, 0.00198490936543535)	(12, 9.088710095206835e-05)	(14, 6.167338993176067e-05)	(16, 4.868951836717947e-06)	(18, 0.002338719865570187)	(20, 0.0006686693855759314)	(22, 4.382056653046153e-05)	(24, 0.0005144859107465298)	(26, 0.00011036290829894013)	(28, 0.0004235988097944614)	(30, 0.0022023892141420846)	(32, 0.0)	(34, 0.0019086291199934353)	(36, 0.00019151210557757258)	(38, 3.2459678911452984e-06)	(40, 9.575605278878629e-05)	(42, 0.000430090745576752)	(44, 0.002892157391010461)	(46, 0.002035221867748102)	(48, 1.785282340129914e-05)	(50, 0.0012935182046214012)	(52, 0.002380917448155076)	(54, 0.0001655443624484102)	(56, 0.00011685484408123075)	(58, 4.868951836717947e-06)	(60, 2.5967743129162387e-05)	(62, 0.0001265927477546666)	(64, 9.737903673435894e-05)	(66, 9.2510084897641e-05)	(68, 4.868951836717947e-06)	(70, 0.0004901411515629401)	(72, 0.0015645565235320338)	(74, 0.0010419556930576408)	(76, 0.0002564314634004785)	(78, 0.00019313508952314523)	(80, 6.816532571405127e-05)	(82, 1.6229839455726492e-05)	(84, 0.0002142338808155897)	(86, 0.0007498185828545638)	(88, 0.0009819052870714527)	(90, 0.0)	(92, 0.00014444557115596577)	(94, 2.2721775238017086e-05)	(96, 0.0007173589039431109)	(98, 0.0022040121980876574)	(100, 0.0014087500647570596)
