Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1	(1, 35.88680261575081)	(2, 35.93928514755189)	(3, 36.21235554076766)	(4, 36.19045481303269)	(5, 36.30619474802283)	(6, 36.44981857814406)	(7, 36.42894687449344)	(8, 36.43772926211256)	(9, 36.49170501565526)	(10, 36.4348373687219)	(12, 36.42350178734441)	(14, 36.44050606588006)	(16, 36.41917180688149)	(18, 36.41038216750702)	(20, 36.40614791021474)	(22, 36.39699474461024)	(24, 36.37094358134337)	(26, 36.33446164247992)	(28, 36.32812653033366)	(30, 36.30507317874297)	(32, 36.293828265636066)	(34, 36.27668889116395)	(36, 36.244559967751016)	(38, 36.223000946993935)	(40, 36.20211316150939)	(42, 36.17304876592187)	(44, 36.173072782029294)	(46, 36.143387508211546)	(48, 36.109659764701874)	(50, 36.077482446486314)	(52, 36.07050947847082)	(54, 36.06821856364055)	(56, 36.043876639109996)	(58, 36.02302137988107)	(60, 35.989811667647785)	(62, 35.966730588757216)	(64, 35.97371948930579)	(66, 35.93726331550255)	(68, 35.90041192103265)	(70, 35.88448783411396)	(72, 35.866235229880644)	(74, 35.835472686476756)	(76, 35.82717706227125)	(78, 35.783347111668505)	(80, 35.751917236142745)	(82, 35.727271782993355)	(84, 35.70934665950023)	(86, 35.69721297978893)	(88, 35.644074292100704)	(90, 35.630665092609185)	(92, 35.617139694402496)	(94, 35.57677036676819)	(96, 35.531127946558826)	(98, 35.498893062202995)	(100, 35.26746367723717)
SRR9126859_2	(1, 36.29862950355336)	(2, 36.08108588637779)	(3, 36.20764902357247)	(4, 36.160637130693694)	(5, 36.20469743117231)	(6, 36.29955683243326)	(7, 36.25480654876166)	(8, 36.244856031327586)	(9, 36.33686600462406)	(10, 36.25982437954834)	(12, 36.25307674916605)	(14, 36.25218444199876)	(16, 36.21312906844804)	(18, 36.199526844292016)	(20, 36.19915883903663)	(22, 36.17666159043792)	(24, 36.14774705024187)	(26, 36.127859004547275)	(28, 36.10385708069924)	(30, 36.08073261924872)	(32, 36.06611250458567)	(34, 36.0396268332011)	(36, 36.00148379445966)	(38, 35.970915256840115)	(40, 35.9563796251269)	(42, 35.916404963613246)	(44, 35.896839749003945)	(46, 35.85839243513945)	(48, 35.83554482011381)	(50, 35.81196520437153)	(52, 35.78105485313063)	(54, 35.778047379556874)	(56, 35.751773032854715)	(58, 35.74039197870543)	(60, 35.700179971504866)	(62, 35.65028859853429)	(64, 35.649495491114465)	(66, 35.60828941755607)	(68, 35.57783400732001)	(70, 35.53273836946414)	(72, 35.50221108153532)	(74, 35.48727528089888)	(76, 35.46967260457458)	(78, 35.394640824823185)	(80, 35.38729530854086)	(82, 35.345842973902215)	(84, 35.29340339808724)	(86, 35.22112487522715)	(88, 35.200762095501354)	(90, 35.185638026498765)	(92, 35.140096043101025)	(94, 35.074053517954496)	(96, 35.01994478001587)	(98, 34.98722720602663)	(100, 34.772342871524486)
SRR9126934_1	(1, 35.92896807656006)	(2, 35.97884985517942)	(3, 36.22813178273474)	(4, 36.21961273717008)	(5, 36.32057795236038)	(6, 36.45716109286853)	(7, 36.43661986109416)	(8, 36.43310364902878)	(9, 36.49444368475189)	(10, 36.45467589315532)	(12, 36.44454068544768)	(14, 36.453963402956845)	(16, 36.434079539755615)	(18, 36.42624995456785)	(20, 36.41854899737154)	(22, 36.412522502156705)	(24, 36.387898358461044)	(26, 36.35014169126251)	(28, 36.34840449624262)	(30, 36.33348912553991)	(32, 36.317298606818035)	(34, 36.30280183123753)	(36, 36.28078907046718)	(38, 36.26384767851086)	(40, 36.25074333516474)	(42, 36.21738792275736)	(44, 36.20967943564061)	(46, 36.18557117298721)	(48, 36.152232792542705)	(50, 36.114344482124835)	(52, 36.11715063247257)	(54, 36.119630795940296)	(56, 36.09831303704672)	(58, 36.086679994517176)	(60, 36.06345131458231)	(62, 36.04210407164964)	(64, 36.04714372352609)	(66, 36.0203933063245)	(68, 35.99666105073683)	(70, 35.99224282917691)	(72, 35.973163330982544)	(74, 35.955969540004986)	(76, 35.95130165757671)	(78, 35.91176351225478)	(80, 35.8877027435151)	(82, 35.87825391576236)	(84, 35.865880039892275)	(86, 35.85110014256324)	(88, 35.81846747212911)	(90, 35.80481227109735)	(92, 35.78621525825916)	(94, 35.7663883910141)	(96, 35.73518247751659)	(98, 35.71152584710383)	(100, 35.49859925551579)
SRR9126934_2	(1, 36.31679023939768)	(2, 36.15316907784389)	(3, 36.25037722130615)	(4, 36.21247962072671)	(5, 36.24677032422501)	(6, 36.326970561433804)	(7, 36.27509566829103)	(8, 36.27260365579267)	(9, 36.33937749072084)	(10, 36.28674808977165)	(12, 36.271207067433366)	(14, 36.280040886490035)	(16, 36.24222158404426)	(18, 36.225453575840234)	(20, 36.22031425845849)	(22, 36.202760074406044)	(24, 36.178284654788186)	(26, 36.161084637772525)	(28, 36.13735366976866)	(30, 36.12184389171061)	(32, 36.10338746998422)	(34, 36.07606622939886)	(36, 36.05611198914909)	(38, 36.02752510258702)	(40, 36.009215791384044)	(42, 35.967159995977525)	(44, 35.945157486981955)	(46, 35.912728173295086)	(48, 35.884654250338556)	(50, 35.85479563844842)	(52, 35.82887843465015)	(54, 35.83350156131759)	(56, 35.81191091615173)	(58, 35.81583737849243)	(60, 35.781303289059466)	(62, 35.72965494547083)	(64, 35.72878025231101)	(66, 35.702196291986844)	(68, 35.68570736349615)	(70, 35.64539833034608)	(72, 35.61948433735804)	(74, 35.61532521351481)	(76, 35.604757377651424)	(78, 35.54457577618078)	(80, 35.54223428059841)	(82, 35.513175339738766)	(84, 35.476805938140885)	(86, 35.42243360508957)	(88, 35.43078063597839)	(90, 35.41988792153497)	(92, 35.38059946967846)	(94, 35.35191651958603)	(96, 35.315861288434576)	(98, 35.29937993875991)	(100, 35.102551290248606)
SRR9127010_1	(1, 35.991818090637864)	(2, 36.04690041735957)	(3, 36.28532914320018)	(4, 36.26098631294147)	(5, 36.36294175034399)	(6, 36.48389490438659)	(7, 36.46097036461381)	(8, 36.46196484930901)	(9, 36.51279773522702)	(10, 36.469042479650156)	(12, 36.45740713451107)	(14, 36.46318011924059)	(16, 36.44269664314089)	(18, 36.433475699311)	(20, 36.42719415070077)	(22, 36.41762533819245)	(24, 36.393725213627974)	(26, 36.35679345218979)	(28, 36.34928805812359)	(30, 36.33033285092557)	(32, 36.314559270665)	(34, 36.301721434506355)	(36, 36.27109542950936)	(38, 36.248515107297294)	(40, 36.23090032052825)	(42, 36.19880322190582)	(44, 36.1939508711122)	(46, 36.16406159417188)	(48, 36.126517119952936)	(50, 36.08684089923163)	(52, 36.08211994265352)	(54, 36.083118891530475)	(56, 36.05729024044881)	(58, 36.03829448743508)	(60, 36.006701243058316)	(62, 35.98348252751478)	(64, 35.988808679866594)	(66, 35.95506725895773)	(68, 35.92087596818668)	(70, 35.90513386731084)	(72, 35.884270736331345)	(74, 35.85697587000843)	(76, 35.85056889476586)	(78, 35.80560291014332)	(80, 35.772632304617105)	(82, 35.75605897616707)	(84, 35.74037876020253)	(86, 35.72290178011625)	(88, 35.670902055269394)	(90, 35.660028689194434)	(92, 35.64199805852582)	(94, 35.60552613848984)	(96, 35.56510300340023)	(98, 35.539351332607346)	(100, 35.31942509070803)
SRR9127010_2	(1, 36.32025601146562)	(2, 36.148293950812814)	(3, 36.25519830953863)	(4, 36.21288041310034)	(5, 36.25087063049802)	(6, 36.32703730297886)	(7, 36.28082516733241)	(8, 36.26476396183582)	(9, 36.352423340411285)	(10, 36.280958141653485)	(12, 36.27197406025062)	(14, 36.268278714913336)	(16, 36.222175130985384)	(18, 36.20886324781526)	(20, 36.206774777796504)	(22, 36.18448933703342)	(24, 36.158136459082826)	(26, 36.13981189809675)	(28, 36.11002454563604)	(30, 36.08869035910706)	(32, 36.07270946285953)	(34, 36.04377285150974)	(36, 36.01081151184532)	(38, 35.97801028443158)	(40, 35.96166755934961)	(42, 35.91727539850186)	(44, 35.890004095695)	(46, 35.849232539657045)	(48, 35.81908177825633)	(50, 35.787552857982966)	(52, 35.75446452692145)	(54, 35.75410354183271)	(56, 35.7230315482037)	(58, 35.71407992799873)	(60, 35.673858632219506)	(62, 35.6189331808332)	(64, 35.61681975128279)	(66, 35.577490954355845)	(68, 35.545933193320636)	(70, 35.497609852544244)	(72, 35.46796852945158)	(74, 35.45271767265852)	(76, 35.43653980014395)	(78, 35.36544627903395)	(80, 35.354966190496484)	(82, 35.318089748094046)	(84, 35.27539230416179)	(86, 35.20645166921892)	(88, 35.197678401512434)	(90, 35.19127911202608)	(92, 35.15165807227305)	(94, 35.10499224689754)	(96, 35.05808291651529)	(98, 35.04036669617322)	(100, 34.83940110746685)
SRR9127157_1	(1, 35.8711241264729)	(2, 35.91488360328512)	(3, 36.1746260062306)	(4, 36.165413027912955)	(5, 36.28315783676824)	(6, 36.42234864325509)	(7, 36.39827489349846)	(8, 36.402372408400595)	(9, 36.46260650211111)	(10, 36.42325638252524)	(12, 36.41053909934131)	(14, 36.41982535911242)	(16, 36.40234034920002)	(18, 36.3962723417147)	(20, 36.389958424544744)	(22, 36.38440763576669)	(24, 36.357622541127064)	(26, 36.31506877502299)	(28, 36.318981650976255)	(30, 36.30706683530357)	(32, 36.29184193013657)	(34, 36.2751257209818)	(36, 36.25426014185691)	(38, 36.23933564242252)	(40, 36.22739101812351)	(42, 36.18972019437062)	(44, 36.18381827007911)	(46, 36.15891855957185)	(48, 36.1248067434186)	(50, 36.086546958162884)	(52, 36.09302670591117)	(54, 36.09977686704539)	(56, 36.07870186968982)	(58, 36.072691320743075)	(60, 36.051654583149784)	(62, 36.02846448233278)	(64, 36.03644327328847)	(66, 36.0165924275709)	(68, 35.996974240707914)	(70, 35.993112439011156)	(72, 35.97714739346068)	(74, 35.96207855872858)	(76, 35.965252144004964)	(78, 35.922453547573305)	(80, 35.90099776683326)	(82, 35.89350969292476)	(84, 35.88434709991232)	(86, 35.87464524175094)	(88, 35.84497047866637)	(90, 35.83868563524135)	(92, 35.81540110216592)	(94, 35.79671839634551)	(96, 35.77209906605302)	(98, 35.74899214462319)	(100, 35.55449271803736)
SRR9127157_2	(1, 36.4421166770262)	(2, 36.27336985969415)	(3, 36.355659213637416)	(4, 36.31609687408556)	(5, 36.3266269895019)	(6, 36.42001929890387)	(7, 36.37403643845063)	(8, 36.361055723253955)	(9, 36.452587864141194)	(10, 36.376720018596174)	(12, 36.373543953095094)	(14, 36.382897730093774)	(16, 36.34415296905171)	(18, 36.32329701228001)	(20, 36.322957543008584)	(22, 36.308949004329875)	(24, 36.28035336863428)	(26, 36.25998415595726)	(28, 36.25001443352977)	(30, 36.235235647295696)	(32, 36.22008586078563)	(34, 36.18996098285058)	(36, 36.170653650814955)	(38, 36.14837126630306)	(40, 36.13416176052962)	(42, 36.086286419745605)	(44, 36.0662811800413)	(46, 36.03259159917585)	(48, 36.00625870920564)	(50, 35.976122853979845)	(52, 35.95873976293002)	(54, 35.96770983998371)	(56, 35.94878499074578)	(58, 35.95717003331906)	(60, 35.93065576543615)	(62, 35.87826184567941)	(64, 35.88443264469895)	(66, 35.867198826431164)	(68, 35.85466827201506)	(70, 35.82366380995306)	(72, 35.8020999557188)	(74, 35.79783734511973)	(76, 35.793902284934546)	(78, 35.73290021720797)	(80, 35.737800245551426)	(82, 35.7180637427849)	(84, 35.682769594337664)	(86, 35.64550952335088)	(88, 35.651165147552014)	(90, 35.646345864301125)	(92, 35.608328658798754)	(94, 35.58700499595333)	(96, 35.55892058508868)	(98, 35.54274703990925)	(100, 35.36847288110845)
SRR9127293_1	(1, 35.789057400787314)	(2, 35.772441226233184)	(3, 36.08927245914398)	(4, 36.08398120688462)	(5, 36.189472923629)	(6, 36.36097152727853)	(7, 36.33598228117015)	(8, 36.33644340336877)	(9, 36.40008962766541)	(10, 36.35468746327999)	(12, 36.350588649785124)	(14, 36.35853434097699)	(16, 36.339437127095096)	(18, 36.332758710457455)	(20, 36.32264362531507)	(22, 36.32035841523019)	(24, 36.29405797662202)	(26, 36.25535060478225)	(28, 36.25444778750284)	(30, 36.23809886971503)	(32, 36.22100772890923)	(34, 36.20499559651996)	(36, 36.18267310779223)	(38, 36.16238905444047)	(40, 36.149100954535285)	(42, 36.11833357721372)	(44, 36.11309422798094)	(46, 36.08652581849353)	(48, 36.0512915186884)	(50, 36.012378190185935)	(52, 36.01504634333278)	(54, 36.02248558238442)	(56, 35.99657615306842)	(58, 35.985756920111406)	(60, 35.9659297692)	(62, 35.94564584568695)	(64, 35.95306343413276)	(66, 35.923833963938336)	(68, 35.9030795536093)	(70, 35.89548635830059)	(72, 35.87902926863279)	(74, 35.86258720779635)	(76, 35.85640880005266)	(78, 35.81801440443695)	(80, 35.79024636636616)	(82, 35.78168527212182)	(84, 35.773167024653645)	(86, 35.75680195817557)	(88, 35.72479007676455)	(90, 35.71068095797082)	(92, 35.69023611559956)	(94, 35.670070166789515)	(96, 35.63940693634774)	(98, 35.61405480725897)	(100, 35.391387999241225)
SRR9127293_2	(1, 36.03229111579886)	(2, 35.629268853522845)	(3, 35.83236864249598)	(4, 35.78841947071767)	(5, 35.81191891494305)	(6, 35.99606475082717)	(7, 35.92980860604765)	(8, 35.915309808808594)	(9, 36.07538692261859)	(10, 35.955483254506085)	(12, 35.96217431418866)	(14, 35.95959928786061)	(16, 35.915236141567306)	(18, 35.89122055598756)	(20, 35.8879392881956)	(22, 35.86988876911989)	(24, 35.84070177241533)	(26, 35.82053312945193)	(28, 35.79488500055116)	(30, 35.77442764497369)	(32, 35.754989766761625)	(34, 35.7174187920507)	(36, 35.69949420029933)	(38, 35.669357920285)	(40, 35.6438976355461)	(42, 35.598147470943076)	(44, 35.577484077553706)	(46, 35.54301916951782)	(48, 35.51338463499026)	(50, 35.48143804622336)	(52, 35.4512085420112)	(54, 35.45982744694368)	(56, 35.431748721056195)	(58, 35.44191390771297)	(60, 35.406243171295046)	(62, 35.34709426797127)	(64, 35.34839168133736)	(66, 35.32119077877651)	(68, 35.30316900274648)	(70, 35.25752032332956)	(72, 35.22999711238697)	(74, 35.22448091455276)	(76, 35.216813841014826)	(78, 35.14912267006048)	(80, 35.14599691659018)	(82, 35.1151759321089)	(84, 35.07446636612467)	(86, 35.012003589261454)	(88, 35.028103606231376)	(90, 35.014027417781904)	(92, 34.96814885891894)	(94, 34.94084846744222)	(96, 34.90057016075201)	(98, 34.87980972915254)	(100, 34.68411610281824)
