Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR9126859_1	(0.0, 95.0)	(1.0, 114.5)	(2.0, 451.0)	(3.0, 803.5)	(4.0, 796.5)	(5.0, 901.0)	(6.0, 1217.0)	(7.0, 1691.0)	(8.0, 2412.0)	(9.0, 3038.0)	(10.0, 3391.5)	(11.0, 3738.5)	(12.0, 4309.0)	(13.0, 5048.0)	(14.0, 5952.0)	(15.0, 7214.0)	(16.0, 8921.0)	(17.0, 11309.5)	(18.0, 14740.5)	(19.0, 19637.5)	(20.0, 26020.0)	(21.0, 34372.5)	(22.0, 45237.5)	(23.0, 58957.5)	(24.0, 75439.5)	(25.0, 95242.5)	(26.0, 119370.0)	(27.0, 145497.5)	(28.0, 174010.5)	(29.0, 210192.5)	(30.0, 262516.5)	(31.0, 344638.0)	(32.0, 460839.0)	(33.0, 618564.0)	(34.0, 811232.5)	(35.0, 977020.0)	(36.0, 1073161.0)	(37.0, 1079487.5)	(38.0, 979751.0)	(39.0, 824027.5)	(40.0, 702212.5)	(41.0, 633845.0)	(42.0, 583556.5)	(43.0, 566633.5)	(44.0, 574212.5)	(45.0, 582849.0)	(46.0, 641501.5)	(47.0, 720059.5)	(48.0, 724177.0)	(49.0, 697238.5)	(50.0, 677882.5)	(51.0, 632212.5)	(52.0, 627766.5)	(53.0, 624471.0)	(54.0, 562841.5)	(55.0, 498301.5)	(56.0, 450064.0)	(57.0, 404190.5)	(58.0, 358597.5)	(59.0, 319632.0)	(60.0, 288708.0)	(61.0, 271319.0)	(62.0, 234762.5)	(63.0, 192758.0)	(64.0, 167055.0)	(65.0, 148348.5)	(66.0, 154900.0)	(67.0, 152655.0)	(68.0, 124175.0)	(69.0, 118385.0)	(70.0, 119206.0)	(71.0, 96082.0)	(72.0, 86961.5)	(73.0, 106794.0)	(74.0, 94861.5)	(75.0, 63667.5)	(76.0, 60947.5)	(77.0, 69931.0)	(78.0, 77702.0)	(79.0, 77148.5)	(80.0, 83268.0)	(81.0, 91950.0)	(82.0, 108478.0)	(83.0, 113187.0)	(84.0, 83663.5)	(85.0, 67973.0)	(86.0, 54486.0)	(87.0, 26798.0)	(88.0, 7485.5)	(89.0, 2282.0)	(90.0, 1322.5)	(91.0, 617.5)	(92.0, 325.0)	(93.0, 272.0)	(94.0, 269.0)	(95.0, 136.5)	(96.0, 55.0)	(97.0, 40.5)	(98.0, 37.0)	(99.0, 26.5)	(100.0, 4.0)
SRR9126859_2	(0.0, 139.0)	(1.0, 168.0)	(2.0, 590.5)	(3.0, 1022.5)	(4.0, 983.5)	(5.0, 1097.0)	(6.0, 1615.5)	(7.0, 2292.5)	(8.0, 3216.5)	(9.0, 3962.0)	(10.0, 4311.5)	(11.0, 4776.5)	(12.0, 5448.5)	(13.0, 6292.0)	(14.0, 7145.5)	(15.0, 8312.0)	(16.0, 9985.0)	(17.0, 12254.0)	(18.0, 15648.0)	(19.0, 20393.0)	(20.0, 26808.5)	(21.0, 35395.5)	(22.0, 46459.0)	(23.0, 60132.5)	(24.0, 76671.0)	(25.0, 97041.0)	(26.0, 120365.5)	(27.0, 146798.0)	(28.0, 176552.0)	(29.0, 213019.0)	(30.0, 266353.0)	(31.0, 349853.0)	(32.0, 466132.5)	(33.0, 621485.5)	(34.0, 812734.0)	(35.0, 977787.5)	(36.0, 1068658.0)	(37.0, 1071174.5)	(38.0, 971358.0)	(39.0, 818729.0)	(40.0, 703220.0)	(41.0, 637231.5)	(42.0, 586962.5)	(43.0, 567948.0)	(44.0, 571367.5)	(45.0, 579074.5)	(46.0, 636597.0)	(47.0, 710678.5)	(48.0, 716276.5)	(49.0, 695474.0)	(50.0, 679722.0)	(51.0, 634394.5)	(52.0, 625033.0)	(53.0, 619907.0)	(54.0, 561869.5)	(55.0, 498458.0)	(56.0, 448356.5)	(57.0, 403287.5)	(58.0, 359184.0)	(59.0, 320580.5)	(60.0, 290497.0)	(61.0, 273569.0)	(62.0, 237128.5)	(63.0, 194169.0)	(64.0, 169063.5)	(65.0, 151163.0)	(66.0, 155635.0)	(67.0, 153384.5)	(68.0, 125412.5)	(69.0, 118072.5)	(70.0, 118539.0)	(71.0, 95812.0)	(72.0, 86876.0)	(73.0, 105232.0)	(74.0, 93894.5)	(75.0, 64194.5)	(76.0, 61389.0)	(77.0, 70190.0)	(78.0, 76078.5)	(79.0, 74582.5)	(80.0, 80843.5)	(81.0, 92051.5)	(82.0, 107754.0)	(83.0, 109729.0)	(84.0, 81784.5)	(85.0, 66012.5)	(86.0, 53133.0)	(87.0, 26887.0)	(88.0, 7763.5)	(89.0, 2375.0)	(90.0, 1430.5)	(91.0, 818.5)	(92.0, 566.0)	(93.0, 500.5)	(94.0, 541.0)	(95.0, 464.5)	(96.0, 428.0)	(97.0, 475.5)	(98.0, 613.5)	(99.0, 845.5)	(100.0, 2235.0)
SRR9126934_1	(0.0, 255.0)	(1.0, 338.0)	(2.0, 984.0)	(3.0, 1638.5)	(4.0, 1501.0)	(5.0, 1378.0)	(6.0, 2057.0)	(7.0, 3633.0)	(8.0, 5355.5)	(9.0, 6569.0)	(10.0, 6821.0)	(11.0, 6751.0)	(12.0, 7160.5)	(13.0, 7803.0)	(14.0, 8814.5)	(15.0, 10176.0)	(16.0, 11972.0)	(17.0, 14159.0)	(18.0, 17192.5)	(19.0, 21875.0)	(20.0, 28343.5)	(21.0, 37159.5)	(22.0, 48899.0)	(23.0, 63285.0)	(24.0, 80743.5)	(25.0, 102813.5)	(26.0, 128601.5)	(27.0, 157054.5)	(28.0, 187324.5)	(29.0, 225339.0)	(30.0, 273518.0)	(31.0, 335627.5)	(32.0, 420402.0)	(33.0, 531947.5)	(34.0, 664880.5)	(35.0, 780274.0)	(36.0, 850551.0)	(37.0, 865427.5)	(38.0, 819388.0)	(39.0, 741413.5)	(40.0, 674499.0)	(41.0, 634383.0)	(42.0, 608678.5)	(43.0, 618280.5)	(44.0, 652635.0)	(45.0, 684087.5)	(46.0, 796622.0)	(47.0, 944196.0)	(48.0, 961036.5)	(49.0, 918256.5)	(50.0, 891197.0)	(51.0, 848001.0)	(52.0, 924575.5)	(53.0, 998076.5)	(54.0, 931170.5)	(55.0, 850252.0)	(56.0, 790931.5)	(57.0, 736730.0)	(58.0, 688242.0)	(59.0, 642116.5)	(60.0, 594349.5)	(61.0, 575543.0)	(62.0, 510876.0)	(63.0, 419292.0)	(64.0, 370668.5)	(65.0, 343389.5)	(66.0, 370480.5)	(67.0, 366550.5)	(68.0, 295545.0)	(69.0, 273447.5)	(70.0, 263641.0)	(71.0, 208950.0)	(72.0, 188554.0)	(73.0, 220494.0)	(74.0, 197525.5)	(75.0, 139151.5)	(76.0, 130816.5)	(77.0, 146209.5)	(78.0, 169104.0)	(79.0, 172956.5)	(80.0, 187019.0)	(81.0, 206179.5)	(82.0, 240337.0)	(83.0, 251549.5)	(84.0, 190133.5)	(85.0, 160418.0)	(86.0, 127055.0)	(87.0, 59415.5)	(88.0, 15164.0)	(89.0, 4865.5)	(90.0, 2696.0)	(91.0, 1131.0)	(92.0, 457.5)	(93.0, 119.5)	(94.0, 99.5)	(95.0, 65.0)	(96.0, 36.0)	(97.0, 24.0)	(98.0, 19.5)	(99.0, 12.5)	(100.0, 5.5)
SRR9126934_2	(0.0, 336.0)	(1.0, 427.5)	(2.0, 1187.5)	(3.0, 1954.0)	(4.0, 1717.5)	(5.0, 1587.5)	(6.0, 2536.0)	(7.0, 4570.5)	(8.0, 6744.5)	(9.0, 8118.0)	(10.0, 8261.0)	(11.0, 8079.5)	(12.0, 8689.0)	(13.0, 9552.0)	(14.0, 10567.0)	(15.0, 11708.0)	(16.0, 13136.0)	(17.0, 15310.0)	(18.0, 18614.0)	(19.0, 23050.5)	(20.0, 29575.0)	(21.0, 38581.0)	(22.0, 49858.5)	(23.0, 63927.5)	(24.0, 81642.5)	(25.0, 104358.0)	(26.0, 130096.0)	(27.0, 158027.5)	(28.0, 188416.5)	(29.0, 227147.5)	(30.0, 276805.0)	(31.0, 339134.0)	(32.0, 423467.5)	(33.0, 535358.5)	(34.0, 666467.5)	(35.0, 777330.0)	(36.0, 845790.5)	(37.0, 860002.0)	(38.0, 812569.0)	(39.0, 736638.0)	(40.0, 672694.0)	(41.0, 635198.0)	(42.0, 609177.5)	(43.0, 617768.0)	(44.0, 654344.0)	(45.0, 687136.5)	(46.0, 798607.0)	(47.0, 940302.5)	(48.0, 954808.5)	(49.0, 915555.5)	(50.0, 894048.5)	(51.0, 853168.0)	(52.0, 928962.0)	(53.0, 1004390.0)	(54.0, 935922.0)	(55.0, 853071.5)	(56.0, 791529.0)	(57.0, 738012.5)	(58.0, 691778.5)	(59.0, 645599.5)	(60.0, 597046.5)	(61.0, 577812.5)	(62.0, 513426.5)	(63.0, 421127.0)	(64.0, 372646.0)	(65.0, 344596.0)	(66.0, 368188.5)	(67.0, 364589.0)	(68.0, 295343.5)	(69.0, 272622.0)	(70.0, 260320.0)	(71.0, 206227.5)	(72.0, 187309.0)	(73.0, 215432.5)	(74.0, 194282.0)	(75.0, 139388.0)	(76.0, 129872.0)	(77.0, 145049.5)	(78.0, 164966.5)	(79.0, 167699.5)	(80.0, 181786.0)	(81.0, 204316.5)	(82.0, 237191.5)	(83.0, 243166.5)	(84.0, 183929.5)	(85.0, 153306.0)	(86.0, 121076.0)	(87.0, 57692.5)	(88.0, 15461.5)	(89.0, 4836.5)	(90.0, 2723.0)	(91.0, 1355.0)	(92.0, 734.5)	(93.0, 422.5)	(94.0, 452.5)	(95.0, 465.5)	(96.0, 483.0)	(97.0, 562.0)	(98.0, 687.0)	(99.0, 973.0)	(100.0, 2703.0)
SRR9127010_1	(0.0, 334.0)	(1.0, 300.0)	(2.0, 560.0)	(3.0, 899.5)	(4.0, 869.0)	(5.0, 897.5)	(6.0, 1302.0)	(7.0, 2159.5)	(8.0, 3177.0)	(9.0, 4100.5)	(10.0, 4834.5)	(11.0, 5436.0)	(12.0, 6346.0)	(13.0, 7600.0)	(14.0, 9093.5)	(15.0, 11155.5)	(16.0, 13835.5)	(17.0, 17341.5)	(18.0, 22268.5)	(19.0, 29284.5)	(20.0, 38786.0)	(21.0, 51327.5)	(22.0, 68038.5)	(23.0, 89382.5)	(24.0, 114672.0)	(25.0, 144931.5)	(26.0, 179919.5)	(27.0, 217926.5)	(28.0, 261833.5)	(29.0, 317836.0)	(30.0, 395578.5)	(31.0, 511929.5)	(32.0, 667781.0)	(33.0, 872650.0)	(34.0, 1113595.5)	(35.0, 1312702.0)	(36.0, 1423583.5)	(37.0, 1422884.0)	(38.0, 1293271.0)	(39.0, 1100204.5)	(40.0, 947920.5)	(41.0, 853918.5)	(42.0, 781307.5)	(43.0, 751116.5)	(44.0, 758902.5)	(45.0, 768636.0)	(46.0, 837884.0)	(47.0, 932483.0)	(48.0, 923648.0)	(49.0, 870944.5)	(50.0, 828209.5)	(51.0, 761135.0)	(52.0, 788952.0)	(53.0, 817913.5)	(54.0, 747949.0)	(55.0, 674578.5)	(56.0, 612398.0)	(57.0, 562535.0)	(58.0, 521916.0)	(59.0, 480410.0)	(60.0, 444536.0)	(61.0, 435195.0)	(62.0, 388282.0)	(63.0, 325528.0)	(64.0, 298197.0)	(65.0, 286493.5)	(66.0, 310505.0)	(67.0, 308238.0)	(68.0, 252939.0)	(69.0, 221326.0)	(70.0, 200183.0)	(71.0, 154528.5)	(72.0, 135134.0)	(73.0, 157739.0)	(74.0, 141623.5)	(75.0, 96585.5)	(76.0, 89726.0)	(77.0, 103934.0)	(78.0, 121602.5)	(79.0, 123444.0)	(80.0, 133347.5)	(81.0, 146108.0)	(82.0, 171453.5)	(83.0, 180856.0)	(84.0, 136564.0)	(85.0, 114953.0)	(86.0, 90620.5)	(87.0, 42506.0)	(88.0, 10740.0)	(89.0, 3317.5)	(90.0, 1868.5)	(91.0, 818.0)	(92.0, 321.0)	(93.0, 95.5)	(94.0, 70.0)	(95.0, 49.0)	(96.0, 37.5)	(97.0, 28.0)	(98.0, 24.0)	(99.0, 17.0)	(100.0, 6.0)
SRR9127010_2	(0.0, 432.0)	(1.0, 361.5)	(2.0, 682.0)	(3.0, 1091.5)	(4.0, 1029.5)	(5.0, 1133.5)	(6.0, 1746.5)	(7.0, 2910.0)	(8.0, 4280.5)	(9.0, 5546.5)	(10.0, 6473.5)	(11.0, 7202.0)	(12.0, 8346.5)	(13.0, 9789.5)	(14.0, 11379.0)	(15.0, 13159.0)	(16.0, 15595.5)	(17.0, 19241.5)	(18.0, 24346.5)	(19.0, 31156.5)	(20.0, 40640.5)	(21.0, 53416.5)	(22.0, 69968.5)	(23.0, 90728.0)	(24.0, 115655.5)	(25.0, 146053.5)	(26.0, 181489.5)	(27.0, 220693.0)	(28.0, 264343.5)	(29.0, 319674.0)	(30.0, 399571.5)	(31.0, 516288.0)	(32.0, 673208.5)	(33.0, 876141.0)	(34.0, 1111794.0)	(35.0, 1305198.0)	(36.0, 1409378.5)	(37.0, 1407502.0)	(38.0, 1280146.0)	(39.0, 1090434.0)	(40.0, 942435.5)	(41.0, 851926.5)	(42.0, 782752.5)	(43.0, 754002.0)	(44.0, 760722.5)	(45.0, 769789.0)	(46.0, 836659.0)	(47.0, 922244.5)	(48.0, 911344.0)	(49.0, 867522.0)	(50.0, 829828.5)	(51.0, 767489.0)	(52.0, 795922.5)	(53.0, 821832.0)	(54.0, 753685.0)	(55.0, 682491.0)	(56.0, 616474.5)	(57.0, 564935.0)	(58.0, 525109.0)	(59.0, 483548.0)	(60.0, 447396.5)	(61.0, 438515.5)	(62.0, 392657.0)	(63.0, 328033.0)	(64.0, 300134.0)	(65.0, 287009.5)	(66.0, 309156.0)	(67.0, 307548.5)	(68.0, 252576.5)	(69.0, 221591.5)	(70.0, 200089.0)	(71.0, 154092.5)	(72.0, 136134.5)	(73.0, 155705.0)	(74.0, 138850.5)	(75.0, 97008.5)	(76.0, 89889.0)	(77.0, 102874.0)	(78.0, 118209.0)	(79.0, 119872.0)	(80.0, 128980.5)	(81.0, 144387.5)	(82.0, 168340.0)	(83.0, 173523.0)	(84.0, 132271.0)	(85.0, 110414.0)	(86.0, 86599.5)	(87.0, 41186.0)	(88.0, 10941.0)	(89.0, 3663.0)	(90.0, 2137.5)	(91.0, 1112.5)	(92.0, 739.5)	(93.0, 585.5)	(94.0, 604.0)	(95.0, 608.5)	(96.0, 645.5)	(97.0, 759.5)	(98.0, 971.5)	(99.0, 1392.5)	(100.0, 3833.0)
SRR9127157_1	(0.0, 934.0)	(1.0, 742.0)	(2.0, 956.5)	(3.0, 1450.0)	(4.0, 1287.5)	(5.0, 1133.5)	(6.0, 1670.5)	(7.0, 2843.0)	(8.0, 4119.5)	(9.0, 5016.0)	(10.0, 5186.0)	(11.0, 5005.5)	(12.0, 5137.0)	(13.0, 5567.5)	(14.0, 6240.5)	(15.0, 6907.0)	(16.0, 7688.0)	(17.0, 8772.0)	(18.0, 10252.5)	(19.0, 12178.5)	(20.0, 14823.5)	(21.0, 19038.5)	(22.0, 24528.5)	(23.0, 30953.0)	(24.0, 39553.0)	(25.0, 50397.5)	(26.0, 62815.5)	(27.0, 76768.0)	(28.0, 91447.5)	(29.0, 110906.5)	(30.0, 134333.5)	(31.0, 163581.0)	(32.0, 206420.5)	(33.0, 262533.5)	(34.0, 329689.5)	(35.0, 390599.0)	(36.0, 430060.5)	(37.0, 444352.5)	(38.0, 426316.5)	(39.0, 390532.0)	(40.0, 362099.5)	(41.0, 347877.0)	(42.0, 341111.5)	(43.0, 360167.0)	(44.0, 401114.0)	(45.0, 436776.0)	(46.0, 579497.5)	(47.0, 766636.0)	(48.0, 782260.0)	(49.0, 736786.5)	(50.0, 708078.0)	(51.0, 652431.5)	(52.0, 757225.0)	(53.0, 842600.0)	(54.0, 759779.5)	(55.0, 684785.0)	(56.0, 626567.5)	(57.0, 576730.0)	(58.0, 546001.5)	(59.0, 521134.0)	(60.0, 493968.5)	(61.0, 492863.5)	(62.0, 437010.0)	(63.0, 352911.0)	(64.0, 329158.5)	(65.0, 320379.5)	(66.0, 343311.5)	(67.0, 334095.0)	(68.0, 263579.0)	(69.0, 246890.5)	(70.0, 236591.0)	(71.0, 186364.5)	(72.0, 161109.5)	(73.0, 189708.0)	(74.0, 178683.0)	(75.0, 121297.5)	(76.0, 108149.0)	(77.0, 115314.5)	(78.0, 131712.5)	(79.0, 130092.5)	(80.0, 140759.5)	(81.0, 160343.5)	(82.0, 172280.0)	(83.0, 167319.0)	(84.0, 123814.5)	(85.0, 112308.5)	(86.0, 90276.0)	(87.0, 38428.5)	(88.0, 7656.5)	(89.0, 2051.0)	(90.0, 1073.0)	(91.0, 440.5)	(92.0, 188.5)	(93.0, 63.5)	(94.0, 36.5)	(95.0, 22.0)	(96.0, 13.0)	(97.0, 14.0)	(98.0, 11.5)	(99.0, 4.0)	(100.0, 1.5)
SRR9127157_2	(0.0, 1105.0)	(1.0, 869.0)	(2.0, 1180.0)	(3.0, 1709.0)	(4.0, 1395.0)	(5.0, 1276.0)	(6.0, 1992.0)	(7.0, 3503.5)	(8.0, 5071.0)	(9.0, 6082.0)	(10.0, 6126.5)	(11.0, 5827.5)	(12.0, 6128.0)	(13.0, 6600.0)	(14.0, 7194.0)	(15.0, 7822.5)	(16.0, 8484.5)	(17.0, 9476.0)	(18.0, 10949.5)	(19.0, 13015.5)	(20.0, 15865.0)	(21.0, 19638.0)	(22.0, 24768.5)	(23.0, 31202.0)	(24.0, 39566.5)	(25.0, 50376.0)	(26.0, 62901.0)	(27.0, 77112.0)	(28.0, 91693.0)	(29.0, 111036.5)	(30.0, 134350.0)	(31.0, 162599.5)	(32.0, 205093.0)	(33.0, 262461.0)	(34.0, 329178.0)	(35.0, 389271.5)	(36.0, 429678.0)	(37.0, 442512.0)	(38.0, 423598.5)	(39.0, 389468.0)	(40.0, 361338.0)	(41.0, 346923.0)	(42.0, 340379.0)	(43.0, 359620.5)	(44.0, 401424.5)	(45.0, 438401.0)	(46.0, 574753.0)	(47.0, 744563.0)	(48.0, 758307.0)	(49.0, 724151.5)	(50.0, 706495.5)	(51.0, 656636.0)	(52.0, 754362.0)	(53.0, 838461.5)	(54.0, 763550.0)	(55.0, 690490.0)	(56.0, 628883.0)	(57.0, 578102.5)	(58.0, 546796.5)	(59.0, 524398.5)	(60.0, 497784.5)	(61.0, 496444.0)	(62.0, 439814.0)	(63.0, 354004.5)	(64.0, 331267.5)	(65.0, 322178.5)	(66.0, 343643.0)	(67.0, 335251.5)	(68.0, 265014.0)	(69.0, 247425.5)	(70.0, 237110.0)	(71.0, 186791.5)	(72.0, 162165.0)	(73.0, 187820.5)	(74.0, 178034.0)	(75.0, 125353.0)	(76.0, 112118.5)	(77.0, 118201.5)	(78.0, 134764.0)	(79.0, 132097.0)	(80.0, 139580.0)	(81.0, 162803.5)	(82.0, 175644.0)	(83.0, 165543.0)	(84.0, 123141.5)	(85.0, 113236.5)	(86.0, 91474.0)	(87.0, 39962.0)	(88.0, 8373.0)	(89.0, 2099.5)	(90.0, 1184.0)	(91.0, 603.5)	(92.0, 381.0)	(93.0, 230.0)	(94.0, 226.0)	(95.0, 246.5)	(96.0, 281.0)	(97.0, 327.0)	(98.0, 391.5)	(99.0, 554.0)	(100.0, 1667.0)
SRR9127293_1	(0.0, 533.0)	(1.0, 547.0)	(2.0, 1287.5)	(3.0, 2202.5)	(4.0, 2115.5)	(5.0, 2015.0)	(6.0, 2680.0)	(7.0, 4291.0)	(8.0, 6356.0)	(9.0, 7819.5)	(10.0, 8090.0)	(11.0, 7950.0)	(12.0, 8291.5)	(13.0, 8965.0)	(14.0, 9865.5)	(15.0, 10801.0)	(16.0, 12192.0)	(17.0, 14296.0)	(18.0, 16984.0)	(19.0, 20616.5)	(20.0, 25805.0)	(21.0, 33226.5)	(22.0, 43454.0)	(23.0, 56130.0)	(24.0, 71387.0)	(25.0, 90177.0)	(26.0, 112945.5)	(27.0, 137950.0)	(28.0, 163390.0)	(29.0, 196474.0)	(30.0, 238021.0)	(31.0, 292678.5)	(32.0, 370029.0)	(33.0, 470353.0)	(34.0, 589041.5)	(35.0, 694486.0)	(36.0, 764188.5)	(37.0, 785973.5)	(38.0, 748260.0)	(39.0, 680561.0)	(40.0, 629558.0)	(41.0, 606927.0)	(42.0, 594624.5)	(43.0, 620993.0)	(44.0, 673838.0)	(45.0, 718633.0)	(46.0, 851501.0)	(47.0, 1014445.0)	(48.0, 1046322.0)	(49.0, 1028616.0)	(50.0, 1013451.5)	(51.0, 980256.5)	(52.0, 1059510.5)	(53.0, 1130541.0)	(54.0, 1063913.5)	(55.0, 977665.0)	(56.0, 924603.5)	(57.0, 871224.0)	(58.0, 809649.5)	(59.0, 755793.0)	(60.0, 690764.5)	(61.0, 649320.0)	(62.0, 568650.5)	(63.0, 449511.5)	(64.0, 383194.5)	(65.0, 354553.0)	(66.0, 362728.5)	(67.0, 337114.5)	(68.0, 264492.0)	(69.0, 248170.0)	(70.0, 246191.5)	(71.0, 196476.0)	(72.0, 175310.0)	(73.0, 217475.5)	(74.0, 199972.5)	(75.0, 133077.0)	(76.0, 113997.0)	(77.0, 108049.5)	(78.0, 114744.0)	(79.0, 120054.0)	(80.0, 126362.5)	(81.0, 135144.5)	(82.0, 135843.5)	(83.0, 127150.5)	(84.0, 92376.0)	(85.0, 76967.0)	(86.0, 60867.0)	(87.0, 25955.5)	(88.0, 5512.5)	(89.0, 1670.5)	(90.0, 895.5)	(91.0, 341.0)	(92.0, 146.5)	(93.0, 57.5)	(94.0, 36.5)	(95.0, 20.0)	(96.0, 10.5)	(97.0, 6.0)	(98.0, 7.0)	(99.0, 6.0)	(100.0, 1.5)
SRR9127293_2	(0.0, 604.0)	(1.0, 642.0)	(2.0, 1481.0)	(3.0, 2490.0)	(4.0, 2390.0)	(5.0, 2285.5)	(6.0, 3205.5)	(7.0, 5212.0)	(8.0, 7686.0)	(9.0, 9324.5)	(10.0, 9595.5)	(11.0, 9526.0)	(12.0, 9851.5)	(13.0, 10594.0)	(14.0, 11620.5)	(15.0, 12515.0)	(16.0, 13634.0)	(17.0, 15535.5)	(18.0, 18187.0)	(19.0, 21774.5)	(20.0, 27298.0)	(21.0, 34940.5)	(22.0, 45013.5)	(23.0, 57724.5)	(24.0, 72897.0)	(25.0, 92206.0)	(26.0, 114879.0)	(27.0, 138958.5)	(28.0, 165149.0)	(29.0, 198723.0)	(30.0, 240706.5)	(31.0, 295596.5)	(32.0, 373618.0)	(33.0, 473066.0)	(34.0, 589043.0)	(35.0, 693979.0)	(36.0, 759233.0)	(37.0, 775292.5)	(38.0, 739473.0)	(39.0, 677165.0)	(40.0, 628214.5)	(41.0, 605826.0)	(42.0, 596571.0)	(43.0, 622511.5)	(44.0, 673878.5)	(45.0, 721207.0)	(46.0, 850774.0)	(47.0, 1003982.0)	(48.0, 1036494.0)	(49.0, 1025658.0)	(50.0, 1015319.0)	(51.0, 988450.5)	(52.0, 1065063.0)	(53.0, 1132477.0)	(54.0, 1065505.5)	(55.0, 980493.5)	(56.0, 925707.0)	(57.0, 869280.5)	(58.0, 809789.0)	(59.0, 757455.5)	(60.0, 693104.5)	(61.0, 655181.5)	(62.0, 576220.5)	(63.0, 453938.5)	(64.0, 387558.0)	(65.0, 357163.0)	(66.0, 360748.5)	(67.0, 336928.5)	(68.0, 265907.0)	(69.0, 246440.5)	(70.0, 242667.5)	(71.0, 195388.0)	(72.0, 175550.5)	(73.0, 210999.0)	(74.0, 193227.0)	(75.0, 131358.0)	(76.0, 112691.5)	(77.0, 106579.0)	(78.0, 111214.5)	(79.0, 115845.0)	(80.0, 121164.5)	(81.0, 130940.5)	(82.0, 132133.5)	(83.0, 120805.0)	(84.0, 87781.0)	(85.0, 73600.0)	(86.0, 58215.5)	(87.0, 25581.0)	(88.0, 6187.0)	(89.0, 2178.5)	(90.0, 1340.5)	(91.0, 819.0)	(92.0, 602.0)	(93.0, 494.5)	(94.0, 512.0)	(95.0, 553.0)	(96.0, 603.0)	(97.0, 674.5)	(98.0, 844.0)	(99.0, 1154.0)	(100.0, 2875.0)
