Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR9126859_1	(15.0, 9.0)	(16.0, 46.0)	(17.0, 229.0)	(18.0, 465.0)	(19.0, 975.0)	(20.0, 1779.0)	(21.0, 3208.0)	(22.0, 6016.0)	(23.0, 11557.0)	(24.0, 20959.0)	(25.0, 36497.0)	(26.0, 58149.0)	(27.0, 85824.0)	(28.0, 120552.0)	(29.0, 166840.0)	(30.0, 234122.0)	(31.0, 327841.0)	(32.0, 455298.0)	(33.0, 646195.0)	(34.0, 999129.0)	(35.0, 2027933.0)	(36.0, 12714959.0)	(37.0, 5524018.0)				
SRR9126859_2	(11.0, 1.0)	(12.0, 18.0)	(13.0, 127.0)	(14.0, 309.0)	(15.0, 647.0)	(16.0, 1168.0)	(17.0, 2097.0)	(18.0, 3907.0)	(19.0, 6355.0)	(20.0, 10349.0)	(21.0, 16629.0)	(22.0, 25963.0)	(23.0, 40358.0)	(24.0, 58698.0)	(25.0, 81422.0)	(26.0, 107101.0)	(27.0, 133630.0)	(28.0, 161486.0)	(29.0, 201457.0)	(30.0, 265060.0)	(31.0, 353416.0)	(32.0, 485286.0)	(33.0, 715348.0)	(34.0, 1196391.0)	(35.0, 2645544.0)	(36.0, 13338970.0)	(37.0, 3590863.0)
SRR9126934_1	(14.0, 1.0)	(15.0, 9.0)	(16.0, 49.0)	(17.0, 170.0)	(18.0, 404.0)	(19.0, 789.0)	(20.0, 1593.0)	(21.0, 3057.0)	(22.0, 6291.0)	(23.0, 12369.0)	(24.0, 22715.0)	(25.0, 40315.0)	(26.0, 67796.0)	(27.0, 102512.0)	(28.0, 145747.0)	(29.0, 198134.0)	(30.0, 273451.0)	(31.0, 381355.0)	(32.0, 533542.0)	(33.0, 766548.0)	(34.0, 1198842.0)	(35.0, 2474673.0)	(36.0, 16843496.0)	(37.0, 7603757.0)			
SRR9126934_2	(11.0, 2.0)	(12.0, 44.0)	(13.0, 200.0)	(14.0, 490.0)	(15.0, 812.0)	(16.0, 1306.0)	(17.0, 2219.0)	(18.0, 3587.0)	(19.0, 6013.0)	(20.0, 10112.0)	(21.0, 16904.0)	(22.0, 28274.0)	(23.0, 44769.0)	(24.0, 66925.0)	(25.0, 94726.0)	(26.0, 128117.0)	(27.0, 162244.0)	(28.0, 195767.0)	(29.0, 237811.0)	(30.0, 305978.0)	(31.0, 413824.0)	(32.0, 575977.0)	(33.0, 850946.0)	(34.0, 1421517.0)	(35.0, 3282092.0)	(36.0, 17824211.0)	(37.0, 5002748.0)
SRR9127010_1	(15.0, 8.0)	(16.0, 67.0)	(17.0, 239.0)	(18.0, 578.0)	(19.0, 1143.0)	(20.0, 2095.0)	(21.0, 3813.0)	(22.0, 7616.0)	(23.0, 14528.0)	(24.0, 27556.0)	(25.0, 48743.0)	(26.0, 80533.0)	(27.0, 119251.0)	(28.0, 164449.0)	(29.0, 220182.0)	(30.0, 304073.0)	(31.0, 423120.0)	(32.0, 583881.0)	(33.0, 839296.0)	(34.0, 1314422.0)	(35.0, 2798148.0)	(36.0, 18430526.0)	(37.0, 7208492.0)				
SRR9127010_2	(11.0, 1.0)	(12.0, 45.0)	(13.0, 215.0)	(14.0, 580.0)	(15.0, 1048.0)	(16.0, 1701.0)	(17.0, 2852.0)	(18.0, 4702.0)	(19.0, 7411.0)	(20.0, 11922.0)	(21.0, 19625.0)	(22.0, 32090.0)	(23.0, 51409.0)	(24.0, 75821.0)	(25.0, 108869.0)	(26.0, 148732.0)	(27.0, 186488.0)	(28.0, 224869.0)	(29.0, 275138.0)	(30.0, 357856.0)	(31.0, 481174.0)	(32.0, 666942.0)	(33.0, 984404.0)	(34.0, 1656370.0)	(35.0, 3897503.0)	(36.0, 18945114.0)	(37.0, 4449878.0)
SRR9127157_1	(15.0, 4.0)	(16.0, 40.0)	(17.0, 143.0)	(18.0, 308.0)	(19.0, 639.0)	(20.0, 1147.0)	(21.0, 2313.0)	(22.0, 4560.0)	(23.0, 9204.0)	(24.0, 17438.0)	(25.0, 31717.0)	(26.0, 53219.0)	(27.0, 80860.0)	(28.0, 112772.0)	(29.0, 150560.0)	(30.0, 203867.0)	(31.0, 279867.0)	(32.0, 383534.0)	(33.0, 543324.0)	(34.0, 839757.0)	(35.0, 1698319.0)	(36.0, 11772817.0)	(37.0, 5585812.0)				
SRR9127157_2	(11.0, 1.0)	(12.0, 13.0)	(13.0, 106.0)	(14.0, 249.0)	(15.0, 522.0)	(16.0, 746.0)	(17.0, 1042.0)	(18.0, 1603.0)	(19.0, 2629.0)	(20.0, 4682.0)	(21.0, 8556.0)	(22.0, 15109.0)	(23.0, 25450.0)	(24.0, 39712.0)	(25.0, 58406.0)	(26.0, 80477.0)	(27.0, 101340.0)	(28.0, 119294.0)	(29.0, 140390.0)	(30.0, 176721.0)	(31.0, 238619.0)	(32.0, 336169.0)	(33.0, 501408.0)	(34.0, 852808.0)	(35.0, 2050882.0)	(36.0, 12993222.0)	(37.0, 4022065.0)
SRR9127293_1	(15.0, 4.0)	(16.0, 34.0)	(17.0, 99.0)	(18.0, 285.0)	(19.0, 615.0)	(20.0, 1326.0)	(21.0, 2895.0)	(22.0, 5975.0)	(23.0, 12080.0)	(24.0, 23713.0)	(25.0, 42659.0)	(26.0, 72834.0)	(27.0, 111690.0)	(28.0, 159837.0)	(29.0, 219691.0)	(30.0, 305967.0)	(31.0, 433290.0)	(32.0, 609981.0)	(33.0, 884373.0)	(34.0, 1392247.0)	(35.0, 2898296.0)	(36.0, 17103681.0)	(37.0, 6525880.0)				
SRR9127293_2	(11.0, 7.0)	(12.0, 47.0)	(13.0, 190.0)	(14.0, 419.0)	(15.0, 797.0)	(16.0, 1352.0)	(17.0, 2276.0)	(18.0, 4247.0)	(19.0, 7711.0)	(20.0, 13124.0)	(21.0, 22323.0)	(22.0, 36947.0)	(23.0, 58721.0)	(24.0, 87930.0)	(25.0, 125013.0)	(26.0, 167726.0)	(27.0, 213231.0)	(28.0, 261071.0)	(29.0, 324861.0)	(30.0, 429809.0)	(31.0, 590077.0)	(32.0, 832219.0)	(33.0, 1239334.0)	(34.0, 2085545.0)	(35.0, 4663410.0)	(36.0, 16796797.0)	(37.0, 2842268.0)
SRR9127296_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 10.0)	(17.0, 36.0)	(18.0, 100.0)	(19.0, 152.0)	(20.0, 338.0)	(21.0, 637.0)	(22.0, 1224.0)	(23.0, 2493.0)	(24.0, 4520.0)	(25.0, 7790.0)	(26.0, 13380.0)	(27.0, 20159.0)	(28.0, 29002.0)	(29.0, 40660.0)	(30.0, 56881.0)	(31.0, 79966.0)	(32.0, 112159.0)	(33.0, 159682.0)	(34.0, 244643.0)	(35.0, 476849.0)	(36.0, 2698006.0)	(37.0, 1130650.0)			
SRR9127296_2	(12.0, 5.0)	(13.0, 29.0)	(14.0, 72.0)	(15.0, 119.0)	(16.0, 182.0)	(17.0, 325.0)	(18.0, 566.0)	(19.0, 992.0)	(20.0, 1658.0)	(21.0, 2827.0)	(22.0, 4587.0)	(23.0, 7356.0)	(24.0, 11263.0)	(25.0, 16200.0)	(26.0, 22116.0)	(27.0, 27749.0)	(28.0, 34074.0)	(29.0, 41082.0)	(30.0, 52710.0)	(31.0, 70608.0)	(32.0, 98622.0)	(33.0, 144950.0)	(34.0, 239645.0)	(35.0, 544013.0)	(36.0, 2918759.0)	(37.0, 838831.0)	
SRR9127369_1	(14.0, 4.0)	(15.0, 12.0)	(16.0, 58.0)	(17.0, 169.0)	(18.0, 406.0)	(19.0, 888.0)	(20.0, 1440.0)	(21.0, 2618.0)	(22.0, 5072.0)	(23.0, 9805.0)	(24.0, 18293.0)	(25.0, 31968.0)	(26.0, 52434.0)	(27.0, 77522.0)	(28.0, 108169.0)	(29.0, 145632.0)	(30.0, 201102.0)	(31.0, 277898.0)	(32.0, 384716.0)	(33.0, 545786.0)	(34.0, 834542.0)	(35.0, 1649867.0)	(36.0, 11557863.0)	(37.0, 6154339.0)			
SRR9127369_2	(11.0, 1.0)	(12.0, 10.0)	(13.0, 124.0)	(14.0, 316.0)	(15.0, 563.0)	(16.0, 969.0)	(17.0, 1470.0)	(18.0, 2657.0)	(19.0, 4291.0)	(20.0, 7023.0)	(21.0, 11921.0)	(22.0, 19340.0)	(23.0, 31051.0)	(24.0, 45782.0)	(25.0, 63310.0)	(26.0, 85288.0)	(27.0, 106690.0)	(28.0, 126969.0)	(29.0, 152560.0)	(30.0, 195537.0)	(31.0, 264988.0)	(32.0, 377366.0)	(33.0, 580561.0)	(34.0, 916330.0)	(35.0, 1969294.0)	(36.0, 12413832.0)	(37.0, 4682360.0)
SRR9127396_1	(15.0, 7.0)	(16.0, 40.0)	(17.0, 154.0)	(18.0, 396.0)	(19.0, 880.0)	(20.0, 1803.0)	(21.0, 3676.0)	(22.0, 7203.0)	(23.0, 14142.0)	(24.0, 26104.0)	(25.0, 46582.0)	(26.0, 76721.0)	(27.0, 116082.0)	(28.0, 164182.0)	(29.0, 224850.0)	(30.0, 312567.0)	(31.0, 437245.0)	(32.0, 603039.0)	(33.0, 858025.0)	(34.0, 1337908.0)	(35.0, 2839978.0)	(36.0, 18770731.0)	(37.0, 7083492.0)				
