Sample	Unique Reads	Duplicate Reads
SRR9126859_1	10062699.0	13379901.0
SRR9126859_2	10282562.0	13160038.0
SRR9126934_1	8549980.0	22127635.0
SRR9126934_2	8956104.0	21721511.0
SRR9127010_1	10149461.0	22443298.0
SRR9127010_2	10608746.0	21984013.0
SRR9127157_1	5527081.0	16245140.0
SRR9127157_2	5671690.0	16100531.0
SRR9127293_1	9693575.0	21113877.0
SRR9127293_2	10507678.0	20299774.0
SRR9127296_1	2397422.0	2681918.0
SRR9127296_2	2428328.0	2651012.0
SRR9127369_1	6164227.0	15896376.0
SRR9127369_2	6360114.0	15700489.0
SRR9127396_1	14142552.0	18783255.0
SRR9127396_2	15441360.0	17484447.0
