Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9126859_1	(1.0, 28.87373788727973)	(2.0, 18.28719389756534)	(3.0, 8.771952913954262)	(4.0, 3.7355287163062076)	(5.0, 1.6915198132389786)	(6.0, 0.9320090228639835)	(7.0, 0.6458675556168209)	(8.0, 0.4838701077456287)	(9.0, 0.41673177346187384)	('>10', 5.417958380218305)	('>50', 2.2204616803714807)	('>100', 6.648038993110775)	('>500', 3.965186458773041)	('>1k', 11.406503609385922)	('>5k', 3.6351248538546552)	('>10k+', 2.868314336252823)
SRR9126859_2	(1.0, 30.251767869106448)	(2.0, 17.611088970099026)	(3.0, 8.564229339328277)	(4.0, 3.6430965366008117)	(5.0, 1.6212888172756739)	(6.0, 0.9610302271463768)	(7.0, 0.6187107430286815)	(8.0, 0.5113713856294232)	(9.0, 0.4034029289017567)	('>10', 5.375052757609534)	('>50', 2.2364188685529722)	('>100', 6.5251592743813704)	('>500', 4.0280994862668456)	('>1k', 11.411618087125953)	('>5k', 3.4870657749333773)	('>10k+', 2.750598934013253)
SRR9126934_1	(1.0, 14.169980025398507)	(2.0, 13.311118631985241)	(3.0, 10.133397758681324)	(4.0, 6.648852975860542)	(5.0, 4.014514499501298)	(6.0, 2.298916714591413)	(7.0, 1.3840741952041618)	(8.0, 0.9610474133339674)	(9.0, 0.6788705462279832)	('>10', 6.254912274254493)	('>50', 2.3588973426585906)	('>100', 6.778042095427035)	('>500', 4.460262385472359)	('>1k', 15.189215875144106)	('>5k', 5.807216336039875)	('>10k+', 5.55068093021909)
SRR9126934_2	(1.0, 15.761060406486196)	(2.0, 13.088009860294717)	(3.0, 9.937062062899553)	(4.0, 6.519502140867319)	(5.0, 3.812499453554922)	(6.0, 2.281000436820415)	(7.0, 1.3876063514645234)	(8.0, 0.9417969914889874)	(9.0, 0.6692940478154112)	('>10', 6.152482462711666)	('>50', 2.2569362263562596)	('>100', 6.5239087483728575)	('>500', 4.557908319987536)	('>1k', 14.9639260514449)	('>5k', 5.698981977314244)	('>10k+', 5.448024462120488)
SRR9127010_1	(1.0, 15.535395018142914)	(2.0, 14.821581010962786)	(3.0, 12.099767020376847)	(4.0, 7.966607996089945)	(5.0, 4.789035418879314)	(6.0, 2.6777448173886325)	(7.0, 1.555447935908741)	(8.0, 0.8506395409647258)	(9.0, 0.6043864563116601)	('>10', 5.40595131218122)	('>50', 2.4014540261349793)	('>100', 7.51875469591712)	('>500', 4.4009918024950165)	('>1k', 11.85649104105622)	('>5k', 4.360375737794871)	('>10k+', 3.155376169394909)
SRR9127010_2	(1.0, 17.316016285061757)	(2.0, 14.429336020164248)	(3.0, 11.802037514909863)	(4.0, 7.896564946864508)	(5.0, 4.657332201153956)	(6.0, 2.622280057401988)	(7.0, 1.4289316902960918)	(8.0, 0.877510624258253)	(9.0, 0.6065822419289087)	('>10', 5.3245554849017465)	('>50', 2.276066159155487)	('>100', 7.346265769777154)	('>500', 4.357057625031627)	('>1k', 11.847585708487115)	('>5k', 4.161101645548274)	('>10k+', 3.0507760250590015)
SRR9127157_1	(1.0, 14.248996665515183)	(2.0, 11.767989684472637)	(3.0, 8.116368084679042)	(4.0, 4.726127864111848)	(5.0, 2.6641774365172375)	(6.0, 1.421626934801989)	(7.0, 0.8582838071258181)	(8.0, 0.6096111659915684)	(9.0, 0.45676746677658503)	('>10', 4.831779595162393)	('>50', 2.3924209304903465)	('>100', 8.804909492591461)	('>500', 5.685901372514628)	('>1k', 17.79746917167644)	('>5k', 7.400690816520855)	('>10k+', 8.216879511051898)
SRR9127157_2	(1.0, 15.042900030627862)	(2.0, 11.65150983996922)	(3.0, 8.007526817094352)	(4.0, 4.687789912893696)	(5.0, 2.584667515919456)	(6.0, 1.4186482797487983)	(7.0, 0.8275670917728042)	(8.0, 0.5782904387250041)	(9.0, 0.47151148123763764)	('>10', 4.8314938946798485)	('>50', 2.4287648217826647)	('>100', 8.633278843493784)	('>500', 5.601671894779189)	('>1k', 18.027707811422058)	('>5k', 7.327351317897797)	('>10k+', 7.87932000795583)
SRR9127293_1	(1.0, 17.702493787726663)	(2.0, 14.364152174664003)	(3.0, 9.48091841185555)	(4.0, 5.604011528029174)	(5.0, 3.2401825265329705)	(6.0, 2.105492069966013)	(7.0, 1.4932864301307194)	(8.0, 1.112761434694135)	(9.0, 0.8928673101445659)	('>10', 8.745910397153931)	('>50', 2.5041174689261854)	('>100', 6.476793578045645)	('>500', 3.9079625799343716)	('>1k', 12.67352842530338)	('>5k', 5.37172674210384)	('>10k+', 4.323795134788632)
SRR9127293_2	(1.0, 20.856827266719876)	(2.0, 13.982869120822219)	(3.0, 9.063627600892529)	(4.0, 5.282750553795531)	(5.0, 3.0961228533720684)	(6.0, 2.0061725630637803)	(7.0, 1.4075411382164713)	(8.0, 1.0751193565998305)	(9.0, 0.8575592186898394)	('>10', 8.239223550957762)	('>50', 2.4640993250185357)	('>100', 6.187221923547081)	('>500', 3.7933941190588913)	('>1k', 12.512326387656369)	('>5k', 5.1086319898886)	('>10k+', 4.066513031700707)
