Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9126859_1	57.07516198103386	45.0	100.0	100	30.0	23.4426
SRR9126859_2	56.137284234961065	45.0	100.0	100	30.0	23.4426
SRR9126934_1	72.12958250062441	50.0	100.0	100	20.0	30.677615
SRR9126934_2	70.80573793741559	50.0	100.0	100	20.0	30.677615
SRR9127010_1	68.85976840589828	46.0	100.0	100	30.0	32.592759
SRR9127010_2	67.45060537880596	46.0	100.0	100	30.0	32.592759
SRR9127157_1	74.61407089355929	52.0	100.0	100	20.0	21.772221
SRR9127157_2	73.94987861195565	52.0	100.0	100	20.0	21.772221
SRR9127293_1	68.53496915873232	50.0	100.0	100	20.0	30.807451999999998
SRR9127293_2	65.89241540334103	49.0	100.0	100	20.0	30.807451999999998
SRR9127296_1	52.800537472225045	51.0	100.0	100	20.0	5.07934
SRR9127296_2	52.19207361663551	51.0	100.0	100	20.0	5.07934
SRR9127369_1	72.05776265586289	53.0	100.0	100	20.0	22.060603
SRR9127369_2	71.1698100546598	53.0	100.0	100	20.0	22.060603
SRR9127396_1	57.04721371029242	44.0	100.0	100	30.0	32.925807
SRR9127396_2	53.1025630294999	44.0	100.0	100	30.0	32.925807
